Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,CAGR
"EPS","5.00","6.69","8.97","11.08","-35.71","7.16","4.79","4.18","14.77","15.30","-","-"
"YoY %","-25.26%","-25.42%","-19.04%","131.03%","-598.74%","49.48%","14.59%","-71.70%","-3.46%","0.00%","-",""
"Horiz. %","32.68%","43.73%","58.63%","72.42%","-233.40%","46.80%","31.31%","27.32%","96.54%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.50","1.24","0.99","3.97","0.86","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-59.68%","25.25%","-75.06%","361.63%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","58.14%","144.19%","115.12%","461.63%","100.00%","-",""
"NAPS","1.1700","1.1700","1.2200","1.1322","1.1099","1.4374","1.1700","1.0812","1.0013","0.9231","0.4700","12.65%"
"YoY %","0.00%","-4.10%","7.75%","2.01%","-22.78%","22.85%","8.21%","7.98%","8.47%","96.40%","-",""
"Horiz. %","248.94%","248.94%","259.57%","240.89%","236.15%","305.83%","248.94%","230.04%","213.04%","196.40%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","31/12/12","30/12/11","-","-"
"Price","0.4400","0.4400","0.6700","0.8650","0.5750","0.7650","0.7800","1.0400","1.3300","1.7000","0.0000","-"
"P/RPS","0.22","0.20","0.31","0.37","0.28","0.33","0.60","0.83","1.01","1.11","0.00","-"
"YoY %","10.00%","-35.48%","-16.22%","32.14%","-15.15%","-45.00%","-27.71%","-17.82%","-9.01%","0.00%","-",""
"Horiz. %","19.82%","18.02%","27.93%","33.33%","25.23%","29.73%","54.05%","74.77%","90.99%","100.00%","-",""
"P/EPS","8.81","6.58","7.47","7.76","-1.60","10.60","16.15","24.69","8.93","9.59","0.00","-"
"YoY %","33.89%","-11.91%","-3.74%","585.00%","-115.09%","-34.37%","-34.59%","176.48%","-6.88%","0.00%","-",""
"Horiz. %","91.87%","68.61%","77.89%","80.92%","-16.68%","110.53%","168.40%","257.46%","93.12%","100.00%","-",""
"EY","11.35","15.20","13.39","12.89","-62.66","9.44","6.19","4.05","11.20","10.43","0.00","-"
"YoY %","-25.33%","13.52%","3.88%","120.57%","-763.77%","52.50%","52.84%","-63.84%","7.38%","0.00%","-",""
"Horiz. %","108.82%","145.73%","128.38%","123.59%","-600.77%","90.51%","59.35%","38.83%","107.38%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.65","1.60","0.96","3.01","0.59","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-59.38%","66.67%","-68.11%","410.17%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","110.17%","271.19%","162.71%","510.17%","100.00%","-",""
"P/NAPS","0.38","0.38","0.55","0.76","0.51","0.53","0.66","0.95","1.32","1.59","0.00","-"
"YoY %","0.00%","-30.91%","-27.63%","49.02%","-3.77%","-19.70%","-30.53%","-28.03%","-16.98%","0.00%","-",""
"Horiz. %","23.90%","23.90%","34.59%","47.80%","32.08%","33.33%","41.51%","59.75%","83.02%","100.00%","-",""
"Date","AQR","T4Q","28/02/19","27/02/18","28/02/17","29/02/16","26/02/15","27/02/14","25/02/13","28/02/12","-","-"
"Price","0.4050","0.4050","0.5450","0.8700","0.5300","0.6900","0.6400","0.9750","1.1500","1.7300","0.0000","-"
"P/RPS","0.20","0.19","0.25","0.37","0.26","0.30","0.49","0.78","0.87","1.13","0.00","-"
"YoY %","5.26%","-24.00%","-32.43%","42.31%","-13.33%","-38.78%","-37.18%","-10.34%","-23.01%","0.00%","-",""
"Horiz. %","17.70%","16.81%","22.12%","32.74%","23.01%","26.55%","43.36%","69.03%","76.99%","100.00%","-",""
"P/EPS","8.11","6.06","6.07","7.80","-1.47","9.56","13.25","23.14","7.72","9.76","0.00","-"
"YoY %","33.83%","-0.16%","-22.18%","630.61%","-115.38%","-27.85%","-42.74%","199.74%","-20.90%","0.00%","-",""
"Horiz. %","83.09%","62.09%","62.19%","79.92%","-15.06%","97.95%","135.76%","237.09%","79.10%","100.00%","-",""
"EY","12.34","16.51","16.47","12.82","-67.99","10.46","7.55","4.32","12.96","10.25","0.00","-"
"YoY %","-25.26%","0.24%","28.47%","118.86%","-750.00%","38.54%","74.77%","-66.67%","26.44%","0.00%","-",""
"Horiz. %","120.39%","161.07%","160.68%","125.07%","-663.32%","102.05%","73.66%","42.15%","126.44%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.72","1.95","1.03","3.48","0.58","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-63.08%","89.32%","-70.40%","500.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","124.14%","336.21%","177.59%","600.00%","100.00%","-",""
"P/NAPS","0.35","0.35","0.45","0.76","0.47","0.48","0.54","0.89","1.14","1.62","0.00","-"
"YoY %","0.00%","-22.22%","-40.79%","61.70%","-2.08%","-11.11%","-39.33%","-21.93%","-29.63%","0.00%","-",""
"Horiz. %","21.60%","21.60%","27.78%","46.91%","29.01%","29.63%","33.33%","54.94%","70.37%","100.00%","-",""

