Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,&nbsp;-&nbsp;,CAGR
"Horiz. %","147.06%","131.62%","117.65%","100.00%","-","-","-",""
"NAPS","1.5400","1.5400","1.4300","1.0400","0.7600","0.0000","-","-"
"YoY %","0.00%","7.69%","37.50%","36.84%","0.00%","-","-",""
"Horiz. %","202.63%","202.63%","188.16%","136.84%","100.00%","-","-",""
"RPS","289.14","263.62","223.57","184.73","95.92","-","-","-"
"YoY %","9.68%","17.91%","21.03%","92.59%","0.00%","-","-",""
"Horiz. %","301.44%","274.83%","233.08%","192.59%","100.00%","-","-",""
"EPS","33.04","29.63","26.61","21.11","10.34","0.00","-","-"
"YoY %","11.51%","11.35%","26.05%","104.16%","0.00%","-","-",""
"Horiz. %","319.54%","286.56%","257.35%","204.16%","100.00%","-","-",""
"DPS","10.00","8.95","8.00","6.18","0.00","0.00","-","-"
"YoY %","11.73%","11.87%","29.45%","0.00%","0.00%","-","-",""
"Horiz. %","161.81%","144.82%","129.45%","100.00%","-","-","-",""
"NAPS","1.5400","1.5400","1.4300","0.9455","0.5505","0.0000","-","-"
"YoY %","0.00%","7.69%","51.24%","71.75%","0.00%","-","-",""
"Horiz. %","279.75%","279.75%","259.76%","171.75%","100.00%","-","-",""
"Date","AQR","T4Q","31/12/18","29/12/17","-","-","-","-"
"Price","4.0300","4.0300","3.7800","3.2400","0.0000","0.0000","-","-"
"P/RPS","1.39","1.53","1.69","1.59","0.00","0.00","-","-"
"YoY %","-9.15%","-9.47%","6.29%","0.00%","0.00%","-","-",""
"Horiz. %","87.42%","96.23%","106.29%","100.00%","-","-","-",""
"P/EPS","12.20","13.60","14.31","13.95","0.00","0.00","-","-"
"YoY %","-10.29%","-4.96%","2.58%","0.00%","0.00%","-","-",""
"Horiz. %","87.46%","97.49%","102.58%","100.00%","-","-","-",""
"EY","8.20","7.35","6.99","7.17","0.00","0.00","-","-"
"YoY %","11.56%","5.15%","-2.51%","0.00%","0.00%","-","-",""
"Horiz. %","114.37%","102.51%","97.49%","100.00%","-","-","-",""
"DY","2.48","2.22","2.12","2.10","0.00","0.00","-","-"
"YoY %","11.71%","4.72%","0.95%","0.00%","0.00%","-","-",""
"Horiz. %","118.10%","105.71%","100.95%","100.00%","-","-","-",""
"P/NAPS","2.62","2.62","2.64","3.12","0.00","0.00","-","-"
"YoY %","0.00%","-0.76%","-15.38%","0.00%","0.00%","-","-",""
"Horiz. %","83.97%","83.97%","84.62%","100.00%","-","-","-",""
"Date","AQR","T4Q","27/02/19","26/02/18","28/02/17","-","-","-"
"Price","4.3900","4.3900","3.9600","3.5500","1.7000","0.0000","-","-"
"P/RPS","1.52","1.67","1.77","1.75","1.28","0.00","-","-"
"YoY %","-8.98%","-5.65%","1.14%","36.72%","0.00%","-","-",""
"Horiz. %","118.75%","130.47%","138.28%","136.72%","100.00%","-","-",""
"P/EPS","13.29","14.82","14.99","15.29","11.91","0.00","-","-"
"YoY %","-10.32%","-1.13%","-1.96%","28.38%","0.00%","-","-",""
"Horiz. %","111.59%","124.43%","125.86%","128.38%","100.00%","-","-",""
"EY","7.53","6.75","6.67","6.54","8.40","0.00","-","-"
"YoY %","11.56%","1.20%","1.99%","-22.14%","0.00%","-","-",""
"Horiz. %","89.64%","80.36%","79.40%","77.86%","100.00%","-","-",""
"DY","2.28","2.04","2.02","1.92","0.00","0.00","-","-"
"YoY %","11.76%","0.99%","5.21%","0.00%","0.00%","-","-",""
"Horiz. %","118.75%","106.25%","105.21%","100.00%","-","-","-",""
"P/NAPS","2.85","2.85","2.77","3.41","2.24","0.00","-","-"
"YoY %","0.00%","2.89%","-18.77%","52.23%","0.00%","-","-",""
"Horiz. %","127.23%","127.23%","123.66%","152.23%","100.00%","-","-",""

