Column1,AQR,T4Q,31/10/18,31/10/17,31/10/16,31/10/15,&nbsp;-&nbsp;,CAGR
"EY","3.46","3.16","2.68","2.38","3.85","0.00","-","-"
"YoY %","9.49%","17.91%","12.61%","-38.18%","0.00%","-","-",""
"Horiz. %","89.87%","82.08%","69.61%","61.82%","100.00%","-","-",""
"DY","1.46","0.73","0.00","0.00","0.00","0.00","-","-"
"YoY %","100.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","200.00%","100.00%","-","-","-","-","-",""
"P/NAPS","3.43","3.43","3.54","4.17","3.47","0.00","-","-"
"YoY %","0.00%","-3.11%","-15.11%","20.17%","0.00%","-","-",""
"Horiz. %","98.85%","98.85%","102.02%","120.17%","100.00%","-","-",""

