Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,CAGR
"Horiz. %","41.44%","49.16%","39.94%","80.22%","62.44%","65.76%","82.65%","100.00%","-","-",""
"EY","11.28","9.51","11.71","5.83","7.49","7.11","5.66","4.68","0.00","0.00","-"
"YoY %","18.61%","-18.79%","100.86%","-22.16%","5.34%","25.62%","20.94%","0.00%","0.00%","-",""
"Horiz. %","241.03%","203.21%","250.21%","124.57%","160.04%","151.92%","120.94%","100.00%","-","-",""
"DY","8.76","8.76","5.36","4.95","3.52","3.13","2.27","0.00","0.00","0.00","-"
"YoY %","0.00%","63.43%","8.28%","40.62%","12.46%","37.89%","0.00%","0.00%","0.00%","-",""
"Horiz. %","385.90%","385.90%","236.12%","218.06%","155.07%","137.89%","100.00%","-","-","-",""
"P/NAPS","0.96","0.96","0.80","1.57","2.15","2.15","3.15","4.06","0.00","0.00","-"
"YoY %","0.00%","20.00%","-49.04%","-26.98%","0.00%","-31.75%","-22.41%","0.00%","0.00%","-",""
"Horiz. %","23.65%","23.65%","19.70%","38.67%","52.96%","52.96%","77.59%","100.00%","-","-",""
"Date","AQR","T4Q","22/02/19","28/02/18","23/02/17","23/02/16","25/02/15","24/02/14","28/02/13","-","-"
"Price","0.6550","0.6550","0.6750","1.0100","1.3700","1.1900","1.9700","1.8200","1.3100","0.0000","-"
"P/RPS","0.98","0.92","0.90","1.40","1.99","1.86","3.28","3.51","1.47","0.00","-"
"YoY %","6.52%","2.22%","-35.71%","-29.65%","6.99%","-43.29%","-6.55%","138.78%","0.00%","-",""
"Horiz. %","66.67%","62.59%","61.22%","95.24%","135.37%","126.53%","223.13%","238.78%","100.00%","-",""
"P/EPS","8.48","10.05","10.29","16.50","12.88","12.97","20.47","19.95","8.06","0.00","-"
"YoY %","-15.62%","-2.33%","-37.64%","28.11%","-0.69%","-36.64%","2.61%","147.52%","0.00%","-",""
"Horiz. %","105.21%","124.69%","127.67%","204.71%","159.80%","160.92%","253.97%","247.52%","100.00%","-",""
"EY","11.80","9.95","9.72","6.06","7.77","7.71","4.88","5.01","12.40","0.00","-"
"YoY %","18.59%","2.37%","60.40%","-22.01%","0.78%","57.99%","-2.59%","-59.60%","0.00%","-",""
"Horiz. %","95.16%","80.24%","78.39%","48.87%","62.66%","62.18%","39.35%","40.40%","100.00%","-",""
"DY","9.16","9.16","4.44","5.15","3.65","3.39","1.96","0.00","0.00","0.00","-"
"YoY %","0.00%","106.31%","-13.79%","41.10%","7.67%","72.96%","0.00%","0.00%","0.00%","-",""
"Horiz. %","467.35%","467.35%","226.53%","262.76%","186.22%","172.96%","100.00%","-","-","-",""
"P/NAPS","0.92","0.92","0.96","1.51","2.08","1.98","3.65","3.79","7.28","0.00","-"
"YoY %","0.00%","-4.17%","-36.42%","-27.40%","5.05%","-45.75%","-3.69%","-47.94%","0.00%","-",""
"Horiz. %","12.64%","12.64%","13.19%","20.74%","28.57%","27.20%","50.14%","52.06%","100.00%","-",""

