Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,CAGR
"Horiz. %","29.08%","29.08%","17.32%","25.82%","27.45%","22.55%","51.96%","100.00%","-",""
"Date","AQR","T4Q","27/02/19","27/02/18","27/02/17","23/02/16","23/02/15","24/02/14","-","-"
"Price","0.3050","0.3050","0.2300","0.3300","0.6850","1.0500","2.7900","4.3300","0.0000","-"
"P/RPS","4.41","4.02","3.26","1.72","4.61","2.70","5.95","9.71","0.00","-"
"YoY %","9.70%","23.31%","89.53%","-62.69%","70.74%","-54.62%","-38.72%","0.00%","-",""
"Horiz. %","45.42%","41.40%","33.57%","17.71%","47.48%","27.81%","61.28%","100.00%","-",""
"P/EPS","-121.57","-274.54","-104.48","-0.89","-1.26","-6.10","23.94","37.95","0.00","-"
"YoY %","55.72%","-162.77%","-11,639.33%","29.37%","79.34%","-125.48%","-36.92%","0.00%","-",""
"Horiz. %","-320.34%","-723.43%","-275.31%","-2.35%","-3.32%","-16.07%","63.08%","100.00%","-",""
"EY","-0.82","-0.36","-0.96","-112.01","-79.51","-16.40","4.18","2.64","0.00","-"
"YoY %","-127.78%","62.50%","99.14%","-40.88%","-384.82%","-492.34%","58.33%","0.00%","-",""
"Horiz. %","-31.06%","-13.64%","-36.36%","-4,242.80%","-3,011.74%","-621.21%","158.33%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.36","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"P/NAPS","0.90","0.90","0.68","0.86","0.66","0.68","1.89","3.31","0.00","-"
"YoY %","0.00%","32.35%","-20.93%","30.30%","-2.94%","-64.02%","-42.90%","0.00%","-",""
"Horiz. %","27.19%","27.19%","20.54%","25.98%","19.94%","20.54%","57.10%","100.00%","-",""

