Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,CAGR
"Horiz. %","-","-","-","-","-","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"Net Worth","23,687","23,687","24,175","26,373","78,931","60,909","-","-"
"YoY %","0.00%","-2.02%","-8.33%","-66.59%","29.59%","0.00%","-",""
"Horiz. %","38.89%","38.89%","39.69%","43.30%","129.59%","100.00%","-",""
"NOSH","244,200","244,200","244,200","244,200","221,718","161,564","-","-"
"YoY %","0.00%","0.00%","0.00%","10.14%","37.23%","0.00%","-",""
"Horiz. %","151.15%","151.15%","151.15%","151.15%","137.23%","100.00%","-",""
"NP Margin","-9.65    %","3.01    %","-29.45    %","-536.74    %","-10.47    %","4.16    %","-     %","-"
"YoY %","-420.60%","110.22%","94.51%","-5,026.46%","-351.68%","0.00%","-",""
"Horiz. %","-231.97%","72.36%","-707.93%","-12,902.40%","-251.68%","100.00%","-",""
"ROE","-3.30    %","1.28    %","-16.17    %","-215.86    %","-5.86    %","4.75    %","-     %","-"
"YoY %","-357.81%","107.92%","92.51%","-3,583.62%","-223.37%","0.00%","-",""
"Horiz. %","-69.47%","26.95%","-340.42%","-4,544.42%","-123.37%","100.00%","-",""
"RPS","2.31","5.45","5.47","4.35","19.91","43.03","-","-"
"YoY %","-57.61%","-0.37%","25.75%","-78.15%","-53.73%","0.00%","-",""
"Horiz. %","5.37%","12.67%","12.71%","10.11%","46.27%","100.00%","-",""
"EPS","-0.32","0.12","-1.60","-24.98","-2.08","1.79","0.00","-"
"YoY %","-366.67%","107.50%","93.59%","-1,100.96%","-216.20%","0.00%","-",""
"Horiz. %","-17.88%","6.70%","-89.39%","-1,395.53%","-116.20%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"NAPS","0.0970","0.0970","0.0990","0.1080","0.3560","0.3770","0.0000","-"
"YoY %","0.00%","-2.02%","-8.33%","-69.66%","-5.57%","0.00%","-",""
"Horiz. %","25.73%","25.73%","26.26%","28.65%","94.43%","100.00%","-",""
"RPS","2.31","5.45","5.47","4.35","18.07","28.47","-","-"
"YoY %","-57.61%","-0.37%","25.75%","-75.93%","-36.53%","0.00%","-",""
"Horiz. %","8.11%","19.14%","19.21%","15.28%","63.47%","100.00%","-",""
"EPS","-0.32","0.12","-1.60","-23.31","-1.89","1.18","0.00","-"
"YoY %","-366.67%","107.50%","93.14%","-1,133.33%","-260.17%","0.00%","-",""
"Horiz. %","-27.12%","10.17%","-135.59%","-1,975.42%","-160.17%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"NAPS","0.0970","0.0970","0.0990","0.1080","0.3232","0.2494","0.0000","-"
"YoY %","0.00%","-2.02%","-8.33%","-66.58%","29.59%","0.00%","-",""
"Horiz. %","38.89%","38.89%","39.70%","43.30%","129.59%","100.00%","-",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","-","-"
"Price","0.1150","0.1150","0.0900","0.1750","0.3650","0.7800","0.0000","-"
"P/RPS","4.98","2.11","1.65","4.02","1.83","1.81","0.00","-"
"YoY %","136.02%","27.88%","-58.96%","119.67%","1.10%","0.00%","-",""
"Horiz. %","275.14%","116.57%","91.16%","222.10%","101.10%","100.00%","-",""
"P/EPS","-35.91","92.38","-5.62","-0.75","-17.49","43.58","0.00","-"
"YoY %","-138.87%","1,743.77%","-649.33%","95.71%","-140.13%","0.00%","-",""
"Horiz. %","-82.40%","211.98%","-12.90%","-1.72%","-40.13%","100.00%","-",""
"EY","-2.78","1.08","-17.79","-133.22","-5.72","2.29","0.00","-"
"YoY %","-357.41%","106.07%","86.65%","-2,229.02%","-349.78%","0.00%","-",""
"Horiz. %","-121.40%","47.16%","-776.86%","-5,817.47%","-249.78%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"P/NAPS","1.19","1.19","0.91","1.62","1.03","2.07","0.00","-"
"YoY %","0.00%","30.77%","-43.83%","57.28%","-50.24%","0.00%","-",""
"Horiz. %","57.49%","57.49%","43.96%","78.26%","49.76%","100.00%","-",""
"Date","AQR","T4Q","31/01/19","28/02/18","28/02/17","29/02/16","-","-"
"Price","0.1000","0.1000","0.1050","0.1450","0.3000","0.7250","0.0000","-"
"P/RPS","4.33","1.84","1.92","3.33","1.51","1.68","0.00","-"
"YoY %","135.33%","-4.17%","-42.34%","120.53%","-10.12%","0.00%","-",""
"Horiz. %","257.74%","109.52%","114.29%","198.21%","89.88%","100.00%","-",""
"P/EPS","-31.23","80.33","-6.56","-0.62","-14.38","40.50","0.00","-"
"YoY %","-138.88%","1,324.54%","-958.06%","95.69%","-135.51%","0.00%","-",""
"Horiz. %","-77.11%","198.35%","-16.20%","-1.53%","-35.51%","100.00%","-",""
"EY","-3.20","1.24","-15.25","-160.78","-6.95","2.47","0.00","-"
"YoY %","-358.06%","108.13%","90.51%","-2,213.38%","-381.38%","0.00%","-",""
"Horiz. %","-129.55%","50.20%","-617.41%","-6,509.31%","-281.38%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"P/NAPS","1.03","1.03","1.06","1.34","0.84","1.92","0.00","-"
"YoY %","0.00%","-2.83%","-20.90%","59.52%","-56.25%","0.00%","-",""
"Horiz. %","53.65%","53.65%","55.21%","69.79%","43.75%","100.00%","-",""

