Column1,AQR,T4Q,31/08/18,31/08/17,31/08/16,31/08/15,31/08/14,31/08/13,CAGR
"Horiz. %","387.25%","387.25%","387.25%","387.25%","258.17%","117.37%","100.00%","-",""
"NP Margin","11.90    %","0.87    %","2.28    %","8.59    %","18.44    %","17.95    %","15.41    %","-     %","-"
"YoY %","1,267.82%","-61.84%","-73.46%","-53.42%","2.73%","16.48%","0.00%","-",""
"Horiz. %","77.22%","5.65%","14.80%","55.74%","119.66%","116.48%","100.00%","-",""
"ROE","7.24    %","0.47    %","1.29    %","5.48    %","17.07    %","29.44    %","15.30    %","-     %","-"
"YoY %","1,440.43%","-63.57%","-76.46%","-67.90%","-42.02%","92.42%","0.00%","-",""
"Horiz. %","47.32%","3.07%","8.43%","35.82%","111.57%","192.42%","100.00%","-",""
"RPS","23.11","20.38","20.96","22.20","33.17","69.24","73.44","-","-"
"YoY %","13.40%","-2.77%","-5.59%","-33.07%","-52.09%","-5.72%","0.00%","-",""
"Horiz. %","31.47%","27.75%","28.54%","30.23%","45.17%","94.28%","100.00%","-",""
"EPS","2.75","0.18","0.48","1.92","4.13","6.04","11.32","0.00","-"
"YoY %","1,427.78%","-62.50%","-75.00%","-53.51%","-31.62%","-46.64%","0.00%","-",""
"Horiz. %","24.29%","1.59%","4.24%","16.96%","36.48%","53.36%","100.00%","-",""
"DPS","0.00","0.00","0.00","1.00","2.25","5.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","-55.56%","-55.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","20.00%","45.00%","100.00%","-","-",""
"NAPS","0.3800","0.3800","0.3700","0.3500","0.3500","0.4100","0.7400","0.0000","-"
"YoY %","0.00%","2.70%","5.71%","0.00%","-14.63%","-44.59%","0.00%","-",""
"Horiz. %","51.35%","51.35%","50.00%","47.30%","47.30%","55.41%","100.00%","-",""
"RPS","23.11","20.38","20.96","22.20","22.12","20.99","18.96","-","-"
"YoY %","13.40%","-2.77%","-5.59%","0.36%","5.38%","10.71%","0.00%","-",""
"Horiz. %","121.89%","107.49%","110.55%","117.09%","116.67%","110.71%","100.00%","-",""
"EPS","2.75","0.18","0.48","1.92","3.98","3.66","2.92","0.00","-"
"YoY %","1,427.78%","-62.50%","-75.00%","-51.76%","8.74%","25.34%","0.00%","-",""
"Horiz. %","94.18%","6.16%","16.44%","65.75%","136.30%","125.34%","100.00%","-",""
"DPS","0.00","0.00","0.00","1.00","1.50","1.52","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","-33.33%","-1.32%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","65.79%","98.68%","100.00%","-","-",""
"NAPS","0.3800","0.3800","0.3700","0.3500","0.2333","0.1243","0.1911","0.0000","-"
"YoY %","0.00%","2.70%","5.71%","50.02%","87.69%","-34.96%","0.00%","-",""
"Horiz. %","198.85%","198.85%","193.62%","183.15%","122.08%","65.04%","100.00%","-",""
"Date","AQR","T4Q","30/08/18","30/08/17","30/08/16","28/08/15","29/08/14","-","-"
"Price","0.1750","0.1750","0.3100","0.8050","1.0300","2.2500","1.3600","0.0000","-"
"P/RPS","0.76","0.86","1.48","3.63","3.10","3.25","1.85","0.00","-"
"YoY %","-11.63%","-41.89%","-59.23%","17.10%","-4.62%","75.68%","0.00%","-",""
"Horiz. %","41.08%","46.49%","80.00%","196.22%","167.57%","175.68%","100.00%","-",""
"P/EPS","6.36","98.71","64.86","41.97","17.24","18.64","12.01","0.00","-"
"YoY %","-93.56%","52.19%","54.54%","143.45%","-7.51%","55.20%","0.00%","-",""
"Horiz. %","52.96%","821.90%","540.05%","349.46%","143.55%","155.20%","100.00%","-",""
"EY","15.72","1.01","1.54","2.38","5.80","5.36","8.32","0.00","-"
"YoY %","1,456.44%","-34.42%","-35.29%","-58.97%","8.21%","-35.58%","0.00%","-",""
"Horiz. %","188.94%","12.14%","18.51%","28.61%","69.71%","64.42%","100.00%","-",""
"DY","0.00","0.00","0.00","1.24","2.18","2.22","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","-43.12%","-1.80%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","55.86%","98.20%","100.00%","-","-",""
"P/NAPS","0.46","0.46","0.84","2.30","2.94","5.49","1.84","0.00","-"
"YoY %","0.00%","-45.24%","-63.48%","-21.77%","-46.45%","198.37%","0.00%","-",""
"Horiz. %","25.00%","25.00%","45.65%","125.00%","159.78%","298.37%","100.00%","-",""
"Date","AQR","T4Q","31/10/18","31/10/17","31/10/16","29/10/15","30/10/14","-","-"
"Price","0.1900","0.1900","0.2250","0.8400","1.4200","2.5300","1.7000","0.0000","-"
"P/RPS","0.82","0.93","1.07","3.78","4.28","3.65","2.31","0.00","-"
"YoY %","-11.83%","-13.08%","-71.69%","-11.68%","17.26%","58.01%","0.00%","-",""
"Horiz. %","35.50%","40.26%","46.32%","163.64%","185.28%","158.01%","100.00%","-",""
"P/EPS","6.91","107.17","47.08","43.80","23.76","20.96","15.02","0.00","-"
"YoY %","-93.55%","127.63%","7.49%","84.34%","13.36%","39.55%","0.00%","-",""
"Horiz. %","46.01%","713.52%","313.45%","291.61%","158.19%","139.55%","100.00%","-",""
"EY","14.48","0.93","2.12","2.28","4.21","4.77","6.66","0.00","-"
"YoY %","1,456.99%","-56.13%","-7.02%","-45.84%","-11.74%","-28.38%","0.00%","-",""
"Horiz. %","217.42%","13.96%","31.83%","34.23%","63.21%","71.62%","100.00%","-",""
"DY","0.00","0.00","0.00","1.19","1.58","1.98","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","-24.68%","-20.20%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","60.10%","79.80%","100.00%","-","-",""
"P/NAPS","0.50","0.50","0.61","2.40","4.06","6.17","2.30","0.00","-"
"YoY %","0.00%","-18.03%","-74.58%","-40.89%","-34.20%","168.26%","0.00%","-",""
"Horiz. %","21.74%","21.74%","26.52%","104.35%","176.52%","268.26%","100.00%","-",""

