Column1,AQR,T4Q,30/06/19,30/06/18,30/06/17,30/06/16,&nbsp;-&nbsp;,CAGR
"ROE","5.94    %","6.91    %","6.69    %","7.42    %","2.91    %","-     %","-   %","-"
"YoY %","-14.04%","3.29%","-9.84%","154.98%","0.00%","-","-",""
"Horiz. %","204.12%","237.46%","229.90%","254.98%","100.00%","-","-",""
"RPS","12.36","12.47","12.48","12.42","5.21","-","-","-"
"YoY %","-0.88%","-0.08%","0.48%","138.39%","0.00%","-","-",""
"Horiz. %","237.24%","239.35%","239.54%","238.39%","100.00%","-","-",""
"EPS","5.95","6.91","6.74","7.44","2.90","0.00","-","-"
"YoY %","-13.89%","2.52%","-9.41%","156.55%","0.00%","-","-",""
"Horiz. %","205.17%","238.28%","232.41%","256.55%","100.00%","-","-",""
"DPS","0.00","0.00","0.00","0.00","1.00","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"NAPS","0.9998","0.9998","1.0076","1.0033","0.9982","0.0000","-","-"
"YoY %","0.00%","-0.77%","0.43%","0.51%","0.00%","-","-",""
"Horiz. %","100.16%","100.16%","100.94%","100.51%","100.00%","-","-",""
"RPS","12.36","12.47","12.48","12.42","5.21","-","-","-"
"YoY %","-0.88%","-0.08%","0.48%","138.39%","0.00%","-","-",""
"Horiz. %","237.24%","239.35%","239.54%","238.39%","100.00%","-","-",""
"EPS","5.95","6.91","6.74","7.44","2.90","0.00","-","-"
"YoY %","-13.89%","2.52%","-9.41%","156.55%","0.00%","-","-",""
"Horiz. %","205.17%","238.28%","232.41%","256.55%","100.00%","-","-",""
"DPS","0.00","0.00","0.00","0.00","1.00","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"NAPS","0.9998","0.9998","1.0076","1.0029","0.9982","0.0000","-","-"
"YoY %","0.00%","-0.77%","0.47%","0.47%","0.00%","-","-",""
"Horiz. %","100.16%","100.16%","100.94%","100.47%","100.00%","-","-",""
"Date","AQR","T4Q","28/06/19","29/06/18","30/06/17","-","-","-"
"Price","0.8850","0.8850","0.8400","0.8000","0.9200","0.0000","-","-"
"P/RPS","7.16","7.10","6.73","6.44","17.64","0.00","-","-"
"YoY %","0.85%","5.50%","4.50%","-63.49%","0.00%","-","-",""
"Horiz. %","40.59%","40.25%","38.15%","36.51%","100.00%","-","-",""
"P/EPS","14.89","12.81","12.47","10.75","31.71","0.00","-","-"
"YoY %","16.24%","2.73%","16.00%","-66.10%","0.00%","-","-",""
"Horiz. %","46.96%","40.40%","39.33%","33.90%","100.00%","-","-",""
"EY","6.72","7.81","8.02","9.30","3.15","0.00","-","-"
"YoY %","-13.96%","-2.62%","-13.76%","195.24%","0.00%","-","-",""
"Horiz. %","213.33%","247.94%","254.60%","295.24%","100.00%","-","-",""
"DY","0.00","0.00","0.00","0.00","1.09","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"P/NAPS","0.89","0.89","0.83","0.80","0.92","0.00","-","-"
"YoY %","0.00%","7.23%","3.75%","-13.04%","0.00%","-","-",""
"Horiz. %","96.74%","96.74%","90.22%","86.96%","100.00%","-","-",""
"Date","AQR","T4Q","26/07/19","26/07/18","25/07/17","-","-","-"
"Price","0.8700","0.8700","0.8350","0.8200","0.9200","0.0000","-","-"
"P/RPS","7.04","6.98","6.69","6.60","17.64","0.00","-","-"
"YoY %","0.86%","4.33%","1.36%","-62.59%","0.00%","-","-",""
"Horiz. %","39.91%","39.57%","37.93%","37.41%","100.00%","-","-",""
"P/EPS","14.64","12.59","12.39","11.02","31.71","0.00","-","-"
"YoY %","16.28%","1.61%","12.43%","-65.25%","0.00%","-","-",""
"Horiz. %","46.17%","39.70%","39.07%","34.75%","100.00%","-","-",""
"EY","6.83","7.94","8.07","9.08","3.15","0.00","-","-"
"YoY %","-13.98%","-1.61%","-11.12%","188.25%","0.00%","-","-",""
"Horiz. %","216.83%","252.06%","256.19%","288.25%","100.00%","-","-",""
"DY","0.00","0.00","0.00","0.00","1.09","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"P/NAPS","0.87","0.87","0.83","0.82","0.92","0.00","-","-"
"YoY %","0.00%","4.82%","1.22%","-10.87%","0.00%","-","-",""
"Horiz. %","94.57%","94.57%","90.22%","89.13%","100.00%","-","-",""

