Column1,AQR,T4Q,30/06/19,30/06/18,30/06/17,30/06/16,30/06/15,CAGR
"Price","1.2700","1.2700","1.2700","0.8900","1.5000","1.7900","0.0000","-"
"P/RPS","1.77","1.77","1.77","1.45","2.31","2.53","0.00","-"
"YoY %","0.00%","0.00%","22.07%","-37.23%","-8.70%","0.00%","-",""
"Horiz. %","69.96%","69.96%","69.96%","57.31%","91.30%","100.00%","-",""
"P/EPS","14.02","14.02","14.02","16.03","19.21","22.14","0.00","-"
"YoY %","0.00%","0.00%","-12.54%","-16.55%","-13.23%","0.00%","-",""
"Horiz. %","63.32%","63.32%","63.32%","72.40%","86.77%","100.00%","-",""
"EY","7.14","7.14","7.14","6.24","5.21","4.52","0.00","-"
"YoY %","0.00%","0.00%","14.42%","19.77%","15.27%","0.00%","-",""
"Horiz. %","157.96%","157.96%","157.96%","138.05%","115.27%","100.00%","-",""
"DY","4.33","0.00","4.33","5.62","3.33","2.23","0.00","-"
"YoY %","0.00%","0.00%","-22.95%","68.77%","49.33%","0.00%","-",""
"Horiz. %","194.17%","0.00%","194.17%","252.02%","149.33%","100.00%","-",""
"P/NAPS","1.41","1.41","1.41","1.02","1.72","2.15","0.00","-"
"YoY %","0.00%","0.00%","38.24%","-40.70%","-20.00%","0.00%","-",""
"Horiz. %","65.58%","65.58%","65.58%","47.44%","80.00%","100.00%","-",""

