Column1,AQR,T4Q,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09,CAGR
"EY","-209.70","-1,816.39","-2,380.55","-869.41","-192.73","21.68","35.43","60.79","47.30","0.00","0.00","-"
"YoY %","88.46%","23.70%","-173.81%","-351.10%","-988.98%","-38.81%","-41.72%","28.52%","0.00%","0.00%","-",""
"Horiz. %","-443.34%","-3,840.15%","-5,032.88%","-1,838.08%","-407.46%","45.84%","74.90%","128.52%","100.00%","-","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-",""
"P/NAPS","0.03","0.03","0.02","0.02","0.07","0.16","0.25","0.34","0.47","0.00","0.00","-"
"YoY %","0.00%","50.00%","0.00%","-71.43%","-56.25%","-36.00%","-26.47%","-27.66%","0.00%","0.00%","-",""
"Horiz. %","6.38%","6.38%","4.26%","4.26%","14.89%","34.04%","53.19%","72.34%","100.00%","-","-",""
"Date","AQR","T4Q","27/02/18","28/02/17","29/02/16","27/02/15","28/02/14","26/02/13","27/02/12","24/02/11","-","-"
"Price","0.0100","0.0100","0.0200","0.0250","0.0550","0.2250","0.3000","0.2950","0.4300","0.5300","0.0000","-"
"P/RPS","0.00","0.00","0.00","0.71","0.11","0.39","0.40","0.29","0.44","0.53","0.00","-"
"YoY %","0.00%","0.00%","0.00%","545.45%","-71.79%","-2.50%","37.93%","-34.09%","-16.98%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","133.96%","20.75%","73.58%","75.47%","54.72%","83.02%","100.00%","-",""
"P/EPS","-0.24","-0.03","-0.06","-0.12","-0.34","5.32","2.87","1.52","2.46","2.66","0.00","-"
"YoY %","-700.00%","50.00%","50.00%","64.71%","-106.39%","85.37%","88.82%","-38.21%","-7.52%","0.00%","-",""
"Horiz. %","-9.02%","-1.13%","-2.26%","-4.51%","-12.78%","200.00%","107.89%","57.14%","92.48%","100.00%","-",""
"EY","-419.39","-3,632.77","-1,785.41","-869.41","-297.85","18.79","34.84","65.94","40.70","37.62","0.00","-"
"YoY %","88.46%","-103.47%","-105.36%","-191.90%","-1,685.15%","-46.07%","-47.16%","62.01%","8.19%","0.00%","-",""
"Horiz. %","-1,114.81%","-9,656.49%","-4,745.91%","-2,311.03%","-791.73%","49.95%","92.61%","175.28%","108.19%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-",""
"P/NAPS","0.02","0.02","0.03","0.02","0.04","0.18","0.26","0.31","0.54","0.87","0.00","-"
"YoY %","0.00%","-33.33%","50.00%","-50.00%","-77.78%","-30.77%","-16.13%","-42.59%","-37.93%","0.00%","-",""
"Horiz. %","2.30%","2.30%","3.45%","2.30%","4.60%","20.69%","29.89%","35.63%","62.07%","100.00%","-",""

