Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,CAGR
"YoY %","0.00%","-4.36%","7.36%","7.75%","9.15%","12.70%","5.88%","6.25%","8.81%","4.24%","-",""
"Horiz. %","173.69%","173.69%","181.59%","169.14%","156.98%","143.82%","127.61%","120.52%","113.43%","104.24%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","31/12/12","30/12/11","-","-"
"Price","1.3600","1.3600","1.5100","1.2500","1.6000","2.8800","1.0300","1.1900","0.7200","0.6900","0.0000","-"
"P/RPS","1.05","0.76","0.77","0.73","0.82","1.64","0.71","0.83","0.56","0.56","0.00","-"
"YoY %","38.16%","-1.30%","5.48%","-10.98%","-50.00%","130.99%","-14.46%","48.21%","0.00%","0.00%","-",""
"Horiz. %","187.50%","135.71%","137.50%","130.36%","146.43%","292.86%","126.79%","148.21%","100.00%","100.00%","-",""
"P/EPS","-36.36","8.33","5.52","10.40","8.61","9.37","6.63","8.11","6.41","4.99","0.00","-"
"YoY %","-536.49%","50.91%","-46.92%","20.79%","-8.11%","41.33%","-18.25%","26.52%","28.46%","0.00%","-",""
"Horiz. %","-728.66%","166.93%","110.62%","208.42%","172.55%","187.78%","132.87%","162.53%","128.46%","100.00%","-",""
"EY","-2.75","12.01","18.10","9.61","11.62","10.67","15.08","12.32","15.61","20.03","0.00","-"
"YoY %","-122.90%","-33.65%","88.35%","-17.30%","8.90%","-29.24%","22.40%","-21.08%","-22.07%","0.00%","-",""
"Horiz. %","-13.73%","59.96%","90.36%","47.98%","58.01%","53.27%","75.29%","61.51%","77.93%","100.00%","-",""
"DY","7.35","9.56","10.60","0.00","3.75","5.21","7.77","6.72","0.00","18.57","0.00","-"
"YoY %","-23.12%","-9.81%","0.00%","0.00%","-28.02%","-32.95%","15.63%","0.00%","0.00%","0.00%","-",""
"Horiz. %","39.58%","51.48%","57.08%","0.00%","20.19%","28.06%","41.84%","36.19%","0.00%","100.00%","-",""
"P/NAPS","0.79","0.79","0.85","0.75","1.03","2.03","0.82","1.00","0.64","0.64","0.00","-"
"YoY %","0.00%","-7.06%","13.33%","-27.18%","-49.26%","147.56%","-18.00%","56.25%","0.00%","0.00%","-",""
"Horiz. %","123.44%","123.44%","132.81%","117.19%","160.94%","317.19%","128.12%","156.25%","100.00%","100.00%","-",""
"Date","AQR","T4Q","26/02/19","06/02/18","21/02/17","22/02/16","09/02/15","25/02/14","25/02/13","21/02/12","-","-"
"Price","1.1900","1.1900","1.7100","1.2100","1.6800","2.5500","1.1100","1.1200","0.6400","0.6150","0.0000","-"
"P/RPS","0.92","0.66","0.87","0.71","0.86","1.46","0.76","0.79","0.50","0.50","0.00","-"
"YoY %","39.39%","-24.14%","22.54%","-17.44%","-41.10%","92.11%","-3.80%","58.00%","0.00%","0.00%","-",""
"Horiz. %","184.00%","132.00%","174.00%","142.00%","172.00%","292.00%","152.00%","158.00%","100.00%","100.00%","-",""
"P/EPS","-31.82","7.29","6.26","10.07","9.04","8.30","7.15","7.64","5.69","4.45","0.00","-"
"YoY %","-536.49%","16.45%","-37.84%","11.39%","8.92%","16.08%","-6.41%","34.27%","27.87%","0.00%","-",""
"Horiz. %","-715.06%","163.82%","140.67%","226.29%","203.15%","186.52%","160.67%","171.69%","127.87%","100.00%","-",""
"EY","-3.14","13.72","15.99","9.93","11.06","12.05","14.00","13.10","17.56","22.47","0.00","-"
"YoY %","-122.89%","-14.20%","61.03%","-10.22%","-8.22%","-13.93%","6.87%","-25.40%","-21.85%","0.00%","-",""
"Horiz. %","-13.97%","61.06%","71.16%","44.19%","49.22%","53.63%","62.31%","58.30%","78.15%","100.00%","-",""
"DY","8.40","10.92","9.36","0.00","3.57","5.88","7.21","7.14","0.00","20.83","0.00","-"
"YoY %","-23.08%","16.67%","0.00%","0.00%","-39.29%","-18.45%","0.98%","0.00%","0.00%","0.00%","-",""
"Horiz. %","40.33%","52.42%","44.94%","0.00%","17.14%","28.23%","34.61%","34.28%","0.00%","100.00%","-",""
"P/NAPS","0.69","0.69","0.96","0.72","1.08","1.80","0.88","0.94","0.57","0.57","0.00","-"
"YoY %","0.00%","-28.12%","33.33%","-33.33%","-40.00%","104.55%","-6.38%","64.91%","0.00%","0.00%","-",""
"Horiz. %","121.05%","121.05%","168.42%","126.32%","189.47%","315.79%","154.39%","164.91%","100.00%","100.00%","-",""

