Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,CAGR
"Horiz. %","205.96%","205.96%","205.96%","176.27%","162.36%","267.81%","175.67%","202.98%","130.23%","100.00%","-",""
"EPS","19.26","19.26","19.26","24.97","34.40","21.20","16.07","18.44","15.32","19.56","0.00","-"
"YoY %","0.00%","0.00%","-22.87%","-27.41%","62.26%","31.92%","-12.85%","20.37%","-21.68%","0.00%","-",""
"Horiz. %","98.47%","98.47%","98.47%","127.66%","175.87%","108.38%","82.16%","94.27%","78.32%","100.00%","-",""
"DPS","13.12","13.12","13.12","13.22","12.44","11.23","9.13","8.58","7.47","0.00","0.00","-"
"YoY %","0.00%","0.00%","-0.76%","6.27%","10.77%","23.00%","6.41%","14.86%","0.00%","0.00%","-",""
"Horiz. %","175.64%","175.64%","175.64%","176.97%","166.53%","150.33%","122.22%","114.86%","100.00%","-","-",""
"NAPS","2.3806","2.3806","2.3806","2.1761","1.9405","1.5495","1.3479","1.2015","1.0277","0.0000","1.5100","5.85%"
"YoY %","0.00%","0.00%","9.40%","12.14%","25.23%","14.96%","12.18%","16.91%","0.00%","0.00%","-",""
"Horiz. %","157.66%","157.66%","157.66%","144.11%","128.51%","102.62%","89.26%","79.57%","68.06%","0.00%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","31/12/12","30/12/11","-","-"
"Price","2.1200","2.1200","2.1200","2.3900","2.3500","2.0600","2.1100","1.9400","1.7400","1.3700","0.0000","-"
"P/RPS","3.09","3.09","3.09","3.83","3.85","1.85","2.70","2.02","2.67","0.62","0.00","-"
"YoY %","0.00%","0.00%","-19.32%","-0.52%","108.11%","-31.48%","33.66%","-24.34%","330.65%","0.00%","-",""
"Horiz. %","498.39%","498.39%","498.39%","617.74%","620.97%","298.39%","435.48%","325.81%","430.65%","100.00%","-",""
"P/EPS","10.32","10.32","10.32","8.43","5.67","7.27","9.22","6.94","7.08","0.99","0.00","-"
"YoY %","0.00%","0.00%","22.42%","48.68%","-22.01%","-21.15%","32.85%","-1.98%","615.15%","0.00%","-",""
"Horiz. %","1,042.42%","1,042.42%","1,042.42%","851.52%","572.73%","734.34%","931.31%","701.01%","715.15%","100.00%","-",""
"EY","9.69","9.69","9.69","11.86","17.65","13.75","10.85","14.40","14.13","101.46","0.00","-"
"YoY %","0.00%","0.00%","-18.30%","-32.80%","28.36%","26.73%","-24.65%","1.91%","-86.07%","0.00%","-",""
"Horiz. %","9.55%","9.55%","9.55%","11.69%","17.40%","13.55%","10.69%","14.19%","13.93%","100.00%","-",""
"DY","6.60","6.60","6.60","6.28","6.38","7.28","6.16","6.70","6.90","0.00","0.00","-"
"YoY %","0.00%","0.00%","5.10%","-1.57%","-12.36%","18.18%","-8.06%","-2.90%","0.00%","0.00%","-",""
"Horiz. %","95.65%","95.65%","95.65%","91.01%","92.46%","105.51%","89.28%","97.10%","100.00%","-","-",""
"P/NAPS","0.83","0.83","0.83","0.97","1.00","1.00","1.10","1.07","1.05","0.00","0.00","-"
"YoY %","0.00%","0.00%","-14.43%","-3.00%","0.00%","-9.09%","2.80%","1.90%","0.00%","0.00%","-",""
"Horiz. %","79.05%","79.05%","79.05%","92.38%","95.24%","95.24%","104.76%","101.90%","100.00%","-","-",""
"Date","AQR","T4Q","05/03/19","21/02/18","22/02/17","25/02/16","25/02/15","26/02/14","22/02/13","23/02/12","-","-"
"Price","2.2200","2.2200","2.2200","2.5400","2.5000","2.1000","2.1200","2.0000","1.8000","1.5100","0.0000","-"
"P/RPS","3.24","3.24","3.24","4.07","4.09","1.88","2.72","2.09","2.76","0.68","0.00","-"
"YoY %","0.00%","0.00%","-20.39%","-0.49%","117.55%","-30.88%","30.14%","-24.28%","305.88%","0.00%","-",""
"Horiz. %","476.47%","476.47%","476.47%","598.53%","601.47%","276.47%","400.00%","307.35%","405.88%","100.00%","-",""
"P/EPS","10.80","10.80","10.80","8.96","6.03","7.42","9.26","7.16","7.32","1.09","0.00","-"
"YoY %","0.00%","0.00%","20.54%","48.59%","-18.73%","-19.87%","29.33%","-2.19%","571.56%","0.00%","-",""
"Horiz. %","990.83%","990.83%","990.83%","822.02%","553.21%","680.73%","849.54%","656.88%","671.56%","100.00%","-",""
"EY","9.26","9.26","9.26","11.16","16.59","13.49","10.80","13.97","13.66","92.05","0.00","-"
"YoY %","0.00%","0.00%","-17.03%","-32.73%","22.98%","24.91%","-22.69%","2.27%","-85.16%","0.00%","-",""
"Horiz. %","10.06%","10.06%","10.06%","12.12%","18.02%","14.66%","11.73%","15.18%","14.84%","100.00%","-",""
"DY","6.31","6.31","6.31","5.91","6.00","7.14","6.13","6.50","6.67","0.00","0.00","-"
"YoY %","0.00%","0.00%","6.77%","-1.50%","-15.97%","16.48%","-5.69%","-2.55%","0.00%","0.00%","-",""
"Horiz. %","94.60%","94.60%","94.60%","88.61%","89.96%","107.05%","91.90%","97.45%","100.00%","-","-",""
"P/NAPS","0.87","0.87","0.87","1.03","1.07","1.01","1.10","1.10","1.09","0.00","0.00","-"
"YoY %","0.00%","0.00%","-15.53%","-3.74%","5.94%","-8.18%","0.00%","0.92%","0.00%","0.00%","-",""
"Horiz. %","79.82%","79.82%","79.82%","94.50%","98.17%","92.66%","100.92%","100.92%","100.00%","-","-",""

