Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,CAGR
"P/EPS","20.18","18.89","11.88","23.54","17.80","14.23","0.00","-"
"YoY %","6.83%","59.01%","-49.53%","32.25%","25.09%","0.00%","-",""
"Horiz. %","141.81%","132.75%","83.49%","165.43%","125.09%","100.00%","-",""
"EY","4.95","5.29","8.42","4.25","5.62","7.03","0.00","-"
"YoY %","-6.43%","-37.17%","98.12%","-24.38%","-20.06%","0.00%","-",""
"Horiz. %","70.41%","75.25%","119.77%","60.46%","79.94%","100.00%","-",""
"DY","3.48","3.48","5.26","2.79","3.82","0.00","0.00","-"
"YoY %","0.00%","-33.84%","88.53%","-26.96%","0.00%","0.00%","-",""
"Horiz. %","91.10%","91.10%","137.70%","73.04%","100.00%","-","-",""
"P/NAPS","4.28","4.28","2.89","5.84","4.47","4.00","0.00","-"
"YoY %","0.00%","48.10%","-50.51%","30.65%","11.75%","0.00%","-",""
"Horiz. %","107.00%","107.00%","72.25%","146.00%","111.75%","100.00%","-",""
"Date","AQR","T4Q","25/02/19","26/02/18","23/02/17","25/02/16","-","-"
"Price","2.0200","2.0200","1.7300","2.4600","1.8000","1.4000","0.0000","-"
"P/RPS","1.48","1.26","0.99","1.53","1.30","0.94","0.00","-"
"YoY %","17.46%","27.27%","-35.29%","17.69%","38.30%","0.00%","-",""
"Horiz. %","157.45%","134.04%","105.32%","162.77%","138.30%","100.00%","-",""
"P/EPS","20.28","18.98","15.45","23.07","18.85","14.23","0.00","-"
"YoY %","6.85%","22.85%","-33.03%","22.39%","32.47%","0.00%","-",""
"Horiz. %","142.52%","133.38%","108.57%","162.12%","132.47%","100.00%","-",""
"EY","4.93","5.27","6.47","4.34","5.31","7.03","0.00","-"
"YoY %","-6.45%","-18.55%","49.08%","-18.27%","-24.47%","0.00%","-",""
"Horiz. %","70.13%","74.96%","92.03%","61.74%","75.53%","100.00%","-",""
"DY","3.47","3.47","4.05","2.85","3.61","0.00","0.00","-"
"YoY %","0.00%","-14.32%","42.11%","-21.05%","0.00%","0.00%","-",""
"Horiz. %","96.12%","96.12%","112.19%","78.95%","100.00%","-","-",""
"P/NAPS","4.30","4.30","3.76","5.72","4.74","4.00","0.00","-"
"YoY %","0.00%","14.36%","-34.27%","20.68%","18.50%","0.00%","-",""
"Horiz. %","107.50%","107.50%","94.00%","143.00%","118.50%","100.00%","-",""

