Column1,AQR,T4Q,30/06/19,30/06/18,30/06/17,30/06/16,&nbsp;-&nbsp;,CAGR
"Horiz. %","48.14%","48.14%","48.14%","71.12%","100.00%","-","-",""
"P/EPS","14.29","14.29","14.29","26.15","27.41","0.00","-","-"
"YoY %","0.00%","0.00%","-45.35%","-4.60%","0.00%","-","-",""
"Horiz. %","52.13%","52.13%","52.13%","95.40%","100.00%","-","-",""
"EY","7.00","7.00","7.00","3.82","3.65","0.00","-","-"
"YoY %","0.00%","0.00%","83.25%","4.66%","0.00%","-","-",""
"Horiz. %","191.78%","191.78%","191.78%","104.66%","100.00%","-","-",""
"DY","3.08","3.08","3.08","2.63","1.25","0.00","-","-"
"YoY %","0.00%","0.00%","17.11%","110.40%","0.00%","-","-",""
"Horiz. %","246.40%","246.40%","246.40%","210.40%","100.00%","-","-",""
"P/NAPS","2.10","2.10","2.10","2.78","4.38","0.00","-","-"
"YoY %","0.00%","0.00%","-24.46%","-36.53%","0.00%","-","-",""
"Horiz. %","47.95%","47.95%","47.95%","63.47%","100.00%","-","-",""

