Column1,AQR,T4Q,30/06/16,30/06/15,30/06/14,30/06/13,30/06/12,30/06/11,30/06/10,30/06/09,30/06/08,CAGR
"NAPS","1.9000","1.9000","2.3200","3.4100","3.1200","2.5200","2.0300","1.5800","1.1100","0.5600","0.4600","22.40%"
"YoY %","0.00%","-18.10%","-31.96%","9.29%","23.81%","24.14%","28.48%","42.34%","98.21%","21.74%","-",""
"Horiz. %","413.04%","413.04%","504.35%","741.30%","678.26%","547.83%","441.30%","343.48%","241.30%","121.74%","100.00%",""
"RPS","51.13","56.28","90.21","169.98","141.90","174.20","179.04","154.22","118.86","89.48","67.53","3.68%"
"YoY %","-9.15%","-37.61%","-46.93%","19.79%","-18.54%","-2.70%","16.09%","29.75%","32.83%","32.50%","-",""
"Horiz. %","75.71%","83.34%","133.59%","251.71%","210.13%","257.96%","265.13%","228.37%","176.01%","132.50%","100.00%",""
"EPS","8.00","-79.48","-72.80","27.00","20.00","31.51","25.77","25.99","20.91","19.01","13.73","-"
"YoY %","110.07%","-9.18%","-369.63%","35.00%","-36.53%","22.27%","-0.85%","24.29%","9.99%","38.46%","-",""
"Horiz. %","58.27%","-578.88%","-530.23%","196.65%","145.67%","229.50%","187.69%","189.29%","152.29%","138.46%","100.00%",""
"DPS","0.00","0.00","0.00","1.12","0.00","0.00","0.00","0.00","3.20","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","35.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"NAPS","1.9000","1.9000","1.8160","1.9102","1.9963","1.7954","1.2772","1.0137","0.7101","0.2476","0.2037","31.43%"
"YoY %","0.00%","4.63%","-4.93%","-4.31%","11.19%","40.57%","25.99%","42.75%","186.79%","21.55%","-",""
"Horiz. %","932.74%","932.74%","891.51%","937.75%","980.02%","881.39%","627.00%","497.64%","348.60%","121.55%","100.00%",""
"Date","AQR","T4Q","30/06/16","30/06/15","30/06/14","28/06/13","29/06/12","30/06/11","30/06/10","-","-","-"
"Price","0.0850","0.0850","0.2250","0.5000","0.8000","0.9250","0.8900","1.1200","1.3300","0.0000","0.0000","-"
"P/RPS","0.17","0.15","0.20","0.16","0.36","0.38","0.31","0.47","0.72","0.00","0.00","-"
"YoY %","13.33%","-25.00%","25.00%","-55.56%","-5.26%","22.58%","-34.04%","-34.72%","0.00%","0.00%","-",""
"Horiz. %","23.61%","20.83%","27.78%","22.22%","50.00%","52.78%","43.06%","65.28%","100.00%","-","-",""
"P/EPS","-5.66","-0.11","-0.24","1.04","2.56","2.09","2.17","2.76","4.07","0.00","0.00","-"
"YoY %","-5,045.45%","54.17%","-123.08%","-59.38%","22.49%","-3.69%","-21.38%","-32.19%","0.00%","0.00%","-",""
"Horiz. %","-139.07%","-2.70%","-5.90%","25.55%","62.90%","51.35%","53.32%","67.81%","100.00%","-","-",""
"EY","-17.66","-935.03","-413.33","96.39","39.07","47.81","46.02","36.17","24.58","0.00","0.00","-"
"YoY %","98.11%","-126.22%","-528.81%","146.71%","-18.28%","3.89%","27.23%","47.15%","0.00%","0.00%","-",""
"Horiz. %","-71.85%","-3,804.03%","-1,681.57%","392.15%","158.95%","194.51%","187.23%","147.15%","100.00%","-","-",""
"DY","0.00","0.00","0.00","4.00","0.00","0.00","0.00","0.00","3.76","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","106.38%","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"P/NAPS","0.04","0.04","0.10","0.15","0.26","0.37","0.44","0.71","1.20","0.00","0.00","-"
"YoY %","0.00%","-60.00%","-33.33%","-42.31%","-29.73%","-15.91%","-38.03%","-40.83%","0.00%","0.00%","-",""
"Horiz. %","3.33%","3.33%","8.33%","12.50%","21.67%","30.83%","36.67%","59.17%","100.00%","-","-",""
"Date","AQR","T4Q","30/08/16","24/08/15","26/08/14","26/08/13","27/08/12","26/08/11","16/08/10","24/08/09","-","-"
"Price","0.0850","0.0850","0.1600","0.4350","0.6300","0.9200","0.8600","0.9800","1.9000","1.3300","0.0000","-"
"P/RPS","0.17","0.15","0.14","0.14","0.28","0.38","0.30","0.41","1.02","0.66","0.00","-"
"YoY %","13.33%","7.14%","0.00%","-50.00%","-26.32%","26.67%","-26.83%","-59.80%","54.55%","0.00%","-",""
"Horiz. %","25.76%","22.73%","21.21%","21.21%","42.42%","57.58%","45.45%","62.12%","154.55%","100.00%","-",""
"P/EPS","-5.66","-0.11","-0.17","0.90","2.02","2.08","2.10","2.42","5.81","3.09","0.00","-"
"YoY %","-5,045.45%","35.29%","-118.89%","-55.45%","-2.88%","-0.95%","-13.22%","-58.35%","88.03%","0.00%","-",""
"Horiz. %","-183.17%","-3.56%","-5.50%","29.13%","65.37%","67.31%","67.96%","78.32%","188.03%","100.00%","-",""
"EY","-17.66","-935.03","-581.25","110.79","49.61","48.07","47.63","41.34","17.20","32.33","0.00","-"
"YoY %","98.11%","-60.87%","-624.64%","123.32%","3.20%","0.92%","15.22%","140.35%","-46.80%","0.00%","-",""
"Horiz. %","-54.62%","-2,892.14%","-1,797.87%","342.68%","153.45%","148.69%","147.32%","127.87%","53.20%","100.00%","-",""
"DY","0.00","0.00","0.00","4.60","0.00","0.00","0.00","0.00","2.63","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","174.90%","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"P/NAPS","0.04","0.04","0.07","0.13","0.20","0.37","0.42","0.62","1.71","2.38","0.00","-"
"YoY %","0.00%","-42.86%","-46.15%","-35.00%","-45.95%","-11.90%","-32.26%","-63.74%","-28.15%","0.00%","-",""
"Horiz. %","1.68%","1.68%","2.94%","5.46%","8.40%","15.55%","17.65%","26.05%","71.85%","100.00%","-",""

