Column1,AQR,T4Q,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,CAGR
"Horiz. %","208.72%","176.74%","98.22%","103.39%","-48.30%","186.27%","183.68%","100.00%","-",""
"DY","0.00","4.01","1.04","0.00","0.00","0.00","1.80","1.43","0.00","-"
"YoY %","0.00%","285.58%","0.00%","0.00%","0.00%","0.00%","25.87%","0.00%","-",""
"Horiz. %","0.00%","280.42%","72.73%","0.00%","0.00%","0.00%","125.87%","100.00%","-",""
"P/NAPS","1.19","1.19","1.87","1.03","1.01","1.45","1.49","1.63","0.00","-"
"YoY %","0.00%","-36.36%","81.55%","1.98%","-30.34%","-2.68%","-8.59%","0.00%","-",""
"Horiz. %","73.01%","73.01%","114.72%","63.19%","61.96%","88.96%","91.41%","100.00%","-",""
"Date","AQR","T4Q","08/02/18","23/02/17","26/02/16","25/02/15","28/02/14","26/02/13","-","-"
"Price","1.4200","1.4200","1.8700","1.0800","0.8500","1.2600","1.1000","1.1500","0.0000","-"
"P/RPS","1.04","1.19","1.63","1.28","1.21","0.87","0.96","1.15","0.00","-"
"YoY %","-12.61%","-26.99%","27.34%","5.79%","39.08%","-9.37%","-16.52%","0.00%","-",""
"Horiz. %","90.43%","103.48%","141.74%","111.30%","105.22%","75.65%","83.48%","100.00%","-",""
"P/EPS","9.16","10.82","15.93","18.64","-34.23","8.74","9.13","17.04","0.00","-"
"YoY %","-15.34%","-32.08%","-14.54%","154.46%","-491.65%","-4.27%","-46.42%","0.00%","-",""
"Horiz. %","53.76%","63.50%","93.49%","109.39%","-200.88%","51.29%","53.58%","100.00%","-",""
"EY","10.92","9.24","6.28","5.37","-2.92","11.44","10.96","5.87","0.00","-"
"YoY %","18.18%","47.13%","16.95%","283.90%","-125.52%","4.38%","86.71%","0.00%","-",""
"Horiz. %","186.03%","157.41%","106.98%","91.48%","-49.74%","194.89%","186.71%","100.00%","-",""
"DY","0.00","3.39","1.07","0.00","0.00","0.00","1.74","1.36","0.00","-"
"YoY %","0.00%","216.82%","0.00%","0.00%","0.00%","0.00%","27.94%","0.00%","-",""
"Horiz. %","0.00%","249.26%","78.68%","0.00%","0.00%","0.00%","127.94%","100.00%","-",""
"P/NAPS","1.41","1.41","1.82","1.23","1.04","1.47","1.55","1.72","0.00","-"
"YoY %","0.00%","-22.53%","47.97%","18.27%","-29.25%","-5.16%","-9.88%","0.00%","-",""
"Horiz. %","81.98%","81.98%","105.81%","71.51%","60.47%","85.47%","90.12%","100.00%","-",""

