Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,CAGR
"Horiz. %","37.74%","37.74%","38.36%","48.43%","50.00%","55.66%","54.72%","56.60%","52.52%","100.00%",""
"RPS","359.38","355.87","369.15","465.30","472.60","429.53","450.48","344.50","353.23","204.30","8.81%"
"YoY %","0.99%","-3.60%","-20.66%","-1.54%","10.03%","-4.65%","30.76%","-2.47%","72.90%","-",""
"Horiz. %","175.91%","174.19%","180.69%","227.75%","231.33%","210.24%","220.50%","168.62%","172.90%","100.00%",""
"EPS","-3.00","-30.53","-29.60","3.90","0.90","3.20","8.40","26.90","22.09","36.40","-"
"YoY %","90.17%","-3.14%","-858.97%","333.33%","-71.88%","-61.90%","-68.77%","21.77%","-39.31%","-",""
"Horiz. %","-8.24%","-83.87%","-81.32%","10.71%","2.47%","8.79%","23.08%","73.90%","60.69%","100.00%",""
"DPS","0.00","0.00","0.00","5.00","0.00","4.00","10.00","16.00","10.86","0.68","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-60.00%","-37.50%","47.33%","1,497.06%","-",""
"Horiz. %","0.00%","0.00%","0.00%","735.29%","0.00%","588.24%","1,470.59%","2,352.94%","1,597.06%","100.00%",""
"NAPS","1.2000","1.2000","1.2200","1.5400","1.5900","1.7700","1.7400","1.8000","1.2953","1.5408","-3.28%"
"YoY %","0.00%","-1.64%","-20.78%","-3.14%","-10.17%","1.72%","-3.33%","38.96%","-15.93%","-",""
"Horiz. %","77.88%","77.88%","79.18%","99.95%","103.19%","114.88%","112.93%","116.82%","84.07%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","31/12/12","-","-"
"Price","1.1200","1.1200","0.7150","1.6900","1.5500","1.7100","2.1800","4.4900","4.6200","0.0000","-"
"P/RPS","0.31","0.31","0.19","0.36","0.33","0.40","0.48","1.30","1.01","0.00","-"
"YoY %","0.00%","63.16%","-47.22%","9.09%","-17.50%","-16.67%","-63.08%","28.71%","0.00%","-",""
"Horiz. %","30.69%","30.69%","18.81%","35.64%","32.67%","39.60%","47.52%","128.71%","100.00%","-",""
"P/EPS","-36.76","-3.67","-2.42","42.90","179.71","53.26","25.96","16.68","16.22","0.00","-"
"YoY %","-901.63%","-51.65%","-105.64%","-76.13%","237.42%","105.16%","55.64%","2.84%","0.00%","-",""
"Horiz. %","-226.63%","-22.63%","-14.92%","264.49%","1,107.95%","328.36%","160.05%","102.84%","100.00%","-",""
"EY","-2.72","-27.26","-41.40","2.33","0.56","1.88","3.85","6.00","6.16","0.00","-"
"YoY %","90.02%","34.15%","-1,876.82%","316.07%","-70.21%","-51.17%","-35.83%","-2.60%","0.00%","-",""
"Horiz. %","-44.16%","-442.53%","-672.08%","37.82%","9.09%","30.52%","62.50%","97.40%","100.00%","-",""
"DY","0.00","0.00","0.00","2.96","0.00","2.34","4.59","3.56","3.03","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-49.02%","28.93%","17.49%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","97.69%","0.00%","77.23%","151.49%","117.49%","100.00%","-",""
"P/NAPS","0.93","0.93","0.59","1.10","0.97","0.97","1.25","2.49","2.77","0.00","-"
"YoY %","0.00%","57.63%","-46.36%","13.40%","0.00%","-22.40%","-49.80%","-10.11%","0.00%","-",""
"Horiz. %","33.57%","33.57%","21.30%","39.71%","35.02%","35.02%","45.13%","89.89%","100.00%","-",""
"Date","AQR","T4Q","28/02/19","23/02/18","28/02/17","29/02/16","24/02/15","26/02/14","26/02/13","-","-"
"Price","0.9500","0.9500","1.1200","1.9900","1.8800","1.5300","2.9400","4.5500","4.4400","0.0000","-"
"P/RPS","0.26","0.27","0.30","0.43","0.40","0.36","0.65","1.32","0.97","0.00","-"
"YoY %","-3.70%","-10.00%","-30.23%","7.50%","11.11%","-44.62%","-50.76%","36.08%","0.00%","-",""
"Horiz. %","26.80%","27.84%","30.93%","44.33%","41.24%","37.11%","67.01%","136.08%","100.00%","-",""
"P/EPS","-31.18","-3.11","-3.78","50.51","217.97","47.66","35.01","16.90","15.59","0.00","-"
"YoY %","-902.57%","17.72%","-107.48%","-76.83%","357.34%","36.13%","107.16%","8.40%","0.00%","-",""
"Horiz. %","-200.00%","-19.95%","-24.25%","323.99%","1,398.14%","305.71%","224.57%","108.40%","100.00%","-",""
"EY","-3.21","-32.13","-26.43","1.98","0.46","2.10","2.86","5.92","6.41","0.00","-"
"YoY %","90.01%","-21.57%","-1,434.85%","330.43%","-78.10%","-26.57%","-51.69%","-7.64%","0.00%","-",""
"Horiz. %","-50.08%","-501.25%","-412.32%","30.89%","7.18%","32.76%","44.62%","92.36%","100.00%","-",""
"DY","0.00","0.00","0.00","2.51","0.00","2.61","3.40","3.52","3.15","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-23.24%","-3.41%","11.75%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","79.68%","0.00%","82.86%","107.94%","111.75%","100.00%","-",""
"P/NAPS","0.79","0.79","0.92","1.29","1.18","0.86","1.69","2.53","2.66","0.00","-"
"YoY %","0.00%","-14.13%","-28.68%","9.32%","37.21%","-49.11%","-33.20%","-4.89%","0.00%","-",""
"Horiz. %","29.70%","29.70%","34.59%","48.50%","44.36%","32.33%","63.53%","95.11%","100.00%","-",""

