Column1,AQR,T4Q,30/09/18,30/09/17,30/09/16,30/09/15,30/09/14,30/09/13,31/12/12,31/12/11,31/12/10,CAGR
"YoY %","4.05%","-0.56%","-19.48%","5.92%","40.73%","-48.37%","34.30%","83.11%","0.00%","0.00%","-",""
"Horiz. %","157.68%","151.54%","152.39%","189.25%","178.67%","126.96%","245.90%","183.11%","100.00%","-","-",""
"EY","10.82","11.27","11.20","9.01","9.55","13.44","6.94","9.32","17.07","0.00","0.00","-"
"YoY %","-3.99%","0.63%","24.31%","-5.65%","-28.94%","93.66%","-25.54%","-45.40%","0.00%","0.00%","-",""
"Horiz. %","63.39%","66.02%","65.61%","52.78%","55.95%","78.73%","40.66%","54.60%","100.00%","-","-",""
"DY","2.82","4.23","5.07","2.94","3.17","3.57","2.84","3.13","5.30","0.00","0.00","-"
"YoY %","-33.33%","-16.57%","72.45%","-7.26%","-11.20%","25.70%","-9.27%","-40.94%","0.00%","0.00%","-",""
"Horiz. %","53.21%","79.81%","95.66%","55.47%","59.81%","67.36%","53.58%","59.06%","100.00%","-","-",""
"P/NAPS","1.06","1.06","1.07","1.40","1.15","1.10","1.57","1.13","0.83","0.00","0.00","-"
"YoY %","0.00%","-0.93%","-23.57%","21.74%","4.55%","-29.94%","38.94%","36.14%","0.00%","0.00%","-",""
"Horiz. %","127.71%","127.71%","128.92%","168.67%","138.55%","132.53%","189.16%","136.14%","100.00%","-","-",""

