Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/07/14,31/07/13,CAGR
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
"Net Worth","833,273","833,273","844,237","822,309","908,674","535,883","-396,213","445","302.25%"
"YoY %","0.00%","-1.30%","2.67%","-9.50%","69.57%","235.25%","-89,021.75%","-",""
"Horiz. %","187,010.48%","187,010.48%","189,471.16%","184,549.83%","203,932.52%","120,267.55%","-88,921.75%","100.00%",""
"NOSH","1,096,413","1,096,413","1,096,413","1,096,413","1,262,047","26,794,167","94,336,668","14,281","122.69%"
"YoY %","0.00%","0.00%","0.00%","-13.12%","-95.29%","-71.60%","660,460.81%","-",""
"Horiz. %","7,677.26%","7,677.26%","7,677.26%","7,677.26%","8,837.06%","187,617.14%","660,560.81%","100.00%",""
"NP Margin","-30.40    %","-32.61    %","-27.59    %","-101.75    %","751.59    %","-78.22    %","-8,550.15    %","-54,225.00    %","-75.31%"
"YoY %","6.78%","-18.19%","72.88%","-113.54%","1,060.87%","99.09%","84.23%","-",""
"Horiz. %","0.06%","0.06%","0.05%","0.19%","-1.39%","0.14%","15.77%","100.00%",""
"ROE","-5.82    %","-7.07    %","-5.26    %","-11.72    %","12.40    %","-6.00    %","0.00    %","-486.79    %","-56.62%"
"YoY %","17.68%","-34.41%","55.12%","-194.52%","306.67%","0.00%","0.00%","-",""
"Horiz. %","1.20%","1.45%","1.08%","2.41%","-2.55%","1.23%","-0.00%","100.00%",""
"RPS","17.85","18.97","20.09","14.33","1.19","0.15","0.00","0.03","232.04%"
"YoY %","-5.90%","-5.57%","40.20%","1,104.20%","693.33%","0.00%","0.00%","-",""
"Horiz. %","59,500.00%","63,233.33%","66,966.67%","47,766.67%","3,966.67%","500.00%","0.00%","100.00%",""
"EPS","-0.06","-5.37","-0.04","-0.09","0.09","-0.12","-0.03","-0.15","-21.63%"
"YoY %","98.88%","-13,325.00%","55.56%","-200.00%","175.00%","-300.00%","80.00%","-",""
"Horiz. %","40.00%","3,580.00%","26.67%","60.00%","-60.00%","80.00%","20.00%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
"NAPS","0.7600","0.7600","0.7700","0.7500","0.7200","0.0200","-0.0042","0.0312","80.63%"
"YoY %","0.00%","-1.30%","2.67%","4.17%","3,500.00%","576.19%","-113.46%","-",""
"Horiz. %","2,435.90%","2,435.90%","2,467.95%","2,403.85%","2,307.69%","64.10%","-13.46%","100.00%",""
"RPS","17.85","18.97","20.09","14.33","1.37","3.75","0.03","0.00","-"
"YoY %","-5.90%","-5.57%","40.20%","945.99%","-63.47%","12,400.00%","0.00%","-",""
"Horiz. %","59,500.00%","63,233.33%","66,966.67%","47,766.67%","4,566.67%","12,500.00%","100.00%","-",""
"EPS","-0.06","-5.37","-0.04","-0.09","10.28","-2.93","-2.58","-0.20","-25.68%"
"YoY %","98.88%","-13,325.00%","55.56%","-100.88%","450.85%","-13.57%","-1,190.00%","-",""
"Horiz. %","30.00%","2,685.00%","20.00%","45.00%","-5,140.00%","1,465.00%","1,290.00%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
"NAPS","0.7600","0.7600","0.7700","0.7500","0.8288","0.4888","-0.3614","0.0004","303.43%"
"YoY %","0.00%","-1.30%","2.67%","-9.51%","69.56%","235.25%","-90,450.01%","-",""
"Horiz. %","190,000.00%","190,000.00%","192,500.00%","187,500.00%","207,200.00%","122,200.00%","-90,350.01%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","-","-","-"
"Price","0.1900","0.1900","0.2950","0.4100","0.6400","0.6350","0.0000","0.0000","-"
"P/RPS","1.06","1.00","1.47","2.86","53.87","0.00","0.00","0.00","-"
"YoY %","6.00%","-31.97%","-48.60%","-94.69%","0.00%","0.00%","0.00%","-",""
"Horiz. %","1.97%","1.86%","2.73%","5.31%","100.00%","-","-","-",""
"P/EPS","-4.29","-3.54","-7.28","-4.67","7.17","0.00","0.00","0.00","-"
"YoY %","-21.19%","51.37%","-55.89%","-165.13%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-59.83%","-49.37%","-101.53%","-65.13%","100.00%","-","-","-",""
"EY","-23.30","-28.27","-13.74","-21.43","13.95","0.00","0.00","0.00","-"
"YoY %","17.58%","-105.75%","35.88%","-253.62%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-167.03%","-202.65%","-98.49%","-153.62%","100.00%","-","-","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
"P/NAPS","0.25","0.25","0.38","0.55","0.89","31.75","0.00","0.00","-"
"YoY %","0.00%","-34.21%","-30.91%","-38.20%","-97.20%","0.00%","0.00%","-",""
"Horiz. %","0.79%","0.79%","1.20%","1.73%","2.80%","100.00%","-","-",""
"Date","AQR","T4Q","28/02/19","28/02/18","28/02/17","29/02/16","30/09/14","-","-"
"Price","0.1850","0.1850","0.2950","0.3600","0.6200","0.6550","0.6450","0.0000","-"
"P/RPS","1.04","0.98","1.47","2.51","52.19","0.00","183,828.25","0.00","-"
"YoY %","6.12%","-33.33%","-41.43%","-95.19%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.03%","0.00%","100.00%","-",""
"P/EPS","-4.18","-3.44","-7.28","-4.10","6.94","0.00","-2,150.00","0.00","-"
"YoY %","-21.51%","52.75%","-77.56%","-159.08%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.19%","0.16%","0.34%","0.19%","-0.32%","-0.00%","100.00%","-",""
"EY","-23.93","-29.04","-13.74","-24.41","14.40","0.00","-0.05","0.00","-"
"YoY %","17.60%","-111.35%","43.71%","-269.51%","0.00%","0.00%","0.00%","-",""
"Horiz. %","47,860.00%","58,080.00%","27,480.00%","48,820.00%","-28,800.00%","-0.00%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-",""
"P/NAPS","0.24","0.24","0.38","0.48","0.86","32.75","0.00","0.00","-"
"YoY %","0.00%","-36.84%","-20.83%","-44.19%","-97.37%","0.00%","0.00%","-",""
"Horiz. %","0.73%","0.73%","1.16%","1.47%","2.63%","100.00%","-","-",""

