Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,CAGR
"Horiz. %","248.56%","248.56%","251.41%","236.70%","214.31%","199.94%","100.00%",""
"NP Margin","1.67    %","2.33    %","2.29    %","2.91    %","3.91    %","2.52    %","2.48    %","-1.97%"
"YoY %","-28.33%","1.75%","-21.31%","-25.58%","55.16%","1.61%","-",""
"Horiz. %","67.34%","93.95%","92.34%","117.34%","157.66%","101.61%","100.00%",""
"ROE","4.19    %","5.86    %","5.79    %","7.44    %","13.23    %","11.57    %","26.19    %","-31.41%"
"YoY %","-28.50%","1.21%","-22.18%","-43.76%","14.35%","-55.82%","-",""
"Horiz. %","16.00%","22.37%","22.11%","28.41%","50.52%","44.18%","100.00%",""
"RPS","176.47","196.83","198.67","193.87","223.25","271.01","551.01","-22.50%"
"YoY %","-10.34%","-0.93%","2.48%","-13.16%","-17.62%","-50.82%","-",""
"Horiz. %","32.03%","35.72%","36.06%","35.18%","40.52%","49.18%","100.00%",""
"EPS","3.24","4.51","4.34","5.66","8.37","6.83","13.64","-24.88%"
"YoY %","-28.16%","3.92%","-23.32%","-32.38%","22.55%","-49.93%","-",""
"Horiz. %","23.75%","33.06%","31.82%","41.50%","61.36%","50.07%","100.00%",""
"DPS","0.00","0.02","0.02","0.02","0.02","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","100.00%","100.00%","100.00%","100.00%","-","-",""
"NAPS","0.7700","0.7700","0.7500","0.7600","0.6600","0.5901","0.5209","9.53%"
"YoY %","0.00%","2.67%","-1.32%","15.15%","11.85%","13.28%","-",""
"Horiz. %","147.82%","147.82%","143.98%","145.90%","126.70%","113.28%","100.00%",""
"RPS","174.47","194.60","198.67","182.53","190.30","215.52","219.17","-2.42%"
"YoY %","-10.34%","-2.05%","8.84%","-4.08%","-11.70%","-1.67%","-",""
"Horiz. %","79.60%","88.79%","90.65%","83.28%","86.83%","98.33%","100.00%",""
"EPS","3.19","4.46","4.34","5.33","7.45","5.43","5.43","-5.44%"
"YoY %","-28.48%","2.76%","-18.57%","-28.46%","37.20%","0.00%","-",""
"Horiz. %","58.75%","82.14%","79.93%","98.16%","137.20%","100.00%","100.00%",""
"DPS","0.00","0.02","0.02","0.02","0.02","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","100.00%","100.00%","100.00%","100.00%","-","-",""
"NAPS","0.7613","0.7613","0.7500","0.7155","0.5626","0.4693","0.2072","37.90%"
"YoY %","0.00%","1.51%","4.82%","27.18%","19.88%","126.50%","-",""
"Horiz. %","367.42%","367.42%","361.97%","345.32%","271.53%","226.50%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","-","-","-"
"Price","0.8000","0.8000","0.7250","1.2100","0.8700","0.0000","0.0000","-"
"P/RPS","0.45","0.41","0.36","0.62","0.39","0.00","0.00","-"
"YoY %","9.76%","13.89%","-41.94%","58.97%","0.00%","0.00%","-",""
"Horiz. %","115.38%","105.13%","92.31%","158.97%","100.00%","-","-",""
"P/EPS","24.78","17.73","16.70","21.39","9.96","0.00","0.00","-"
"YoY %","39.76%","6.17%","-21.93%","114.76%","0.00%","0.00%","-",""
"Horiz. %","248.80%","178.01%","167.67%","214.76%","100.00%","-","-",""
"EY","4.03","5.64","5.99","4.68","10.04","0.00","0.00","-"
"YoY %","-28.55%","-5.84%","27.99%","-53.39%","0.00%","0.00%","-",""
"Horiz. %","40.14%","56.18%","59.66%","46.61%","100.00%","-","-",""
"DY","0.00","0.02","0.03","0.02","0.02","0.00","0.00","-"
"YoY %","0.00%","-33.33%","50.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","100.00%","150.00%","100.00%","100.00%","-","-",""
"P/NAPS","1.04","1.04","0.97","1.59","1.32","0.00","0.00","-"
"YoY %","0.00%","7.22%","-38.99%","20.45%","0.00%","0.00%","-",""
"Horiz. %","78.79%","78.79%","73.48%","120.45%","100.00%","-","-",""
"Date","AQR","T4Q","21/02/19","27/02/18","27/02/17","-","-","-"
"Price","0.7600","0.7600","0.7650","1.0200","1.0200","0.0000","0.0000","-"
"P/RPS","0.43","0.39","0.39","0.53","0.46","0.00","0.00","-"
"YoY %","10.26%","0.00%","-26.42%","15.22%","0.00%","0.00%","-",""
"Horiz. %","93.48%","84.78%","84.78%","115.22%","100.00%","-","-",""
"P/EPS","23.54","16.85","17.62","18.03","11.68","0.00","0.00","-"
"YoY %","39.70%","-4.37%","-2.27%","54.37%","0.00%","0.00%","-",""
"Horiz. %","201.54%","144.26%","150.86%","154.37%","100.00%","-","-",""
"EY","4.25","5.94","5.67","5.55","8.56","0.00","0.00","-"
"YoY %","-28.45%","4.76%","2.16%","-35.16%","0.00%","0.00%","-",""
"Horiz. %","49.65%","69.39%","66.24%","64.84%","100.00%","-","-",""
"DY","0.00","0.03","0.03","0.02","0.02","0.00","0.00","-"
"YoY %","0.00%","0.00%","50.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","150.00%","150.00%","100.00%","100.00%","-","-",""
"P/NAPS","0.99","0.99","1.02","1.34","1.55","0.00","0.00","-"
"YoY %","0.00%","-2.94%","-23.88%","-13.55%","0.00%","0.00%","-",""
"Horiz. %","63.87%","63.87%","65.81%","86.45%","100.00%","-","-",""

