Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,CAGR
"YoY %","-19.28%","3.03%","-32.96%","58.78%","-33.25%","7.73%","10.86%","-34.58%","15.80%","-",""
"Horiz. %","53.46%","66.23%","64.29%","95.89%","60.39%","90.48%","83.98%","75.76%","115.80%","100.00%",""
"RPS","166.18","151.56","136.71","135.24","121.76","103.03","89.96","83.28","100.07","73.27","9.31%"
"YoY %","9.65%","10.86%","1.09%","11.07%","18.18%","14.53%","8.02%","-16.78%","36.58%","-",""
"Horiz. %","226.80%","206.85%","186.58%","184.58%","166.18%","140.62%","122.78%","113.66%","136.58%","100.00%",""
"EPS","5.26","7.75","6.54","11.31","7.44","11.38","9.24","7.78","11.45","8.22","-3.21%"
"YoY %","-32.13%","18.50%","-42.18%","52.02%","-34.62%","23.16%","18.77%","-32.05%","39.29%","-",""
"Horiz. %","63.99%","94.28%","79.56%","137.59%","90.51%","138.44%","112.41%","94.65%","139.29%","100.00%",""
"DPS","0.00","2.88","3.00","3.00","3.00","3.00","3.00","0.02","0.00","0.00","-"
"YoY %","0.00%","-4.00%","0.00%","0.00%","0.00%","0.00%","14,900.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","14,400.00%","15,000.00%","15,000.00%","15,000.00%","15,000.00%","15,000.00%","100.00%","-","-",""
"NAPS","2.5300","2.5300","2.5100","2.6600","2.6700","2.7200","2.3800","2.2200","2.1400","1.7800","5.03%"
"YoY %","0.00%","0.80%","-5.64%","-0.37%","-1.84%","14.29%","7.21%","3.74%","20.22%","-",""
"Horiz. %","142.13%","142.13%","141.01%","149.44%","150.00%","152.81%","133.71%","124.72%","120.22%","100.00%",""
"RPS","166.13","151.52","131.31","127.00","114.22","96.37","83.70","77.01","79.58","37.94","19.39%"
"YoY %","9.64%","15.39%","3.39%","11.19%","18.52%","15.14%","8.69%","-3.23%","109.75%","-",""
"Horiz. %","437.88%","399.37%","346.10%","334.74%","301.05%","254.01%","220.61%","202.98%","209.75%","100.00%",""
"EPS","6.26","7.75","7.15","11.05","6.98","10.64","8.60","7.19","9.11","4.26","7.67%"
"YoY %","-19.23%","8.39%","-35.29%","58.31%","-34.40%","23.72%","19.61%","-21.08%","113.85%","-",""
"Horiz. %","146.95%","181.92%","167.84%","259.39%","163.85%","249.77%","201.88%","168.78%","213.85%","100.00%",""
"DPS","0.00","2.88","2.88","2.82","2.81","2.81","2.79","0.02","0.00","0.00","-"
"YoY %","0.00%","0.00%","2.13%","0.36%","0.00%","0.72%","13,850.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","14,400.00%","14,400.00%","14,100.00%","14,050.00%","14,050.00%","13,950.00%","100.00%","-","-",""
"NAPS","2.5293","2.5293","2.4108","2.4978","2.5046","2.5441","2.2144","2.0527","1.7018","0.9217","14.71%"
"YoY %","0.00%","4.92%","-3.48%","-0.27%","-1.55%","14.89%","7.88%","20.62%","84.64%","-",""
"Horiz. %","274.42%","274.42%","261.56%","271.00%","271.74%","276.02%","240.25%","222.71%","184.64%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","31/12/12","-","-"
"Price","5.8000","5.8000","5.3900","5.8600","6.3500","6.5800","4.8200","3.8600","3.3700","0.0000","-"
"P/RPS","3.49","3.83","3.94","4.33","5.21","6.39","5.36","4.63","3.37","0.00","-"
"YoY %","-8.88%","-2.79%","-9.01%","-16.89%","-18.47%","19.22%","15.77%","37.39%","0.00%","-",""
"Horiz. %","103.56%","113.65%","116.91%","128.49%","154.60%","189.61%","159.05%","137.39%","100.00%","-",""
"P/EPS","92.67","74.83","72.37","49.78","85.35","57.82","52.16","49.61","29.43","0.00","-"
"YoY %","23.84%","3.40%","45.38%","-41.68%","47.61%","10.85%","5.14%","68.57%","0.00%","-",""
"Horiz. %","314.88%","254.26%","245.91%","169.15%","290.01%","196.47%","177.23%","168.57%","100.00%","-",""
"EY","1.08","1.34","1.38","2.01","1.17","1.73","1.92","2.02","3.40","0.00","-"
"YoY %","-19.40%","-2.90%","-31.34%","71.79%","-32.37%","-9.90%","-4.95%","-40.59%","0.00%","-",""
"Horiz. %","31.76%","39.41%","40.59%","59.12%","34.41%","50.88%","56.47%","59.41%","100.00%","-",""
"DY","0.00","0.50","0.56","0.51","0.47","0.46","0.62","0.01","0.00","0.00","-"
"YoY %","0.00%","-10.71%","9.80%","8.51%","2.17%","-25.81%","6,100.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","5,000.00%","5,600.00%","5,100.00%","4,700.00%","4,600.00%","6,200.00%","100.00%","-","-",""
"P/NAPS","2.29","2.29","2.15","2.20","2.38","2.42","2.03","1.74","1.57","0.00","-"
"YoY %","0.00%","6.51%","-2.27%","-7.56%","-1.65%","19.21%","16.67%","10.83%","0.00%","-",""
"Horiz. %","145.86%","145.86%","136.94%","140.13%","151.59%","154.14%","129.30%","110.83%","100.00%","-",""
"Date","AQR","T4Q","27/02/19","27/02/18","23/02/17","25/02/16","26/02/15","27/02/14","26/02/13","-","-"
"Price","5.7900","5.7900","5.6600","6.1100","6.1500","6.5300","5.4800","3.8100","3.4100","0.0000","-"
"P/RPS","3.48","3.82","4.14","4.52","5.05","6.34","6.09","4.57","3.41","0.00","-"
"YoY %","-8.90%","-7.73%","-8.41%","-10.50%","-20.35%","4.11%","33.26%","34.02%","0.00%","-",""
"Horiz. %","102.05%","112.02%","121.41%","132.55%","148.09%","185.92%","178.59%","134.02%","100.00%","-",""
"P/EPS","92.51","74.70","75.99","51.90","82.66","57.38","59.31","48.97","29.78","0.00","-"
"YoY %","23.84%","-1.70%","46.42%","-37.21%","44.06%","-3.25%","21.11%","64.44%","0.00%","-",""
"Horiz. %","310.64%","250.84%","255.17%","174.28%","277.57%","192.68%","199.16%","164.44%","100.00%","-",""
"EY","1.08","1.34","1.32","1.93","1.21","1.74","1.69","2.04","3.36","0.00","-"
"YoY %","-19.40%","1.52%","-31.61%","59.50%","-30.46%","2.96%","-17.16%","-39.29%","0.00%","-",""
"Horiz. %","32.14%","39.88%","39.29%","57.44%","36.01%","51.79%","50.30%","60.71%","100.00%","-",""
"DY","0.00","0.50","0.53","0.49","0.49","0.46","0.55","0.01","0.00","0.00","-"
"YoY %","0.00%","-5.66%","8.16%","0.00%","6.52%","-16.36%","5,400.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","5,000.00%","5,300.00%","4,900.00%","4,900.00%","4,600.00%","5,500.00%","100.00%","-","-",""
"P/NAPS","2.29","2.29","2.25","2.30","2.30","2.40","2.30","1.72","1.59","0.00","-"
"YoY %","0.00%","1.78%","-2.17%","0.00%","-4.17%","4.35%","33.72%","8.18%","0.00%","-",""
"Horiz. %","144.03%","144.03%","141.51%","144.65%","144.65%","150.94%","144.65%","108.18%","100.00%","-",""

