Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,&nbsp;-&nbsp;,CAGR
"YoY %","-77.95%","69.33%","59.57%","-95.75%","42.53%","-","-",""
"Horiz. %","3.61%","16.37%","9.66%","6.06%","142.53%","100.00%","-",""
"ROE","0.50    %","2.36    %","1.40    %","0.63    %","24.65    %","12.05    %","-   %","-51.17%"
"YoY %","-78.81%","68.57%","122.22%","-97.44%","104.56%","-","-",""
"Horiz. %","4.15%","19.59%","11.62%","5.23%","204.56%","100.00%","-",""
"RPS","44.57","46.81","46.66","37.73","64.18","759.65","-","-60.51%"
"YoY %","-4.79%","0.32%","23.67%","-41.21%","-91.55%","-","-",""
"Horiz. %","5.87%","6.16%","6.14%","4.97%","8.45%","100.00%","-",""
"EPS","0.12","0.59","0.35","0.19","6.88","58.94","-","-81.86%"
"YoY %","-79.66%","68.57%","84.21%","-97.24%","-88.33%","-","-",""
"Horiz. %","0.20%","1.00%","0.59%","0.32%","11.67%","100.00%","-",""
"DPS","0.00","3.60","1.80","1.80","0.00","-","-","-"
"YoY %","0.00%","100.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","200.00%","100.00%","100.00%","-","-","-",""
"NAPS","0.2510","0.2510","0.2510","0.2840","0.2880","4.8900","-","-62.80%"
"YoY %","0.00%","0.00%","-11.62%","-1.39%","-94.11%","-","-",""
"Horiz. %","5.13%","5.13%","5.13%","5.81%","5.89%","100.00%","-",""
"RPS","44.57","46.81","46.66","37.73","31.06","31.08","-","14.49%"
"YoY %","-4.79%","0.32%","23.67%","21.47%","-0.06%","-","-",""
"Horiz. %","143.40%","150.61%","150.13%","121.40%","99.94%","100.00%","-",""
"EPS","0.12","0.59","0.35","0.19","3.44","2.41","-","-47.41%"
"YoY %","-79.66%","68.57%","84.21%","-94.48%","42.74%","-","-",""
"Horiz. %","4.98%","24.48%","14.52%","7.88%","142.74%","100.00%","-",""
"DPS","0.00","3.60","1.80","1.80","0.00","-","-","-"
"YoY %","0.00%","100.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","200.00%","100.00%","100.00%","-","-","-",""
"NAPS","0.2510","0.2510","0.2510","0.2840","0.1394","0.2001","-","7.84%"
"YoY %","0.00%","0.00%","-11.62%","103.73%","-30.33%","-","-",""
"Horiz. %","125.44%","125.44%","125.44%","141.93%","69.67%","100.00%","-",""
"Date","AQR","T4Q","31/12/18","29/12/17","-","-","-","-"
"Price","0.2000","0.2000","0.2100","0.3250","0.0000","0.0000","-","-"
"P/RPS","0.45","0.43","0.45","0.86","0.00","0.00","-","-"
"YoY %","4.65%","-4.44%","-47.67%","0.00%","0.00%","-","-",""
"Horiz. %","52.33%","50.00%","52.33%","100.00%","-","-","-",""
"P/EPS","158.29","33.74","59.65","181.42","0.00","0.00","-","-"
"YoY %","369.15%","-43.44%","-67.12%","0.00%","0.00%","-","-",""
"Horiz. %","87.25%","18.60%","32.88%","100.00%","-","-","-",""
"EY","0.63","2.96","1.68","0.55","0.00","0.00","-","-"
"YoY %","-78.72%","76.19%","205.45%","0.00%","0.00%","-","-",""
"Horiz. %","114.55%","538.18%","305.45%","100.00%","-","-","-",""
"DY","0.00","18.00","8.57","5.54","0.00","0.00","-","-"
"YoY %","0.00%","110.04%","54.69%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","324.91%","154.69%","100.00%","-","-","-",""
"P/NAPS","0.80","0.80","0.84","1.14","0.00","0.00","-","-"
"YoY %","0.00%","-4.76%","-26.32%","0.00%","0.00%","-","-",""
"Horiz. %","70.18%","70.18%","73.68%","100.00%","-","-","-",""
"Date","AQR","T4Q","26/02/19","27/02/18","-","-","-","-"
"Price","0.2000","0.2000","0.2500","0.3200","0.0000","0.0000","-","-"
"P/RPS","0.45","0.43","0.54","0.85","0.00","0.00","-","-"
"YoY %","4.65%","-20.37%","-36.47%","0.00%","0.00%","-","-",""
"Horiz. %","52.94%","50.59%","63.53%","100.00%","-","-","-",""
"P/EPS","158.29","33.74","71.01","178.63","0.00","0.00","-","-"
"YoY %","369.15%","-52.49%","-60.25%","0.00%","0.00%","-","-",""
"Horiz. %","88.61%","18.89%","39.75%","100.00%","-","-","-",""
"EY","0.63","2.96","1.41","0.56","0.00","0.00","-","-"
"YoY %","-78.72%","109.93%","151.79%","0.00%","0.00%","-","-",""
"Horiz. %","112.50%","528.57%","251.79%","100.00%","-","-","-",""
"DY","0.00","18.00","7.20","5.63","0.00","0.00","-","-"
"YoY %","0.00%","150.00%","27.89%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","319.72%","127.89%","100.00%","-","-","-",""
"P/NAPS","0.80","0.80","1.00","1.13","0.00","0.00","-","-"
"YoY %","0.00%","-20.00%","-11.50%","0.00%","0.00%","-","-",""
"Horiz. %","70.80%","70.80%","88.50%","100.00%","-","-","-",""

