Column1,AQR,T4Q,31/03/19,31/03/18,31/03/17,31/03/16,31/12/14,31/12/13,31/12/12,CAGR
"YoY %","-1.69%","-2.92%","-6.86%","-3.61%","-43.69%","-0.37%","-7.81%","0.00%","-",""
"Horiz. %","44.32%","45.08%","46.44%","49.86%","51.73%","91.86%","92.19%","100.00%","-",""
"RPS","129.19","138.60","139.21","108.87","136.16","178.12","160.21","243.18","-","-"
"YoY %","-6.79%","-0.44%","27.87%","-20.04%","-23.56%","11.18%","-34.12%","0.00%","-",""
"Horiz. %","53.13%","56.99%","57.25%","44.77%","55.99%","73.25%","65.88%","100.00%","-",""
"EPS","28.36","28.85","28.91","31.81","28.67","51.00","48.90","64.70","-","-"
"YoY %","-1.70%","-0.21%","-9.12%","10.95%","-43.78%","4.29%","-24.42%","0.00%","-",""
"Horiz. %","43.83%","44.59%","44.68%","49.17%","44.31%","78.83%","75.58%","100.00%","-",""
"DPS","12.00","12.29","12.75","13.50","13.75","19.40","19.00","0.36","-","-"
"YoY %","-2.36%","-3.61%","-5.56%","-1.82%","-29.12%","2.11%","5,177.78%","0.00%","-",""
"Horiz. %","3,333.33%","3,413.89%","3,541.67%","3,750.00%","3,819.44%","5,388.89%","5,277.78%","100.00%","-",""
"NAPS","1.8100","1.8100","1.7600","1.6100","1.7800","1.5700","1.5000","1.8300","6.6900","-19.24%"
"YoY %","0.00%","2.84%","9.32%","-9.55%","13.38%","4.67%","-18.03%","-72.65%","-",""
"Horiz. %","27.06%","27.06%","26.31%","24.07%","26.61%","23.47%","22.42%","27.35%","100.00%",""
"RPS","122.44","131.36","129.09","100.06","95.46","112.37","73.70","70.79","-","-"
"YoY %","-6.79%","1.76%","29.01%","4.82%","-15.05%","52.47%","4.11%","0.00%","-",""
"Horiz. %","172.96%","185.56%","182.36%","141.35%","134.85%","158.74%","104.11%","100.00%","-",""
"EPS","26.88","27.34","26.80","26.09","22.82","32.17","22.49","18.83","-","-"
"YoY %","-1.68%","2.01%","2.72%","14.33%","-29.06%","43.04%","19.44%","0.00%","-",""
"Horiz. %","142.75%","145.19%","142.33%","138.56%","121.19%","170.84%","119.44%","100.00%","-",""
"DPS","11.37","11.65","11.82","12.41","9.64","12.24","8.74","0.10","-","-"
"YoY %","-2.40%","-1.44%","-4.75%","28.73%","-21.24%","40.05%","8,640.00%","0.00%","-",""
"Horiz. %","11,370.00%","11,650.00%","11,820.00%","12,410.00%","9,640.00%","12,240.00%","8,740.00%","100.00%","-",""
"NAPS","1.7155","1.7155","1.6321","1.4797","1.2480","0.9905","0.6900","0.5327","6.6900","-20.21%"
"YoY %","0.00%","5.11%","10.30%","18.57%","26.00%","43.55%","29.53%","-92.04%","-",""
"Horiz. %","25.64%","25.64%","24.40%","22.12%","18.65%","14.81%","10.31%","7.96%","100.00%",""
"Date","AQR","T4Q","29/03/19","30/03/18","31/03/17","31/03/16","31/12/14","31/12/13","-","-"
"Price","1.9000","1.9000","1.8900","1.9900","2.5400","2.4800","2.7000","3.4100","0.0000","-"
"P/RPS","1.47","1.37","1.36","1.83","1.87","1.39","1.69","1.40","0.00","-"
"YoY %","7.30%","0.74%","-25.68%","-2.14%","34.53%","-17.75%","20.71%","0.00%","-",""
"Horiz. %","105.00%","97.86%","97.14%","130.71%","133.57%","99.29%","120.71%","100.00%","-",""
"P/EPS","6.70","6.59","6.54","7.01","7.80","4.86","5.52","5.27","0.00","-"
"YoY %","1.67%","0.76%","-6.70%","-10.13%","60.49%","-11.96%","4.74%","0.00%","-",""
"Horiz. %","127.13%","125.05%","124.10%","133.02%","148.01%","92.22%","104.74%","100.00%","-",""
"EY","14.93","15.18","15.29","14.27","12.82","20.56","18.11","18.97","0.00","-"
"YoY %","-1.65%","-0.72%","7.15%","11.31%","-37.65%","13.53%","-4.53%","0.00%","-",""
"Horiz. %","78.70%","80.02%","80.60%","75.22%","67.58%","108.38%","95.47%","100.00%","-",""
"DY","6.32","6.47","6.75","6.78","5.41","7.82","7.04","0.11","0.00","-"
"YoY %","-2.32%","-4.15%","-0.44%","25.32%","-30.82%","11.08%","6,300.00%","0.00%","-",""
"Horiz. %","5,745.45%","5,881.82%","6,136.36%","6,163.64%","4,918.18%","7,109.09%","6,400.00%","100.00%","-",""
"P/NAPS","1.05","1.05","1.07","1.24","1.43","1.58","1.80","1.86","0.00","-"
"YoY %","0.00%","-1.87%","-13.71%","-13.29%","-9.49%","-12.22%","-3.23%","0.00%","-",""
"Horiz. %","56.45%","56.45%","57.53%","66.67%","76.88%","84.95%","96.77%","100.00%","-",""
"Date","AQR","T4Q","31/05/19","-","16/05/17","19/05/16","12/02/15","25/02/14","-","-"
"Price","1.8900","1.8900","1.9300","1.9200","2.6800","2.5700","2.9000","3.8300","0.0000","-"
"P/RPS","1.46","1.36","1.39","1.76","1.97","1.44","1.81","1.57","0.00","-"
"YoY %","7.35%","-2.16%","-21.02%","-10.66%","36.81%","-20.44%","15.29%","0.00%","-",""
"Horiz. %","92.99%","86.62%","88.54%","112.10%","125.48%","91.72%","115.29%","100.00%","-",""
"P/EPS","6.66","6.55","6.68","6.76","8.23","5.04","5.93","5.92","0.00","-"
"YoY %","1.68%","-1.95%","-1.18%","-17.86%","63.29%","-15.01%","0.17%","0.00%","-",""
"Horiz. %","112.50%","110.64%","112.84%","114.19%","139.02%","85.14%","100.17%","100.00%","-",""
"EY","15.00","15.26","14.97","14.79","12.15","19.84","16.86","16.89","0.00","-"
"YoY %","-1.70%","1.94%","1.22%","21.73%","-38.76%","17.67%","-0.18%","0.00%","-",""
"Horiz. %","88.81%","90.35%","88.63%","87.57%","71.94%","117.47%","99.82%","100.00%","-",""
"DY","6.35","6.50","6.61","7.03","5.13","7.55","6.55","0.09","0.00","-"
"YoY %","-2.31%","-1.66%","-5.97%","37.04%","-32.05%","15.27%","7,177.78%","0.00%","-",""
"Horiz. %","7,055.56%","7,222.22%","7,344.44%","7,811.11%","5,700.00%","8,388.89%","7,277.78%","100.00%","-",""
"P/NAPS","1.04","1.04","1.10","1.19","1.51","1.64","1.93","2.09","0.00","-"
"YoY %","0.00%","-5.45%","-7.56%","-21.19%","-7.93%","-15.03%","-7.66%","0.00%","-",""
"Horiz. %","49.76%","49.76%","52.63%","56.94%","72.25%","78.47%","92.34%","100.00%","-",""

