Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,CAGR
"EPS","0.68","1.18","1.39","0.94","1.03","0.79","0.75","0.73","13.74%"
"YoY %","-42.37%","-15.11%","47.87%","-8.74%","30.38%","5.33%","2.74%","-",""
"Horiz. %","93.15%","161.64%","190.41%","128.77%","141.10%","108.22%","102.74%","100.00%",""
"DPS","0.00","0.00","0.11","0.09","0.00","0.00","0.05","0.00","-"
"YoY %","0.00%","0.00%","22.22%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","220.00%","180.00%","0.00%","0.00%","100.00%","-",""
"NAPS","0.1864","0.1864","0.1782","0.1577","0.1135","0.0910","0.0631","0.0563","25.90%"
"YoY %","0.00%","4.60%","13.00%","38.94%","24.73%","44.22%","12.08%","-",""
"Horiz. %","331.08%","331.08%","316.52%","280.11%","201.60%","161.63%","112.08%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","-","-","-"
"Price","0.2000","0.2000","0.2100","0.2500","0.2050","0.3150","0.0000","0.0000","-"
"P/RPS","3.24","2.69","2.51","3.69","2.86","4.62","0.00","0.00","-"
"YoY %","20.45%","7.17%","-31.98%","29.02%","-38.10%","0.00%","0.00%","-",""
"Horiz. %","70.13%","58.23%","54.33%","79.87%","61.90%","100.00%","-","-",""
"P/EPS","29.74","17.02","14.57","25.04","15.46","20.19","0.00","0.00","-"
"YoY %","74.74%","16.82%","-41.81%","61.97%","-23.43%","0.00%","0.00%","-",""
"Horiz. %","147.30%","84.30%","72.16%","124.02%","76.57%","100.00%","-","-",""
"EY","3.36","5.88","6.87","3.99","6.47","4.95","0.00","0.00","-"
"YoY %","-42.86%","-14.41%","72.18%","-38.33%","30.71%","0.00%","0.00%","-",""
"Horiz. %","67.88%","118.79%","138.79%","80.61%","130.71%","100.00%","-","-",""
"DY","0.00","0.00","0.52","0.40","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","30.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","130.00%","100.00%","-","-","-","-",""
"P/NAPS","1.07","1.07","1.14","1.49","1.40","1.75","0.00","0.00","-"
"YoY %","0.00%","-6.14%","-23.49%","6.43%","-20.00%","0.00%","0.00%","-",""
"Horiz. %","61.14%","61.14%","65.14%","85.14%","80.00%","100.00%","-","-",""
"Date","AQR","T4Q","28/02/19","26/02/18","28/02/17","26/02/16","-","-","-"
"Price","0.2050","0.2050","0.2050","0.2350","0.2300","0.3350","0.0000","0.0000","-"
"P/RPS","3.33","2.75","2.45","3.47","3.21","4.91","0.00","0.00","-"
"YoY %","21.09%","12.24%","-29.39%","8.10%","-34.62%","0.00%","0.00%","-",""
"Horiz. %","67.82%","56.01%","49.90%","70.67%","65.38%","100.00%","-","-",""
"P/EPS","30.49","17.44","14.22","23.54","17.35","21.47","0.00","0.00","-"
"YoY %","74.83%","22.64%","-39.59%","35.68%","-19.19%","0.00%","0.00%","-",""
"Horiz. %","142.01%","81.23%","66.23%","109.64%","80.81%","100.00%","-","-",""
"EY","3.28","5.73","7.03","4.25","5.76","4.66","0.00","0.00","-"
"YoY %","-42.76%","-18.49%","65.41%","-26.22%","23.61%","0.00%","0.00%","-",""
"Horiz. %","70.39%","122.96%","150.86%","91.20%","123.61%","100.00%","-","-",""
"DY","0.00","0.00","0.54","0.43","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","25.58%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","125.58%","100.00%","-","-","-","-",""
"P/NAPS","1.10","1.10","1.11","1.40","1.57","1.86","0.00","0.00","-"
"YoY %","0.00%","-0.90%","-20.71%","-10.83%","-15.59%","0.00%","0.00%","-",""
"Horiz. %","59.14%","59.14%","59.68%","75.27%","84.41%","100.00%","-","-",""

