Column1,AQR,T4Q,31/03/19,31/03/18,31/03/17,31/03/16,31/03/15,31/03/14,31/12/12,31/12/11,CAGR
"Horiz. %","247.81%","334.31%","347.26%","322.45%","495.44%","508.03%","472.08%","329.38%","100.00%","-",""
"EY","7.36","5.46","5.25","5.66","3.68","3.59","3.86","5.54","18.24","0.00","-"
"YoY %","34.80%","4.00%","-7.24%","53.80%","2.51%","-6.99%","-30.32%","-69.63%","0.00%","-",""
"Horiz. %","40.35%","29.93%","28.78%","31.03%","20.18%","19.68%","21.16%","30.37%","100.00%","-",""
"DY","5.31","3.98","4.85","4.55","3.17","2.31","1.75","4.34","2.48","0.00","-"
"YoY %","33.42%","-17.94%","6.59%","43.53%","37.23%","32.00%","-59.68%","75.00%","0.00%","-",""
"Horiz. %","214.11%","160.48%","195.56%","183.47%","127.82%","93.15%","70.56%","175.00%","100.00%","-",""
"P/NAPS","2.82","2.82","2.64","4.45","6.52","7.15","6.90","8.31","1.64","0.00","-"
"YoY %","0.00%","6.82%","-40.67%","-31.75%","-8.81%","3.62%","-16.97%","406.71%","0.00%","-",""
"Horiz. %","171.95%","171.95%","160.98%","271.34%","397.56%","435.98%","420.73%","506.71%","100.00%","-",""
"Date","-","-","03/06/19","31/05/18","25/05/17","27/05/16","29/05/15","03/03/14","28/02/13","-","-"
"Price","0.0000","0.0000","0.4550","0.8950","1.3000","1.3200","1.0100","3.5600","1.9900","0.0000","-"
"P/RPS","0.00","0.00","2.80","4.67","5.51","7.38","5.84","9.22","0.85","0.00","-"
"YoY %","0.00%","0.00%","-40.04%","-15.25%","-25.34%","26.37%","-36.66%","984.71%","0.00%","-",""
"Horiz. %","0.00%","0.00%","329.41%","549.41%","648.24%","868.24%","687.06%","1,084.71%","100.00%","-",""
"P/EPS","0.00","0.00","16.81","17.97","28.01","28.26","22.92","29.35","5.40","0.00","-"
"YoY %","0.00%","0.00%","-6.46%","-35.84%","-0.88%","23.30%","-21.91%","443.52%","0.00%","-",""
"Horiz. %","0.00%","0.00%","311.30%","332.78%","518.70%","523.33%","424.44%","543.52%","100.00%","-",""
"EY","0.00","0.00","5.95","5.57","3.57","3.54","4.36","3.41","18.52","0.00","-"
"YoY %","0.00%","0.00%","6.82%","56.02%","0.85%","-18.81%","27.86%","-81.59%","0.00%","-",""
"Horiz. %","0.00%","0.00%","32.13%","30.08%","19.28%","19.11%","23.54%","18.41%","100.00%","-",""
"DY","0.00","0.00","5.49","4.47","3.08","2.27","1.98","2.67","2.51","0.00","-"
"YoY %","0.00%","0.00%","22.82%","45.13%","35.68%","14.65%","-25.84%","6.37%","0.00%","-",""
"Horiz. %","0.00%","0.00%","218.73%","178.09%","122.71%","90.44%","78.88%","106.37%","100.00%","-",""
"P/NAPS","0.00","0.00","2.33","4.52","6.73","7.26","6.12","13.51","1.62","0.00","-"
"YoY %","0.00%","0.00%","-48.45%","-32.84%","-7.30%","18.63%","-54.70%","733.95%","0.00%","-",""
"Horiz. %","0.00%","0.00%","143.83%","279.01%","415.43%","448.15%","377.78%","833.95%","100.00%","-",""

