Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,CAGR
"Date","AQR","T4Q","24/01/19","24/01/18","20/01/17","21/01/16","26/01/15","21/01/14","-","-"
"Price","7.6600","7.6600","7.9000","7.8000","7.8200","6.9600","6.8000","5.5000","0.0000","-"
"P/RPS","9.98","9.94","10.14","10.30","10.51","9.38","9.07","7.74","0.00","-"
"YoY %","0.40%","-1.97%","-1.55%","-2.00%","12.05%","3.42%","17.18%","0.00%","-",""
"Horiz. %","128.94%","128.42%","131.01%","133.07%","135.79%","121.19%","117.18%","100.00%","-",""
"P/EPS","19.16","15.59","19.67","16.04","15.93","11.10","13.09","12.03","0.00","-"
"YoY %","22.90%","-20.74%","22.63%","0.69%","43.51%","-15.20%","8.81%","0.00%","-",""
"Horiz. %","159.27%","129.59%","163.51%","133.33%","132.42%","92.27%","108.81%","100.00%","-",""
"EY","5.22","6.41","5.08","6.23","6.28","9.01","7.64","8.31","0.00","-"
"YoY %","-18.56%","26.18%","-18.46%","-0.80%","-30.30%","17.93%","-8.06%","0.00%","-",""
"Horiz. %","62.82%","77.14%","61.13%","74.97%","75.57%","108.42%","91.94%","100.00%","-",""
"DY","4.54","4.76","4.68","4.63","4.56","4.98","4.95","5.26","0.00","-"
"YoY %","-4.62%","1.71%","1.08%","1.54%","-8.43%","0.61%","-5.89%","0.00%","-",""
"Horiz. %","86.31%","90.49%","88.97%","88.02%","86.69%","94.68%","94.11%","100.00%","-",""
"P/NAPS","1.06","1.06","1.09","1.08","1.10","1.00","1.02","0.85","0.00","-"
"YoY %","0.00%","-2.75%","0.93%","-1.82%","10.00%","-1.96%","20.00%","0.00%","-",""
"Horiz. %","124.71%","124.71%","128.24%","127.06%","129.41%","117.65%","120.00%","100.00%","-",""

