Column1,AQR,T4Q,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09,31/12/08,CAGR
"Horiz. %","-224.65%","-483.99%","179,523.70%","-422.76%","-348.82%","2,093.09%","-509.73%","-56.99%","-7.22%","-8.16%","-44.90%","100.00%",""
"EY","-6.99","-3.24","0.01","-3.71","-4.50","0.75","-3.08","-27.58","-216.78","-193.14","-34.99","15.69","-55.83%"
"YoY %","-115.74%","-32,500.00%","100.27%","17.56%","-700.00%","124.35%","88.83%","87.28%","-12.24%","-451.99%","-323.01%","-",""
"Horiz. %","-44.55%","-20.65%","0.06%","-23.65%","-28.68%","4.78%","-19.63%","-175.78%","-1,381.64%","-1,230.98%","-223.01%","100.00%",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"P/NAPS","0.59","0.59","0.76","0.53","0.67","0.67","0.72","0.63","0.54","0.36","0.35","0.32","10.08%"
"YoY %","0.00%","-22.37%","43.40%","-20.90%","0.00%","-6.94%","14.29%","16.67%","50.00%","2.86%","9.38%","-",""
"Horiz. %","184.38%","184.38%","237.50%","165.62%","209.38%","209.38%","225.00%","196.88%","168.75%","112.50%","109.38%","100.00%",""
"Date","AQR","T4Q","27/02/18","28/02/17","29/02/16","27/02/15","28/02/14","28/02/13","28/02/12","28/02/11","25/02/10","27/02/09","-"
"Price","0.1050","0.1050","0.1200","0.0900","0.1050","0.1300","0.1350","0.1050","0.1700","0.1900","0.3200","0.2300","-"
"P/RPS","9.74","5.07","3.49","2.37","1.00","1.89","6.81","4.71","1.15","0.53","1.17","0.47","24.94%"
"YoY %","92.11%","45.27%","47.26%","137.00%","-47.09%","-72.25%","44.59%","309.57%","116.98%","-54.70%","148.94%","-",""
"Horiz. %","2,072.34%","1,078.72%","742.55%","504.26%","212.77%","402.13%","1,448.94%","1,002.13%","244.68%","112.77%","248.94%","100.00%",""
"P/EPS","-15.03","-32.37","10,555.99","-26.93","-19.44","144.44","-33.72","-3.17","-0.52","-0.52","-2.77","4.31","137.86%"
