Column1,AQR,T4Q,30/06/18,30/06/17,30/06/16,30/06/15,30/06/14,30/06/13,30/06/12,30/06/11,30/06/10,CAGR
"Div","-","0","3,197","5,593","2,445","-","-","-","-","-","-","-"
"YoY %","0.00%","0.00%","-42.84%","128.74%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","130.74%","228.74%","100.00%","-","-","-","-","-","-",""
"Div Payout %","-     %","-     %","-     %","57.72    %","14.29    %","-     %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","303.92%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","403.92%","100.00%","-","-","-","-","-","-",""
"Net Worth","603,768","603,768","623,460","623,304","627,660","568,992","536,372","552,167","495,001","342,103","-","-"
"YoY %","0.00%","-3.16%","0.02%","-0.69%","10.31%","6.08%","-2.86%","11.55%","44.69%","0.00%","-",""
"Horiz. %","176.49%","176.49%","182.24%","182.20%","183.47%","166.32%","156.79%","161.40%","144.69%","100.00%","-",""
"NOSH","838,567","838,567","799,308","799,109","815,142","768,909","800,555","800,242","773,439","727,878","-","-"
"YoY %","0.00%","4.91%","0.02%","-1.97%","6.01%","-3.95%","0.04%","3.47%","6.26%","0.00%","-",""
"Horiz. %","115.21%","115.21%","109.81%","109.79%","111.99%","105.64%","109.98%","109.94%","106.26%","100.00%","-",""
"NP Margin","-48.55    %","-48.55    %","2.05    %","4.21    %","5.59    %","4.69    %","3.41    %","21.31    %","53.29    %","44.80    %","-     %","-"
"YoY %","0.00%","-2,468.29%","-51.31%","-24.69%","19.19%","37.54%","-84.00%","-60.01%","18.95%","0.00%","-",""
"Horiz. %","-108.37%","-108.37%","4.58%","9.40%","12.48%","10.47%","7.61%","47.57%","118.95%","100.00%","-",""
"ROE","-3.90    %","-3.58    %","-0.03    %","1.55    %","2.73    %","1.49    %","1.34    %","10.28    %","16.72    %","28.09    %","-     %","-"
"YoY %","-8.94%","-11,833.33%","-101.94%","-43.22%","83.22%","11.19%","-86.96%","-38.52%","-40.48%","0.00%","-",""
"Horiz. %","-13.88%","-12.74%","-0.11%","5.52%","9.72%","5.30%","4.77%","36.60%","59.52%","100.00%","-",""
"RPS","6.02","5.52","14.55","33.68","39.64","23.48","26.36","33.22","20.08","29.47","-","-"
"YoY %","9.06%","-62.06%","-56.80%","-15.04%","68.82%","-10.93%","-20.65%","65.44%","-31.86%","0.00%","-",""
"Horiz. %","20.43%","18.73%","49.37%","114.29%","134.51%","79.67%","89.45%","112.72%","68.14%","100.00%","-",""
"EPS","-2.81","-2.58","-0.10","1.20","2.10","1.10","0.90","7.10","10.70","13.20","0.00","-"
"YoY %","-8.91%","-2,480.00%","-108.33%","-42.86%","90.91%","22.22%","-87.32%","-33.64%","-18.94%","0.00%","-",""
"Horiz. %","-21.29%","-19.55%","-0.76%","9.09%","15.91%","8.33%","6.82%","53.79%","81.06%","100.00%","-",""
"DPS","0.00","0.00","0.40","0.70","0.30","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","-42.86%","133.33%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","133.33%","233.33%","100.00%","-","-","-","-","-","-",""
"NAPS","0.7200","0.7200","0.7800","0.7800","0.7700","0.7400","0.6700","0.6900","0.6400","0.4700","0.0000","-"
"YoY %","0.00%","-7.69%","0.00%","1.30%","4.05%","10.45%","-2.90%","7.81%","36.17%","0.00%","-",""
"Horiz. %","153.19%","153.19%","165.96%","165.96%","163.83%","157.45%","142.55%","146.81%","136.17%","100.00%","-",""
"RPS","5.86","5.37","13.50","31.23","37.49","20.95","24.49","30.85","18.02","24.89","-","-"
"YoY %","9.12%","-60.22%","-56.77%","-16.70%","78.95%","-14.45%","-20.62%","71.20%","-27.60%","0.00%","-",""
"Horiz. %","23.54%","21.57%","54.24%","125.47%","150.62%","84.17%","98.39%","123.95%","72.40%","100.00%","-",""
"EPS","-2.73","-2.51","-0.02","1.12","1.99","0.98","0.84","6.59","9.60","11.15","0.00","-"
"YoY %","-8.76%","-12,450.00%","-101.79%","-43.72%","103.06%","16.67%","-87.25%","-31.35%","-13.90%","0.00%","-",""
"Horiz. %","-24.48%","-22.51%","-0.18%","10.04%","17.85%","8.79%","7.53%","59.10%","86.10%","100.00%","-",""
"DPS","0.00","0.00","0.37","0.65","0.28","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","-43.08%","132.14%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","132.14%","232.14%","100.00%","-","-","-","-","-","-",""
"NAPS","0.7006","0.7006","0.7234","0.7233","0.7283","0.6602","0.6224","0.6407","0.5744","0.3970","0.0000","-"
"YoY %","0.00%","-3.15%","0.01%","-0.69%","10.32%","6.07%","-2.86%","11.54%","44.69%","0.00%","-",""
"Horiz. %","176.47%","176.47%","182.22%","182.19%","183.45%","166.30%","156.78%","161.39%","144.69%","100.00%","-",""
"Date","AQR","T4Q","29/06/18","30/06/17","30/06/16","30/06/15","30/06/14","28/06/13","29/06/12","30/06/11","-","-"
"Price","0.1750","0.1750","0.2550","0.4200","0.4950","0.5750","1.1300","1.3400","1.1600","1.4400","0.0000","-"
"P/RPS","2.90","3.17","1.75","1.25","1.25","2.45","4.29","4.03","5.78","4.89","0.00","-"
"YoY %","-8.52%","81.14%","40.00%","0.00%","-48.98%","-42.89%","6.45%","-30.28%","18.20%","0.00%","-",""
"Horiz. %","59.30%","64.83%","35.79%","25.56%","25.56%","50.10%","87.73%","82.41%","118.20%","100.00%","-",""
"P/EPS","-6.23","-6.79","-1,151.55","34.63","23.57","52.27","125.56","18.90","10.84","10.91","0.00","-"
"YoY %","8.25%","99.41%","-3,425.30%","46.92%","-54.91%","-58.37%","564.34%","74.35%","-0.64%","0.00%","-",""
"Horiz. %","-57.10%","-62.24%","-10,555.00%","317.42%","216.04%","479.10%","1,150.87%","173.24%","99.36%","100.00%","-",""
"EY","-16.06","-14.72","-0.09","2.89","4.24","1.91","0.80","5.29","9.22","9.17","0.00","-"
"YoY %","-9.10%","-16,255.56%","-103.11%","-31.84%","121.99%","138.75%","-84.88%","-42.62%","0.55%","0.00%","-",""
"Horiz. %","-175.14%","-160.52%","-0.98%","31.52%","46.24%","20.83%","8.72%","57.69%","100.55%","100.00%","-",""
"DY","0.00","0.00","1.57","1.67","0.61","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","-5.99%","173.77%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","257.38%","273.77%","100.00%","-","-","-","-","-","-",""
"P/NAPS","0.24","0.24","0.33","0.54","0.64","0.78","1.69","1.94","1.81","3.06","0.00","-"
"YoY %","0.00%","-27.27%","-38.89%","-15.62%","-17.95%","-53.85%","-12.89%","7.18%","-40.85%","0.00%","-",""
"Horiz. %","7.84%","7.84%","10.78%","17.65%","20.92%","25.49%","55.23%","63.40%","59.15%","100.00%","-",""
"Date","AQR","T4Q","30/08/18","24/08/17","26/08/16","24/08/15","25/08/14","22/08/13","29/08/12","22/08/11","-","-"
"Price","0.1600","0.1600","0.2750","0.4350","0.4200","0.5450","0.9800","1.2600","1.1600","1.3200","0.0000","-"
"P/RPS","2.66","2.90","1.89","1.29","1.06","2.32","3.72","3.79","5.78","4.48","0.00","-"
"YoY %","-8.28%","53.44%","46.51%","21.70%","-54.31%","-37.63%","-1.85%","-34.43%","29.02%","0.00%","-",""
"Horiz. %","59.38%","64.73%","42.19%","28.79%","23.66%","51.79%","83.04%","84.60%","129.02%","100.00%","-",""
"P/EPS","-5.69","-6.21","-1,241.86","35.87","20.00","49.55","108.89","17.77","10.84","10.00","0.00","-"
"YoY %","8.37%","99.50%","-3,562.11%","79.35%","-59.64%","-54.50%","512.77%","63.93%","8.40%","0.00%","-",""
"Horiz. %","-56.90%","-62.10%","-12,418.60%","358.70%","200.00%","495.50%","1,088.90%","177.70%","108.40%","100.00%","-",""
"EY","-17.57","-16.10","-0.08","2.79","5.00","2.02","0.92","5.63","9.22","10.00","0.00","-"
"YoY %","-9.13%","-20,025.00%","-102.87%","-44.20%","147.52%","119.57%","-83.66%","-38.94%","-7.80%","0.00%","-",""
"Horiz. %","-175.70%","-161.00%","-0.80%","27.90%","50.00%","20.20%","9.20%","56.30%","92.20%","100.00%","-",""
"DY","0.00","0.00","1.45","1.61","0.71","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","-9.94%","126.76%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","204.23%","226.76%","100.00%","-","-","-","-","-","-",""
"P/NAPS","0.22","0.22","0.35","0.56","0.55","0.74","1.46","1.83","1.81","2.81","0.00","-"
"YoY %","0.00%","-37.14%","-37.50%","1.82%","-25.68%","-49.32%","-20.22%","1.10%","-35.59%","0.00%","-",""
"Horiz. %","7.83%","7.83%","12.46%","19.93%","19.57%","26.33%","51.96%","65.12%","64.41%","100.00%","-",""

