Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,CAGR
"NAPS","0.7976","0.7976","0.7976","0.8180","0.7945","0.7560","0.7889","0.7820","0.7854","0.7861","0.21%"
"YoY %","0.00%","0.00%","-2.49%","2.96%","5.09%","-4.17%","0.88%","-0.43%","-0.09%","-",""
"Horiz. %","101.46%","101.46%","101.46%","104.06%","101.07%","96.17%","100.36%","99.48%","99.91%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","31/12/12","-","-"
"Price","2.8300","2.8300","2.8300","2.8900","2.4700","2.4000","3.2200","3.8700","2.5700","0.0000","-"
"P/RPS","0.58","0.58","0.58","0.69","0.78","0.85","1.49","2.14","1.55","0.00","-"
"YoY %","0.00%","0.00%","-15.94%","-11.54%","-8.24%","-42.95%","-30.37%","38.06%","0.00%","-",""
"Horiz. %","37.42%","37.42%","37.42%","44.52%","50.32%","54.84%","96.13%","138.06%","100.00%","-",""
"P/EPS","20.14","20.14","20.14","19.06","19.21","29.03","24.66","28.99","20.27","0.00","-"
"YoY %","0.00%","0.00%","5.67%","-0.78%","-33.83%","17.72%","-14.94%","43.02%","0.00%","-",""
"Horiz. %","99.36%","99.36%","99.36%","94.03%","94.77%","143.22%","121.66%","143.02%","100.00%","-",""
"EY","4.96","4.96","4.96","5.25","5.21","3.45","4.05","3.45","4.93","0.00","-"
"YoY %","0.00%","0.00%","-5.52%","0.77%","51.01%","-14.81%","17.39%","-30.02%","0.00%","-",""
"Horiz. %","100.61%","100.61%","100.61%","106.49%","105.68%","69.98%","82.15%","69.98%","100.00%","-",""
"DY","3.18","3.18","3.18","2.77","3.24","3.45","2.80","3.45","4.94","0.00","-"
"YoY %","0.00%","0.00%","14.80%","-14.51%","-6.09%","23.21%","-18.84%","-30.16%","0.00%","-",""
"Horiz. %","64.37%","64.37%","64.37%","56.07%","65.59%","69.84%","56.68%","69.84%","100.00%","-",""
"P/NAPS","3.55","3.55","3.55","3.53","3.11","3.17","4.08","4.95","3.27","0.00","-"
"YoY %","0.00%","0.00%","0.57%","13.50%","-1.89%","-22.30%","-17.58%","51.38%","0.00%","-",""
"Horiz. %","108.56%","108.56%","108.56%","107.95%","95.11%","96.94%","124.77%","151.38%","100.00%","-",""
"Date","AQR","T4Q","15/02/19","15/02/18","15/02/17","23/02/16","12/02/15","13/02/14","19/02/13","-","-"
"Price","2.8200","2.8200","2.8200","2.7000","2.7600","2.4700","3.1400","3.6200","2.6200","0.0000","-"
"P/RPS","0.58","0.58","0.58","0.65","0.87","0.88","1.45","2.01","1.58","0.00","-"
"YoY %","0.00%","0.00%","-10.77%","-25.29%","-1.14%","-39.31%","-27.86%","27.22%","0.00%","-",""
"Horiz. %","36.71%","36.71%","36.71%","41.14%","55.06%","55.70%","91.77%","127.22%","100.00%","-",""
"P/EPS","20.07","20.07","20.07","17.81","21.46","29.87","24.05","27.11","20.66","0.00","-"
"YoY %","0.00%","0.00%","12.69%","-17.01%","-28.16%","24.20%","-11.29%","31.22%","0.00%","-",""
"Horiz. %","97.14%","97.14%","97.14%","86.21%","103.87%","144.58%","116.41%","131.22%","100.00%","-",""
"EY","4.98","4.98","4.98","5.61","4.66","3.35","4.16","3.69","4.84","0.00","-"
"YoY %","0.00%","0.00%","-11.23%","20.39%","39.10%","-19.47%","12.74%","-23.76%","0.00%","-",""
"Horiz. %","102.89%","102.89%","102.89%","115.91%","96.28%","69.21%","85.95%","76.24%","100.00%","-",""
"DY","3.19","3.19","3.19","2.96","2.90","3.35","2.87","3.69","4.84","0.00","-"
"YoY %","0.00%","0.00%","7.77%","2.07%","-13.43%","16.72%","-22.22%","-23.76%","0.00%","-",""
"Horiz. %","65.91%","65.91%","65.91%","61.16%","59.92%","69.21%","59.30%","76.24%","100.00%","-",""
"P/NAPS","3.54","3.54","3.54","3.30","3.47","3.27","3.98","4.63","3.34","0.00","-"
"YoY %","0.00%","0.00%","7.27%","-4.90%","6.12%","-17.84%","-14.04%","38.62%","0.00%","-",""
"Horiz. %","105.99%","105.99%","105.99%","98.80%","103.89%","97.90%","119.16%","138.62%","100.00%","-",""

