Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,CAGR
"EPS","3.02","3.68","3.34","2.47","1.46","0.62","1.24","-","-"
"YoY %","-17.93%","10.18%","35.22%","69.18%","135.48%","-50.00%","0.00%","-",""
"Horiz. %","243.55%","296.77%","269.35%","199.19%","117.74%","50.00%","100.00%","-",""
"DPS","6.52","1.63","0.00","0.00","0.00","0.00","0.00","-","-"
"YoY %","300.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","400.00%","100.00%","-","-","-","-","-","-",""
"NAPS","0.3423","0.3423","0.3012","0.2221","0.0931","0.0725","0.0225","-","-"
"YoY %","0.00%","13.65%","35.61%","138.56%","28.41%","222.22%","0.00%","-",""
"Horiz. %","1,521.33%","1,521.33%","1,338.67%","987.11%","413.78%","322.22%","100.00%","-",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","-","-"
"Price","0.5950","0.5950","0.6050","0.9250","0.3100","0.2050","0.2350","0.0000","-"
"P/RPS","1.83","1.51","1.33","1.62","0.91","0.79","0.39","0.00","-"
"YoY %","21.19%","13.53%","-17.90%","78.02%","15.19%","102.56%","0.00%","-",""
"Horiz. %","469.23%","387.18%","341.03%","415.38%","233.33%","202.56%","100.00%","-",""
"P/EPS","16.08","13.16","13.30","19.38","10.38","15.89","3.56","0.00","-"
"YoY %","22.19%","-1.05%","-31.37%","86.71%","-34.68%","346.35%","0.00%","-",""
"Horiz. %","451.69%","369.66%","373.60%","544.38%","291.57%","446.35%","100.00%","-",""
"EY","6.22","7.60","7.52","5.16","9.64","6.29","28.13","0.00","-"
"YoY %","-18.16%","1.06%","45.74%","-46.47%","53.26%","-77.64%","0.00%","-",""
"Horiz. %","22.11%","27.02%","26.73%","18.34%","34.27%","22.36%","100.00%","-",""
"DY","13.45","3.36","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","300.30%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","400.30%","100.00%","-","-","-","-","-","-",""
"P/NAPS","1.42","1.42","1.48","2.15","1.63","1.37","1.96","0.00","-"
"YoY %","0.00%","-4.05%","-31.16%","31.90%","18.98%","-30.10%","0.00%","-",""
"Horiz. %","72.45%","72.45%","75.51%","109.69%","83.16%","69.90%","100.00%","-",""
"Date","AQR","T4Q","28/02/19","26/02/18","20/02/17","26/02/16","26/02/15","-","-"
"Price","0.5600","0.5600","0.6250","0.8050","0.3200","0.1600","0.3250","0.0000","-"
"P/RPS","1.72","1.42","1.38","1.41","0.94","0.62","0.54","0.00","-"
"YoY %","21.13%","2.90%","-2.13%","50.00%","51.61%","14.81%","0.00%","-",""
"Horiz. %","318.52%","262.96%","255.56%","261.11%","174.07%","114.81%","100.00%","-",""
"P/EPS","15.13","12.39","13.74","16.86","10.71","12.40","4.92","0.00","-"
"YoY %","22.11%","-9.83%","-18.51%","57.42%","-13.63%","152.03%","0.00%","-",""
"Horiz. %","307.52%","251.83%","279.27%","342.68%","217.68%","252.03%","100.00%","-",""
"EY","6.61","8.07","7.28","5.93","9.34","8.06","20.34","0.00","-"
"YoY %","-18.09%","10.85%","22.77%","-36.51%","15.88%","-60.37%","0.00%","-",""
"Horiz. %","32.50%","39.68%","35.79%","29.15%","45.92%","39.63%","100.00%","-",""
"DY","14.29","3.57","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","300.28%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","400.28%","100.00%","-","-","-","-","-","-",""
"P/NAPS","1.33","1.33","1.52","1.87","1.68","1.07","2.71","0.00","-"
"YoY %","0.00%","-12.50%","-18.72%","11.31%","57.01%","-60.52%","0.00%","-",""
"Horiz. %","49.08%","49.08%","56.09%","69.00%","61.99%","39.48%","100.00%","-",""

