Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,&nbsp;-&nbsp;,CAGR
"EPS","5.00","5.29","5.00","3.60","9.50","8.80","-","-17.16%"
"YoY %","-5.48%","5.80%","38.89%","-62.11%","7.95%","-","-",""
"Horiz. %","56.82%","60.11%","56.82%","40.91%","107.95%","100.00%","-",""
"DPS","1.50","1.75","1.75","1.50","3.00","3.28","-","-18.88%"
"YoY %","-14.29%","0.00%","16.67%","-50.00%","-8.54%","-","-",""
"Horiz. %","45.73%","53.35%","53.35%","45.73%","91.46%","100.00%","-",""
"NAPS","0.4100","0.4100","0.4000","0.3600","0.7500","0.5900","-","-12.14%"
"YoY %","0.00%","2.50%","11.11%","-52.00%","27.12%","-","-",""
"Horiz. %","69.49%","69.49%","67.80%","61.02%","127.12%","100.00%","-",""
"RPS","30.07","28.94","26.29","20.71","19.74","22.45","-","5.40%"
"YoY %","3.90%","10.08%","26.94%","4.91%","-12.07%","-","-",""
"Horiz. %","133.94%","128.91%","117.10%","92.25%","87.93%","100.00%","-",""
"EPS","5.01","5.24","4.93","3.53","4.23","3.61","-","10.94%"
"YoY %","-4.39%","6.29%","39.66%","-16.55%","17.17%","-","-",""
"Horiz. %","138.78%","145.15%","136.57%","97.78%","117.17%","100.00%","-",""
"DPS","1.49","1.72","1.72","1.47","1.34","1.35","-","8.40%"
"YoY %","-13.37%","0.00%","17.01%","9.70%","-0.74%","-","-",""
"Horiz. %","110.37%","127.41%","127.41%","108.89%","99.26%","100.00%","-",""
"NAPS","0.4060","0.4060","0.3921","0.3529","0.3351","0.2423","-","17.39%"
"YoY %","0.00%","3.55%","11.11%","5.31%","38.30%","-","-",""
"Horiz. %","167.56%","167.56%","161.82%","145.65%","138.30%","100.00%","-",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","-","-","-"
"Price","0.5500","0.5500","0.4500","0.4250","1.4900","0.0000","-","-"
"P/RPS","1.81","1.88","1.68","2.01","3.37","0.00","-","-"
"YoY %","-3.72%","11.90%","-16.42%","-40.36%","0.00%","-","-",""
"Horiz. %","53.71%","55.79%","49.85%","59.64%","100.00%","-","-",""
"P/EPS","10.87","10.40","8.95","11.80","15.75","0.00","-","-"
"YoY %","4.52%","16.20%","-24.15%","-25.08%","0.00%","-","-",""
"Horiz. %","69.02%","66.03%","56.83%","74.92%","100.00%","-","-",""
"EY","9.20","9.62","11.18","8.48","6.35","0.00","-","-"
"YoY %","-4.37%","-13.95%","31.84%","33.54%","0.00%","-","-",""
"Horiz. %","144.88%","151.50%","176.06%","133.54%","100.00%","-","-",""
"DY","2.73","3.18","3.89","3.53","2.01","0.00","-","-"
"YoY %","-14.15%","-18.25%","10.20%","75.62%","0.00%","-","-",""
"Horiz. %","135.82%","158.21%","193.53%","175.62%","100.00%","-","-",""
"P/NAPS","1.34","1.34","1.13","1.18","1.99","0.00","-","-"
"YoY %","0.00%","18.58%","-4.24%","-40.70%","0.00%","-","-",""
"Horiz. %","67.34%","67.34%","56.78%","59.30%","100.00%","-","-",""
"Date","AQR","T4Q","26/02/19","13/02/18","23/02/17","-","-","-"
"Price","0.5250","0.5250","0.4900","0.4150","1.4400","0.0000","-","-"
"P/RPS","1.73","1.80","1.83","1.96","3.26","0.00","-","-"
"YoY %","-3.89%","-1.64%","-6.63%","-39.88%","0.00%","-","-",""
"Horiz. %","53.07%","55.21%","56.13%","60.12%","100.00%","-","-",""
"P/EPS","10.38","9.93","9.74","11.52","15.22","0.00","-","-"
"YoY %","4.53%","1.95%","-15.45%","-24.31%","0.00%","-","-",""
"Horiz. %","68.20%","65.24%","63.99%","75.69%","100.00%","-","-",""
"EY","9.64","10.07","10.26","8.68","6.57","0.00","-","-"
"YoY %","-4.27%","-1.85%","18.20%","32.12%","0.00%","-","-",""
"Horiz. %","146.73%","153.27%","156.16%","132.12%","100.00%","-","-",""
"DY","2.86","3.33","3.57","3.61","2.08","0.00","-","-"
"YoY %","-14.11%","-6.72%","-1.11%","73.56%","0.00%","-","-",""
"Horiz. %","137.50%","160.10%","171.63%","173.56%","100.00%","-","-",""
"P/NAPS","1.28","1.28","1.23","1.15","1.92","0.00","-","-"
"YoY %","0.00%","4.07%","6.96%","-40.10%","0.00%","-","-",""
"Horiz. %","66.67%","66.67%","64.06%","59.90%","100.00%","-","-",""

