Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,CAGR
"Net Worth","3,840,817","3,840,817","3,843,253","3,936,744","3,919,766","3,849,858","3,810,481","3,520,343","3,295,140","2,897,795","-","-"
"YoY %","0.00%","-0.06%","-2.37%","0.43%","1.82%","1.03%","8.24%","6.83%","13.71%","0.00%","-",""
"Horiz. %","132.54%","132.54%","132.63%","135.85%","135.27%","132.85%","131.50%","121.48%","113.71%","100.00%","-",""
"Div","267,377","268,518","266,622","249,452","248,989","248,251","239,869","221,375","206,265","13,281","-","-"
"YoY %","-0.42%","0.71%","6.88%","0.19%","0.30%","3.49%","8.35%","7.33%","1,453.02%","0.00%","-",""
"Horiz. %","2,013.15%","2,021.74%","2,007.46%","1,878.18%","1,874.70%","1,869.14%","1,806.03%","1,666.78%","1,553.02%","100.00%","-",""
"Div Payout %","104.07    %","92.28    %","92.36    %","100.00    %","79.77    %","87.93    %","46.99    %","67.65    %","32.73    %","107.32    %","-     %","-"
"YoY %","12.78%","-0.09%","-7.64%","25.36%","-9.28%","87.12%","-30.54%","106.69%","-69.50%","0.00%","-",""
"Horiz. %","96.97%","85.99%","86.06%","93.18%","74.33%","81.93%","43.78%","63.04%","30.50%","100.00%","-",""
"Net Worth","3,840,817","3,840,817","3,843,253","3,936,744","3,919,766","3,849,858","3,810,481","3,520,343","3,295,140","2,897,795","-","-"
"YoY %","0.00%","-0.06%","-2.37%","0.43%","1.82%","1.03%","8.24%","6.83%","13.71%","0.00%","-",""
"Horiz. %","132.54%","132.54%","132.63%","135.85%","135.27%","132.85%","131.50%","121.48%","113.71%","100.00%","-",""
"NOSH","3,038,380","3,038,380","3,036,704","3,027,333","3,021,713","3,016,421","3,013,429","3,007,812","3,002,405","3,018,536","-","-"
"YoY %","0.00%","0.06%","0.31%","0.19%","0.18%","0.10%","0.19%","0.18%","-0.53%","0.00%","-",""
"Horiz. %","100.66%","100.66%","100.60%","100.29%","100.11%","99.93%","99.83%","99.64%","99.47%","100.00%","-",""
"NP Margin","43.54    %","49.87    %","52.02    %","50.91    %","67.90    %","68.21    %","126.95    %","87.15    %","181.86    %","54.91    %","-     %","-"
"YoY %","-12.69%","-4.13%","2.18%","-25.02%","-0.45%","-46.27%","45.67%","-52.08%","231.20%","0.00%","-",""
"Horiz. %","79.29%","90.82%","94.74%","92.72%","123.66%","124.22%","231.20%","158.71%","331.20%","100.00%","-",""
"ROE","6.69    %","7.58    %","7.51    %","6.34    %","7.96    %","7.33    %","13.40    %","9.30    %","19.13    %","0.43    %","-     %","-"
"YoY %","-11.74%","0.93%","18.45%","-20.35%","8.59%","-45.30%","44.09%","-51.39%","4,348.84%","0.00%","-",""
"Horiz. %","1,555.81%","1,762.79%","1,746.51%","1,474.42%","1,851.16%","1,704.65%","3,116.28%","2,162.79%","4,448.84%","100.00%","-",""
"RPS","19.42","19.20","18.28","16.19","15.21","13.72","13.34","12.48","11.54","0.75","-","-"
"YoY %","1.15%","5.03%","12.91%","6.44%","10.86%","2.85%","6.89%","8.15%","1,438.67%","0.00%","-",""
"Horiz. %","2,589.33%","2,560.00%","2,437.33%","2,158.67%","2,028.00%","1,829.33%","1,778.67%","1,664.00%","1,538.67%","100.00%","-",""
"EPS","8.46","9.58","9.51","8.24","10.33","9.36","16.94","10.88","20.99","0.41","0.00","-"
"YoY %","-11.69%","0.74%","15.41%","-20.23%","10.36%","-44.75%","55.70%","-48.17%","5,019.51%","0.00%","-",""
"Horiz. %","2,063.41%","2,336.59%","2,319.51%","2,009.76%","2,519.51%","2,282.93%","4,131.71%","2,653.66%","5,119.51%","100.00%","-",""
"DPS","8.80","8.84","8.78","8.24","8.24","8.23","7.96","7.36","6.87","0.44","0.00","-"
"YoY %","-0.45%","0.68%","6.55%","0.00%","0.12%","3.39%","8.15%","7.13%","1,461.36%","0.00%","-",""
"Horiz. %","2,000.00%","2,009.09%","1,995.45%","1,872.73%","1,872.73%","1,870.45%","1,809.09%","1,672.73%","1,561.36%","100.00%","-",""
"NAPS","1.2641","1.2641","1.2656","1.3004","1.2972","1.2763","1.2645","1.1704","1.0975","0.9600","0.0000","-"
"YoY %","0.00%","-0.12%","-2.68%","0.25%","1.64%","0.93%","8.04%","6.64%","14.32%","0.00%","-",""
"Horiz. %","131.68%","131.68%","131.83%","135.46%","135.12%","132.95%","131.72%","121.92%","114.32%","100.00%","-",""
"RPS","19.40","19.19","18.25","16.11","15.12","13.61","13.22","12.35","11.39","0.74","-","-"
"YoY %","1.09%","5.15%","13.28%","6.55%","11.09%","2.95%","7.04%","8.43%","1,439.19%","0.00%","-",""
"Horiz. %","2,621.62%","2,593.24%","2,466.22%","2,177.03%","2,043.24%","1,839.19%","1,786.49%","1,668.92%","1,539.19%","100.00%","-",""
"EPS","8.45","9.57","9.49","8.20","10.26","9.28","16.79","10.76","20.72","0.41","0.00","-"
"YoY %","-11.70%","0.84%","15.73%","-20.08%","10.56%","-44.73%","56.04%","-48.07%","4,953.66%","0.00%","-",""
"Horiz. %","2,060.98%","2,334.15%","2,314.63%","2,000.00%","2,502.44%","2,263.41%","4,095.12%","2,624.39%","5,053.66%","100.00%","-",""
"DPS","8.79","8.83","8.77","8.20","8.19","8.16","7.89","7.28","6.78","0.44","0.00","-"
"YoY %","-0.45%","0.68%","6.95%","0.12%","0.37%","3.42%","8.38%","7.37%","1,440.91%","0.00%","-",""
"Horiz. %","1,997.73%","2,006.82%","1,993.18%","1,863.64%","1,861.36%","1,854.55%","1,793.18%","1,654.55%","1,540.91%","100.00%","-",""
"NAPS","1.2630","1.2630","1.2638","1.2945","1.2889","1.2659","1.2530","1.1576","1.0835","0.9529","0.0000","-"
"YoY %","0.00%","-0.06%","-2.37%","0.43%","1.82%","1.03%","8.24%","6.84%","13.71%","0.00%","-",""
"Horiz. %","132.54%","132.54%","132.63%","135.85%","135.26%","132.85%","131.49%","121.48%","113.71%","100.00%","-",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","31/12/12","30/12/11","-","-"
"Price","1.8300","1.8300","1.6400","1.6100","1.9000","1.5500","1.4600","1.2800","1.3900","1.0900","0.0000","-"
"P/RPS","9.42","9.53","8.97","9.95","12.49","11.30","10.94","10.25","12.04","145.98","0.00","-"
"YoY %","-1.15%","6.24%","-9.85%","-20.34%","10.53%","3.29%","6.73%","-14.87%","-91.75%","0.00%","-",""
"Horiz. %","6.45%","6.53%","6.14%","6.82%","8.56%","7.74%","7.49%","7.02%","8.25%","100.00%","-",""
"P/EPS","21.64","19.11","17.25","19.54","18.39","16.56","8.62","11.76","6.62","265.85","0.00","-"
"YoY %","13.24%","10.78%","-11.72%","6.25%","11.05%","92.11%","-26.70%","77.64%","-97.51%","0.00%","-",""
"Horiz. %","8.14%","7.19%","6.49%","7.35%","6.92%","6.23%","3.24%","4.42%","2.49%","100.00%","-",""
"EY","4.62","5.23","5.80","5.12","5.44","6.04","11.60","8.50","15.10","0.38","0.00","-"
"YoY %","-11.66%","-9.83%","13.28%","-5.88%","-9.93%","-47.93%","36.47%","-43.71%","3,873.68%","0.00%","-",""
"Horiz. %","1,215.79%","1,376.32%","1,526.32%","1,347.37%","1,431.58%","1,589.47%","3,052.63%","2,236.84%","3,973.68%","100.00%","-",""
"DY","4.81","4.83","5.35","5.12","4.34","5.31","5.45","5.75","4.94","0.40","0.00","-"
"YoY %","-0.41%","-9.72%","4.49%","17.97%","-18.27%","-2.57%","-5.22%","16.40%","1,135.00%","0.00%","-",""
"Horiz. %","1,202.50%","1,207.50%","1,337.50%","1,280.00%","1,085.00%","1,327.50%","1,362.50%","1,437.50%","1,235.00%","100.00%","-",""
"P/NAPS","1.45","1.45","1.30","1.24","1.46","1.21","1.15","1.09","1.27","1.14","0.00","-"
"YoY %","0.00%","11.54%","4.84%","-15.07%","20.66%","5.22%","5.50%","-14.17%","11.40%","0.00%","-",""
"Horiz. %","127.19%","127.19%","114.04%","108.77%","128.07%","106.14%","100.88%","95.61%","111.40%","100.00%","-",""
"Date","AQR","T4Q","29/01/19","25/01/18","19/01/17","14/01/16","15/01/15","16/01/14","18/01/13","08/02/12","-","-"
"Price","1.8900","1.8900","1.7500","1.5500","1.8200","1.5500","1.4600","1.3200","1.4700","1.1000","0.0000","-"
"P/RPS","9.73","9.84","9.58","9.58","11.96","11.30","10.94","10.57","12.74","147.32","0.00","-"
"YoY %","-1.12%","2.71%","0.00%","-19.90%","5.84%","3.29%","3.50%","-17.03%","-91.35%","0.00%","-",""
"Horiz. %","6.60%","6.68%","6.50%","6.50%","8.12%","7.67%","7.43%","7.17%","8.65%","100.00%","-",""
"P/EPS","22.35","19.73","18.41","18.81","17.62","16.56","8.62","12.13","7.00","268.29","0.00","-"
"YoY %","13.28%","7.17%","-2.13%","6.75%","6.40%","92.11%","-28.94%","73.29%","-97.39%","0.00%","-",""
"Horiz. %","8.33%","7.35%","6.86%","7.01%","6.57%","6.17%","3.21%","4.52%","2.61%","100.00%","-",""
"EY","4.47","5.07","5.43","5.32","5.68","6.04","11.60","8.24","14.28","0.37","0.00","-"
"YoY %","-11.83%","-6.63%","2.07%","-6.34%","-5.96%","-47.93%","40.78%","-42.30%","3,759.46%","0.00%","-",""
"Horiz. %","1,208.11%","1,370.27%","1,467.57%","1,437.84%","1,535.14%","1,632.43%","3,135.14%","2,227.03%","3,859.46%","100.00%","-",""
"DY","4.66","4.68","5.02","5.32","4.53","5.31","5.45","5.58","4.67","0.40","0.00","-"
"YoY %","-0.43%","-6.77%","-5.64%","17.44%","-14.69%","-2.57%","-2.33%","19.49%","1,067.50%","0.00%","-",""
"Horiz. %","1,165.00%","1,170.00%","1,255.00%","1,330.00%","1,132.50%","1,327.50%","1,362.50%","1,395.00%","1,167.50%","100.00%","-",""
"P/NAPS","1.50","1.50","1.38","1.19","1.40","1.21","1.15","1.13","1.34","1.15","0.00","-"
"YoY %","0.00%","8.70%","15.97%","-15.00%","15.70%","5.22%","1.77%","-15.67%","16.52%","0.00%","-",""
"Horiz. %","130.43%","130.43%","120.00%","103.48%","121.74%","105.22%","100.00%","98.26%","116.52%","100.00%","-",""

