Column1,AQR,T4Q,30/06/19,30/06/18,30/06/17,30/06/16,30/06/15,30/06/14,30/06/13,CAGR
"Horiz. %","91.36%","91.36%","91.36%","133.76%","103.83%","96.62%","100.00%","-","-",""
"Net Worth","401,250","401,250","401,250","374,500","304,893","246,150","198,007","137,965","-","-"
"YoY %","0.00%","0.00%","7.14%","22.83%","23.86%","24.31%","43.52%","0.00%","-",""
"Horiz. %","290.83%","290.83%","290.83%","271.44%","220.99%","178.41%","143.52%","100.00%","-",""
"NOSH","1,337,500","1,337,500","1,337,500","1,337,500","534,900","535,109","535,154","445,050","-","-"
"YoY %","0.00%","0.00%","0.00%","150.05%","-0.04%","-0.01%","20.25%","0.00%","-",""
"Horiz. %","300.53%","300.53%","300.53%","300.53%","120.19%","120.24%","120.25%","100.00%","-",""
"NP Margin","3.85    %","3.85    %","3.85    %","11.96    %","13.88    %","14.62    %","10.87    %","7.41    %","-     %","-"
"YoY %","0.00%","0.00%","-67.81%","-13.83%","-5.06%","34.50%","46.69%","0.00%","-",""
"Horiz. %","51.96%","51.96%","51.96%","161.40%","187.31%","197.30%","146.69%","100.00%","-",""
"ROE","6.36    %","6.36    %","6.36    %","23.26    %","26.49    %","27.44    %","23.54    %","22.48    %","-     %","-"
"YoY %","0.00%","0.00%","-72.66%","-12.19%","-3.46%","16.57%","4.72%","0.00%","-",""
"Horiz. %","28.29%","28.29%","28.29%","103.47%","117.84%","122.06%","104.72%","100.00%","-",""
"RPS","49.60","49.60","49.60","54.46","108.79","86.35","80.16","94.08","-","-"
"YoY %","0.00%","0.00%","-8.92%","-49.94%","25.99%","7.72%","-14.80%","0.00%","-",""
"Horiz. %","52.72%","52.72%","52.72%","57.89%","115.64%","91.78%","85.20%","100.00%","-",""
"EPS","1.91","1.91","1.91","6.51","15.10","12.63","8.71","6.97","0.00","-"
"YoY %","0.00%","0.00%","-70.66%","-56.89%","19.56%","45.01%","24.96%","0.00%","-",""
"Horiz. %","27.40%","27.40%","27.40%","93.40%","216.64%","181.21%","124.96%","100.00%","-",""
"DPS","0.50","0.50","0.50","2.50","4.50","3.50","2.50","0.00","0.00","-"
"YoY %","0.00%","0.00%","-80.00%","-44.44%","28.57%","40.00%","0.00%","0.00%","-",""
"Horiz. %","20.00%","20.00%","20.00%","100.00%","180.00%","140.00%","100.00%","-","-",""
"NAPS","0.3000","0.3000","0.3000","0.2800","0.5700","0.4600","0.3700","0.3100","0.0000","-"
"YoY %","0.00%","0.00%","7.14%","-50.88%","23.91%","24.32%","19.35%","0.00%","-",""
"Horiz. %","96.77%","96.77%","96.77%","90.32%","183.87%","148.39%","119.35%","100.00%","-",""
"RPS","49.60","49.60","49.60","54.46","43.51","34.55","32.07","31.30","-","-"
"YoY %","0.00%","0.00%","-8.92%","25.17%","25.93%","7.73%","2.46%","0.00%","-",""
"Horiz. %","158.47%","158.47%","158.47%","173.99%","139.01%","110.38%","102.46%","100.00%","-",""
"EPS","1.91","1.91","1.91","6.51","6.04","5.05","3.49","2.32","0.00","-"
"YoY %","0.00%","0.00%","-70.66%","7.78%","19.60%","44.70%","50.43%","0.00%","-",""
"Horiz. %","82.33%","82.33%","82.33%","280.60%","260.34%","217.67%","150.43%","100.00%","-",""
"DPS","0.50","0.50","0.50","2.50","1.80","1.40","1.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","-80.00%","38.89%","28.57%","40.00%","0.00%","0.00%","-",""
"Horiz. %","50.00%","50.00%","50.00%","250.00%","180.00%","140.00%","100.00%","-","-",""
"NAPS","0.3000","0.3000","0.3000","0.2800","0.2280","0.1840","0.1480","0.1032","0.0000","-"
"YoY %","0.00%","0.00%","7.14%","22.81%","23.91%","24.32%","43.41%","0.00%","-",""
"Horiz. %","290.70%","290.70%","290.70%","271.32%","220.93%","178.29%","143.41%","100.00%","-",""
"Date","AQR","T4Q","28/06/19","29/06/18","30/06/17","30/06/16","30/06/15","30/06/14","-","-"
"Price","0.7200","0.7200","0.7200","0.7400","2.5000","1.3200","1.0400","0.7050","0.0000","-"
"P/RPS","1.45","1.45","1.45","1.36","2.30","1.53","1.30","0.75","0.00","-"
"YoY %","0.00%","0.00%","6.62%","-40.87%","50.33%","17.69%","73.33%","0.00%","-",""
"Horiz. %","193.33%","193.33%","193.33%","181.33%","306.67%","204.00%","173.33%","100.00%","-",""
"P/EPS","37.76","37.76","37.76","11.36","16.56","10.46","11.94","10.11","0.00","-"
"YoY %","0.00%","0.00%","232.39%","-31.40%","58.32%","-12.40%","18.10%","0.00%","-",""
"Horiz. %","373.49%","373.49%","373.49%","112.36%","163.80%","103.46%","118.10%","100.00%","-",""
"EY","2.65","2.65","2.65","8.80","6.04","9.56","8.38","9.89","0.00","-"
"YoY %","0.00%","0.00%","-69.89%","45.70%","-36.82%","14.08%","-15.27%","0.00%","-",""
"Horiz. %","26.79%","26.79%","26.79%","88.98%","61.07%","96.66%","84.73%","100.00%","-",""
"DY","0.69","0.69","0.69","3.38","1.80","2.65","2.40","0.00","0.00","-"
"YoY %","0.00%","0.00%","-79.59%","87.78%","-32.08%","10.42%","0.00%","0.00%","-",""
"Horiz. %","28.75%","28.75%","28.75%","140.83%","75.00%","110.42%","100.00%","-","-",""
"P/NAPS","2.40","2.40","2.40","2.64","4.39","2.87","2.81","2.27","0.00","-"
"YoY %","0.00%","0.00%","-9.09%","-39.86%","52.96%","2.14%","23.79%","0.00%","-",""
"Horiz. %","105.73%","105.73%","105.73%","116.30%","193.39%","126.43%","123.79%","100.00%","-",""
"Date","AQR","T4Q","28/08/19","29/08/18","23/08/17","25/08/16","26/08/15","21/08/14","-","-"
"Price","0.7500","0.7500","0.7500","0.8650","3.0000","1.4500","0.7800","1.1100","0.0000","-"
"P/RPS","1.51","1.51","1.51","1.59","2.76","1.68","0.97","1.18","0.00","-"
"YoY %","0.00%","0.00%","-5.03%","-42.39%","64.29%","73.20%","-17.80%","0.00%","-",""
"Horiz. %","127.97%","127.97%","127.97%","134.75%","233.90%","142.37%","82.20%","100.00%","-",""
"P/EPS","39.33","39.33","39.33","13.28","19.87","11.49","8.96","15.93","0.00","-"
"YoY %","0.00%","0.00%","196.16%","-33.17%","72.93%","28.24%","-43.75%","0.00%","-",""
"Horiz. %","246.89%","246.89%","246.89%","83.36%","124.73%","72.13%","56.25%","100.00%","-",""
"EY","2.54","2.54","2.54","7.53","5.03","8.71","11.17","6.28","0.00","-"
"YoY %","0.00%","0.00%","-66.27%","49.70%","-42.25%","-22.02%","77.87%","0.00%","-",""
"Horiz. %","40.45%","40.45%","40.45%","119.90%","80.10%","138.69%","177.87%","100.00%","-",""
"DY","0.67","0.67","0.67","2.89","1.50","2.41","3.21","0.00","0.00","-"
"YoY %","0.00%","0.00%","-76.82%","92.67%","-37.76%","-24.92%","0.00%","0.00%","-",""
"Horiz. %","20.87%","20.87%","20.87%","90.03%","46.73%","75.08%","100.00%","-","-",""
"P/NAPS","2.50","2.50","2.50","3.09","5.26","3.15","2.11","3.58","0.00","-"
"YoY %","0.00%","0.00%","-19.09%","-41.25%","66.98%","49.29%","-41.06%","0.00%","-",""
"Horiz. %","69.83%","69.83%","69.83%","86.31%","146.93%","87.99%","58.94%","100.00%","-",""

