Column1,AQR,T4Q,31/01/19,31/01/18,31/01/17,31/01/16,31/01/15,31/01/14,31/01/13,31/01/12,CAGR
"Horiz. %","57.65%","64.62%","96.88%","80.81%","99.70%","96.93%","105.22%","100.00%","-","-",""
"Net Worth","755,167","757,308","585,046","653,821","629,409","613,237","713,811","618,272","185,463","-","-"
"YoY %","-0.28%","29.44%","-10.52%","3.88%","2.64%","-14.09%","15.45%","233.37%","0.00%","-",""
"Horiz. %","407.18%","408.33%","315.45%","352.53%","339.37%","330.65%","384.88%","333.37%","100.00%","-",""
"NOSH","5,211,643","5,226,419","5,214,314","5,213,883","5,206,035","5,201,335","5,198,919","5,208,697","1,882,878","-","-"
"YoY %","-0.28%","0.23%","0.01%","0.15%","0.09%","0.05%","-0.19%","176.63%","0.00%","-",""
"Horiz. %","276.79%","277.58%","276.93%","276.91%","276.49%","276.24%","276.12%","276.63%","100.00%","-",""
"NP Margin","13.65    %","11.67    %","8.41    %","13.81    %","10.99    %","11.10    %","9.82    %","9.35    %","9.84    %","16.49    %","-9.16%"
"YoY %","16.97%","38.76%","-39.10%","25.66%","-0.99%","13.03%","5.03%","-4.98%","-40.33%","-",""
"Horiz. %","82.78%","70.77%","51.00%","83.75%","66.65%","67.31%","59.55%","56.70%","59.67%","100.00%",""
"ROE","91.51    %","81.49    %","79.13    %","117.87    %","99.09    %","100.34    %","72.76    %","72.45    %","225.38    %","-     %","-"
"YoY %","12.30%","2.98%","-32.87%","18.95%","-1.25%","37.91%","0.43%","-67.85%","0.00%","-",""
"Horiz. %","40.60%","36.16%","35.11%","52.30%","43.97%","44.52%","32.28%","32.15%","100.00%","-",""
"RPS","94.82","99.92","105.08","106.08","107.81","105.27","100.63","91.98","226.51","-","-"
"YoY %","-5.10%","-4.91%","-0.94%","-1.60%","2.41%","4.61%","9.40%","-59.39%","0.00%","-",""
"Horiz. %","41.86%","44.11%","46.39%","46.83%","47.60%","46.47%","44.43%","40.61%","100.00%","-",""
"EPS","13.26","11.81","8.88","14.79","11.98","11.83","9.99","8.62","22.20","0.00","-"
"YoY %","12.28%","33.00%","-39.96%","23.46%","1.27%","18.42%","15.89%","-61.17%","0.00%","-",""
"Horiz. %","59.73%","53.20%","40.00%","66.62%","53.96%","53.29%","45.00%","38.83%","100.00%","-",""
"DPS","8.00","8.00","9.00","12.50","12.50","12.00","11.00","9.00","0.00","0.00","-"
"YoY %","0.00%","-11.11%","-28.00%","0.00%","4.17%","9.09%","22.22%","0.00%","0.00%","-",""
"Horiz. %","88.89%","88.89%","100.00%","138.89%","138.89%","133.33%","122.22%","100.00%","-","-",""
"NAPS","0.1449","0.1449","0.1122","0.1254","0.1209","0.1179","0.1373","0.1187","0.0985","0.0000","-"
"YoY %","0.00%","29.14%","-10.53%","3.72%","2.54%","-14.13%","15.67%","20.51%","0.00%","-",""
"Horiz. %","147.11%","147.11%","113.91%","127.31%","122.74%","119.70%","139.39%","120.51%","100.00%","-",""
"RPS","94.55","99.92","104.83","105.82","107.39","104.76","100.10","91.66","81.60","73.60","5.18%"
"YoY %","-5.37%","-4.68%","-0.94%","-1.46%","2.51%","4.66%","9.21%","12.33%","10.87%","-",""
"Horiz. %","128.46%","135.76%","142.43%","143.78%","145.91%","142.34%","136.01%","124.54%","110.87%","100.00%",""
"EPS","13.22","11.81","8.86","14.75","11.93","11.77","9.94","8.57","8.00","12.04","-4.28%"
"YoY %","11.94%","33.30%","-39.93%","23.64%","1.36%","18.41%","15.99%","7.12%","-33.55%","-",""
"Horiz. %","109.80%","98.09%","73.59%","122.51%","99.09%","97.76%","82.56%","71.18%","66.45%","100.00%",""
"DPS","7.98","8.00","8.98","12.47","12.45","11.94","10.94","8.97","0.00","0.00","-"
"YoY %","-0.25%","-10.91%","-27.99%","0.16%","4.27%","9.14%","21.96%","0.00%","0.00%","-",""
"Horiz. %","88.96%","89.19%","100.11%","139.02%","138.80%","133.11%","121.96%","100.00%","-","-",""
"NAPS","0.1445","0.1449","0.1119","0.1251","0.1204","0.1173","0.1366","0.1183","0.0355","0.0000","-"
"YoY %","-0.28%","29.49%","-10.55%","3.90%","2.64%","-14.13%","15.47%","233.24%","0.00%","-",""
"Horiz. %","407.04%","408.17%","315.21%","352.39%","339.15%","330.42%","384.79%","333.24%","100.00%","-",""
"Date","AQR","T4Q","31/01/19","30/01/18","31/01/17","29/01/16","30/01/15","30/01/14","31/01/13","-","-"
"Price","1.4500","1.4500","1.6800","2.6000","2.7200","2.7900","2.9200","2.9400","2.7900","0.0000","-"
"P/RPS","1.53","1.45","1.60","2.45","2.52","2.65","2.90","3.20","1.23","0.00","-"
"YoY %","5.52%","-9.37%","-34.69%","-2.78%","-4.91%","-8.62%","-9.37%","160.16%","0.00%","-",""
"Horiz. %","124.39%","117.89%","130.08%","199.19%","204.88%","215.45%","235.77%","260.16%","100.00%","-",""
"P/EPS","10.94","12.28","18.92","17.59","22.70","23.58","29.23","34.19","12.57","0.00","-"
"YoY %","-10.91%","-35.10%","7.56%","-22.51%","-3.73%","-19.33%","-14.51%","172.00%","0.00%","-",""
"Horiz. %","87.03%","97.69%","150.52%","139.94%","180.59%","187.59%","232.54%","272.00%","100.00%","-",""
"EY","9.14","8.14","5.28","5.68","4.40","4.24","3.42","2.93","7.96","0.00","-"
"YoY %","12.29%","54.17%","-7.04%","29.09%","3.77%","23.98%","16.72%","-63.19%","0.00%","-",""
"Horiz. %","114.82%","102.26%","66.33%","71.36%","55.28%","53.27%","42.96%","36.81%","100.00%","-",""
"DY","5.52","5.52","5.36","4.81","4.60","4.30","3.77","3.06","0.00","0.00","-"
"YoY %","0.00%","2.99%","11.43%","4.57%","6.98%","14.06%","23.20%","0.00%","0.00%","-",""
"Horiz. %","180.39%","180.39%","175.16%","157.19%","150.33%","140.52%","123.20%","100.00%","-","-",""
"P/NAPS","10.01","10.01","14.97","20.73","22.50","23.66","21.27","24.77","28.32","0.00","-"
"YoY %","0.00%","-33.13%","-27.79%","-7.87%","-4.90%","11.24%","-14.13%","-12.54%","0.00%","-",""
"Horiz. %","35.35%","35.35%","52.86%","73.20%","79.45%","83.55%","75.11%","87.46%","100.00%","-",""
"Date","AQR","T4Q","-","28/03/18","28/03/17","22/03/16","30/03/15","31/03/14","14/03/13","-","-"
"Price","1.3400","1.3400","1.5300","2.0200","2.8700","3.0000","3.1900","3.2000","2.7600","0.0000","-"
"P/RPS","1.41","1.34","1.46","1.90","2.66","2.85","3.17","3.48","1.22","0.00","-"
"YoY %","5.22%","-8.22%","-23.16%","-28.57%","-6.67%","-10.09%","-8.91%","185.25%","0.00%","-",""
"Horiz. %","115.57%","109.84%","119.67%","155.74%","218.03%","233.61%","259.84%","285.25%","100.00%","-",""
"P/EPS","10.11","11.35","17.23","13.67","23.96","25.36","31.93","37.21","12.43","0.00","-"
"YoY %","-10.93%","-34.13%","26.04%","-42.95%","-5.52%","-20.58%","-14.19%","199.36%","0.00%","-",""
"Horiz. %","81.34%","91.31%","138.62%","109.98%","192.76%","204.02%","256.88%","299.36%","100.00%","-",""
"EY","9.90","8.81","5.80","7.32","4.17","3.94","3.13","2.69","8.04","0.00","-"
"YoY %","12.37%","51.90%","-20.77%","75.54%","5.84%","25.88%","16.36%","-66.54%","0.00%","-",""
"Horiz. %","123.13%","109.58%","72.14%","91.04%","51.87%","49.00%","38.93%","33.46%","100.00%","-",""
"DY","5.97","5.97","5.88","6.19","4.36","4.00","3.45","2.81","0.00","0.00","-"
"YoY %","0.00%","1.53%","-5.01%","41.97%","9.00%","15.94%","22.78%","0.00%","0.00%","-",""
"Horiz. %","212.46%","212.46%","209.25%","220.28%","155.16%","142.35%","122.78%","100.00%","-","-",""
"P/NAPS","9.25","9.25","13.64","16.11","23.74","25.45","23.23","26.96","28.02","0.00","-"
"YoY %","0.00%","-32.18%","-15.33%","-32.14%","-6.72%","9.56%","-13.84%","-3.78%","0.00%","-",""
"Horiz. %","33.01%","33.01%","48.68%","57.49%","84.73%","90.83%","82.91%","96.22%","100.00%","-",""

