Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,CAGR
"Horiz. %","148.80%","125.60%","160.00%","115.60%","138.40%","160.20%","152.80%","100.00%","-",""
"P/EPS","23.60","19.09","24.23","18.53","22.83","26.68","23.30","19.66","0.00","-"
"YoY %","23.62%","-21.21%","30.76%","-18.83%","-14.43%","14.51%","18.51%","0.00%","-",""
"Horiz. %","120.04%","97.10%","123.25%","94.25%","116.12%","135.71%","118.51%","100.00%","-",""
"EY","4.24","5.24","4.13","5.40","4.38","3.75","4.29","5.09","0.00","-"
"YoY %","-19.08%","26.88%","-23.52%","23.29%","16.80%","-12.59%","-15.72%","0.00%","-",""
"Horiz. %","83.30%","102.95%","81.14%","106.09%","86.05%","73.67%","84.28%","100.00%","-",""
"DY","3.18","3.93","3.09","4.05","3.39","2.81","3.21","16.12","0.00","-"
"YoY %","-19.08%","27.18%","-23.70%","19.47%","20.64%","-12.46%","-80.09%","0.00%","-",""
"Horiz. %","19.73%","24.38%","19.17%","25.12%","21.03%","17.43%","19.91%","100.00%","-",""
"P/NAPS","5.15","5.15","5.35","5.31","6.81","7.10","6.76","5.34","0.00","-"
"YoY %","0.00%","-3.74%","0.75%","-22.03%","-4.08%","5.03%","26.59%","0.00%","-",""
"Horiz. %","96.44%","96.44%","100.19%","99.44%","127.53%","132.96%","126.59%","100.00%","-",""

