Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,CAGR
"Horiz. %","80.07%","-463.37%","-656.52%","100.43%","-560.98%","-66.87%","62.35%","122.93%","110.00%","102.54%","100.00%",""
"Tax Rate","16.74    %","-     %","-     %","23.53    %","-     %","-     %","27.43    %","9.35    %","17.20    %","16.19    %","8.48    %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","193.37%","-45.64%","6.24%","90.92%","-",""
"Horiz. %","197.41%","0.00%","0.00%","277.48%","0.00%","0.00%","323.47%","110.26%","202.83%","190.92%","100.00%",""
"Total Cost","1,767,544","3,823,780","4,737,887","2,025,723","3,322,425","2,421,511","2,172,974","1,637,906","1,271,166","1,178,565","890,628","23.22%"
"YoY %","-53.77%","-19.29%","133.89%","-39.03%","37.20%","11.44%","32.67%","28.85%","7.86%","32.33%","-",""
"Horiz. %","198.46%","429.34%","531.97%","227.45%","373.04%","271.89%","243.98%","183.90%","142.73%","132.33%","100.00%",""
"Net Worth","3,347,536","3,347,536","3,346,434","5,514,293","5,572,962","7,274,174","6,919,331","4,367,604","3,779,180","2,974,730","597,199","24.02%"
"YoY %","0.00%","0.03%","-39.31%","-1.05%","-23.39%","5.13%","58.42%","15.57%","27.04%","398.11%","-",""
"Horiz. %","560.54%","560.54%","560.35%","923.36%","933.18%","1,218.05%","1,158.63%","731.35%","632.82%","498.11%","100.00%",""
"Div","-","0","-","-","-","48,103","98,074","95,266","87,887","61,461","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-50.95%","2.95%","8.40%","43.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","78.27%","159.57%","155.00%","143.00%","100.00%","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","44.85    %","22.09    %","22.78    %","17.09    %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","103.03%","-3.03%","33.29%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","262.43%","129.26%","133.29%","100.00%","-",""
"Net Worth","3,347,536","3,347,536","3,346,434","5,514,293","5,572,962","7,274,174","6,919,331","4,367,604","3,779,180","2,974,730","597,199","24.02%"
"YoY %","0.00%","0.03%","-39.31%","-1.05%","-23.39%","5.13%","58.42%","15.57%","27.04%","398.11%","-",""
"Horiz. %","560.54%","560.54%","560.35%","923.36%","933.18%","1,218.05%","1,158.63%","731.35%","632.82%","498.11%","100.00%",""
"NOSH","5,872,871","5,872,871","5,870,937","5,866,269","5,866,276","5,866,269","6,016,810","2,931,278","2,929,597","2,458,455","1,990,663","14.47%"
"YoY %","0.00%","0.03%","0.08%","-0.00%","0.00%","-2.50%","105.26%","0.06%","19.16%","23.50%","-",""
"Horiz. %","295.02%","295.02%","294.92%","294.69%","294.69%","294.69%","302.25%","147.25%","147.17%","123.50%","100.00%",""
"NP Margin","13.97    %","-74.47    %","-95.88    %","15.67    %","-152.20    %","-11.09    %","9.36    %","20.99    %","23.39    %","23.66    %","28.26    %","-"
"YoY %","118.76%","22.33%","-711.87%","110.30%","-1,272.41%","-218.48%","-55.41%","-10.26%","-1.14%","-16.28%","-",""
"Horiz. %","49.43%","-263.52%","-339.28%","55.45%","-538.57%","-39.24%","33.12%","74.27%","82.77%","83.72%","100.00%",""
"ROE","8.39    %","-48.55    %","-68.81    %","6.39    %","-35.31    %","-3.22    %","3.16    %","9.87    %","10.21    %","12.09    %","58.73    %","-"
"YoY %","117.28%","29.44%","-1,176.84%","118.10%","-996.58%","-201.90%","-67.98%","-3.33%","-15.55%","-79.41%","-",""
"Horiz. %","14.29%","-82.67%","-117.16%","10.88%","-60.12%","-5.48%","5.38%","16.81%","17.38%","20.59%","100.00%",""
"RPS","34.98","37.32","41.20","40.95","22.46","37.16","39.84","70.72","56.64","62.80","62.36","-5.05%"
"YoY %","-6.27%","-9.42%","0.61%","82.32%","-39.56%","-6.73%","-43.67%","24.86%","-9.81%","0.71%","-",""
"Horiz. %","56.09%","59.85%","66.07%","65.67%","36.02%","59.59%","63.89%","113.41%","90.83%","100.71%","100.00%",""
"EPS","4.78","-27.67","-39.22","6.00","-33.54","-4.00","4.32","14.71","13.17","14.63","17.62","-"
"YoY %","117.28%","29.45%","-753.67%","117.89%","-738.50%","-192.59%","-70.63%","11.69%","-9.98%","-16.97%","-",""
"Horiz. %","27.13%","-157.04%","-222.59%","34.05%","-190.35%","-22.70%","24.52%","83.48%","74.74%","83.03%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.82","1.63","3.25","3.00","2.50","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-49.69%","-49.85%","8.33%","20.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","32.80%","65.20%","130.00%","120.00%","100.00%","-",""
"NAPS","0.5700","0.5700","0.5700","0.9400","0.9500","1.2400","1.1500","1.4900","1.2900","1.2100","0.3000","8.35%"
"YoY %","0.00%","0.00%","-39.36%","-1.05%","-23.39%","7.83%","-22.82%","15.50%","6.61%","303.33%","-",""
"Horiz. %","190.00%","190.00%","190.00%","313.33%","316.67%","413.33%","383.33%","496.67%","430.00%","403.33%","100.00%",""
"RPS","34.96","37.29","41.16","40.88","22.42","37.09","40.80","35.28","28.23","26.27","21.12","8.69%"
"YoY %","-6.25%","-9.40%","0.68%","82.34%","-39.55%","-9.09%","15.65%","24.97%","7.46%","24.38%","-",""
"Horiz. %","165.53%","176.56%","194.89%","193.56%","106.16%","175.62%","193.18%","167.05%","133.66%","124.38%","100.00%",""
"EPS","4.78","-27.66","-39.19","5.99","-33.48","-3.99","3.72","7.34","6.57","6.12","5.97","-"
"YoY %","117.28%","29.42%","-754.26%","117.89%","-739.10%","-207.26%","-49.32%","11.72%","7.35%","2.51%","-",""
"Horiz. %","80.07%","-463.32%","-656.45%","100.34%","-560.80%","-66.83%","62.31%","122.95%","110.05%","102.51%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.82","1.67","1.62","1.50","1.05","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-50.90%","3.09%","8.00%","42.86%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","78.10%","159.05%","154.29%","142.86%","100.00%","-",""
"NAPS","0.5696","0.5696","0.5695","0.9384","0.9483","1.2378","1.1775","0.7432","0.6431","0.5062","0.1016","24.03%"
"YoY %","0.00%","0.02%","-39.31%","-1.04%","-23.39%","5.12%","58.44%","15.57%","27.04%","398.23%","-",""
"Horiz. %","560.63%","560.63%","560.53%","923.62%","933.37%","1,218.31%","1,158.96%","731.50%","632.97%","498.23%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","31/12/12","30/12/11","-","-"
"Price","0.2150","0.2150","0.1550","0.7650","0.6050","1.0200","1.0900","4.0300","3.9800","4.1000","0.0000","-"
"P/RPS","0.61","0.58","0.38","1.87","2.69","2.75","2.74","5.70","7.03","6.53","0.00","-"
"YoY %","5.17%","52.63%","-79.68%","-30.48%","-2.18%","0.36%","-51.93%","-18.92%","7.66%","0.00%","-",""
"Horiz. %","9.34%","8.88%","5.82%","28.64%","41.19%","42.11%","41.96%","87.29%","107.66%","100.00%","-",""
"P/EPS","4.50","-0.78","-0.40","12.74","-1.80","-25.51","29.99","27.40","30.22","28.02","0.00","-"
"YoY %","676.92%","-95.00%","-103.14%","807.78%","92.94%","-185.06%","9.45%","-9.33%","7.85%","0.00%","-",""
"Horiz. %","16.06%","-2.78%","-1.43%","45.47%","-6.42%","-91.04%","107.03%","97.79%","107.85%","100.00%","-",""
"EY","22.24","-128.72","-253.05","7.85","-55.44","-3.92","3.33","3.65","3.31","3.57","0.00","-"
"YoY %","117.28%","49.13%","-3,323.57%","114.16%","-1,314.29%","-217.72%","-8.77%","10.27%","-7.28%","0.00%","-",""
"Horiz. %","622.97%","-3,605.60%","-7,088.24%","219.89%","-1,552.94%","-109.80%","93.28%","102.24%","92.72%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.80","1.50","0.81","0.75","0.61","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-46.67%","85.19%","8.00%","22.95%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","131.15%","245.90%","132.79%","122.95%","100.00%","-",""
"P/NAPS","0.38","0.38","0.27","0.81","0.64","0.82","0.95","2.70","3.09","3.39","0.00","-"
"YoY %","0.00%","40.74%","-66.67%","26.56%","-21.95%","-13.68%","-64.81%","-12.62%","-8.85%","0.00%","-",""
"Horiz. %","11.21%","11.21%","7.96%","23.89%","18.88%","24.19%","28.02%","79.65%","91.15%","100.00%","-",""
"Date","AQR","T4Q","28/02/19","26/02/18","28/02/17","26/02/16","26/02/15","20/02/14","22/02/13","27/02/12","-","-"
"Price","0.2550","0.2550","0.1800","0.8700","0.7250","1.0000","1.1600","3.9500","3.7800","4.0100","0.0000","-"
"P/RPS","0.73","0.68","0.44","2.12","3.23","2.69","2.91","5.59","6.67","6.39","0.00","-"
"YoY %","7.35%","54.55%","-79.25%","-34.37%","20.07%","-7.56%","-47.94%","-16.19%","4.38%","0.00%","-",""
"Horiz. %","11.42%","10.64%","6.89%","33.18%","50.55%","42.10%","45.54%","87.48%","104.38%","100.00%","-",""
"P/EPS","5.33","-0.92","-0.46","14.49","-2.16","-25.01","31.92","26.85","28.70","27.41","0.00","-"
"YoY %","679.35%","-100.00%","-103.17%","770.83%","91.36%","-178.35%","18.88%","-6.45%","4.71%","0.00%","-",""
"Horiz. %","19.45%","-3.36%","-1.68%","52.86%","-7.88%","-91.24%","116.45%","97.96%","104.71%","100.00%","-",""
"EY","18.75","-108.53","-217.91","6.90","-46.26","-4.00","3.13","3.72","3.48","3.65","0.00","-"
"YoY %","117.28%","50.20%","-3,258.12%","114.92%","-1,056.50%","-227.80%","-15.86%","6.90%","-4.66%","0.00%","-",""
"Horiz. %","513.70%","-2,973.42%","-5,970.14%","189.04%","-1,267.40%","-109.59%","85.75%","101.92%","95.34%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.82","1.41","0.82","0.79","0.62","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-41.84%","71.95%","3.80%","27.42%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","132.26%","227.42%","132.26%","127.42%","100.00%","-",""
"P/NAPS","0.45","0.45","0.32","0.93","0.76","0.81","1.01","2.65","2.93","3.31","0.00","-"
"YoY %","0.00%","40.62%","-65.59%","22.37%","-6.17%","-19.80%","-61.89%","-9.56%","-11.48%","0.00%","-",""
"Horiz. %","13.60%","13.60%","9.67%","28.10%","22.96%","24.47%","30.51%","80.06%","88.52%","100.00%","-",""

