Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,CAGR
"P/EPS","21.59","20.30","18.80","16.47","21.93","18.80","14.18","12.80","29.93","0.00","-"
"YoY %","6.35%","7.98%","14.15%","-24.90%","16.65%","32.58%","10.78%","-57.23%","0.00%","-",""
"Horiz. %","72.13%","67.82%","62.81%","55.03%","73.27%","62.81%","47.38%","42.77%","100.00%","-",""
"EY","4.63","4.93","5.32","6.07","4.56","5.32","7.05","7.81","3.34","0.00","-"
"YoY %","-6.09%","-7.33%","-12.36%","33.11%","-14.29%","-24.54%","-9.73%","133.83%","0.00%","-",""
"Horiz. %","138.62%","147.60%","159.28%","181.74%","136.53%","159.28%","211.08%","233.83%","100.00%","-",""
"DY","4.76","4.71","5.16","5.76","4.98","5.93","5.95","6.02","1.36","0.00","-"
"YoY %","1.06%","-8.72%","-10.42%","15.66%","-16.02%","-0.34%","-1.16%","342.65%","0.00%","-",""
"Horiz. %","350.00%","346.32%","379.41%","423.53%","366.18%","436.03%","437.50%","442.65%","100.00%","-",""
"P/NAPS","1.84","1.84","1.67","1.52","1.66","1.31","1.23","1.12","1.32","0.00","-"
"YoY %","0.00%","10.18%","9.87%","-8.43%","26.72%","6.50%","9.82%","-15.15%","0.00%","-",""
"Horiz. %","139.39%","139.39%","126.52%","115.15%","125.76%","99.24%","93.18%","84.85%","100.00%","-",""

