Column1,AQR,T4Q,30/06/18,30/06/17,30/06/16,30/06/15,30/06/14,30/06/13,30/06/12,30/06/11,CAGR
"Horiz. %","447.55%","443.60%","391.35%","358.22%","319.87%","169.62%","110.24%","68.57%","100.00%","-",""
"Net Worth","117,074","117,074","111,198","86,134","58,936","19,112","16,881","16,218","9,417","-","-"
"YoY %","0.00%","5.28%","29.10%","46.15%","208.36%","13.22%","4.09%","72.22%","0.00%","-",""
"Horiz. %","1,243.19%","1,243.19%","1,180.80%","914.65%","625.84%","202.95%","179.26%","172.22%","100.00%","-",""
"Div","-","0","-","-","-","-","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-",""
"Net Worth","117,074","117,074","111,198","86,134","58,936","19,112","16,881","16,218","9,417","-","-"
"YoY %","0.00%","5.28%","29.10%","46.15%","208.36%","13.22%","4.09%","72.22%","0.00%","-",""
"Horiz. %","1,243.19%","1,243.19%","1,180.80%","914.65%","625.84%","202.95%","179.26%","172.22%","100.00%","-",""
"NOSH","1,049,993","1,049,993","933,660","671,875","415,924","337,083","309,749","302,586","245,240","-","-"
"YoY %","0.00%","12.46%","38.96%","61.54%","23.39%","8.82%","2.37%","23.38%","0.00%","-",""
"Horiz. %","428.15%","428.15%","380.71%","273.97%","169.60%","137.45%","126.30%","123.38%","100.00%","-",""
"NP Margin","-0.58    %","-2.43    %","-3.10    %","1.04    %","-5.35    %","1.29    %","-2.74    %","11.06    %","-60.18    %","-     %","-"
"YoY %","76.13%","21.61%","-398.08%","119.44%","-514.73%","147.08%","-124.77%","118.38%","0.00%","-",""
"Horiz. %","0.96%","4.04%","5.15%","-1.73%","8.89%","-2.14%","4.55%","-18.38%","100.00%","-",""
"ROE","-1.35    %","-4.91    %","-5.64    %","2.50    %","-14.89    %","3.96    %","-7.34    %","28.32    %","-211.17    %","-     %","-"
"YoY %","72.51%","12.94%","-325.60%","116.79%","-476.01%","153.95%","-125.92%","113.41%","0.00%","-",""
"Horiz. %","0.64%","2.33%","2.67%","-1.18%","7.05%","-1.88%","3.48%","-13.41%","100.00%","-",""
"RPS","22.43","21.83","21.52","28.52","38.64","26.98","18.34","13.49","13.47","-","-"
"YoY %","2.75%","1.44%","-24.54%","-26.19%","43.22%","47.11%","35.95%","0.15%","0.00%","-",""
"Horiz. %","166.52%","162.06%","159.76%","211.73%","286.86%","200.30%","136.15%","100.15%","100.00%","-",""
"EPS","-0.15","-0.55","-0.67","0.32","-2.11","0.23","-0.40","1.52","-6.58","0.00","-"
"YoY %","72.73%","17.91%","-309.38%","115.17%","-1,017.39%","157.50%","-126.32%","123.10%","0.00%","-",""
"Horiz. %","2.28%","8.36%","10.18%","-4.86%","32.07%","-3.50%","6.08%","-23.10%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-",""
"NAPS","0.1115","0.1115","0.1191","0.1282","0.1417","0.0567","0.0545","0.0536","0.0384","0.0000","-"
"YoY %","0.00%","-6.38%","-7.10%","-9.53%","149.91%","4.04%","1.68%","39.58%","0.00%","-",""
"Horiz. %","290.36%","290.36%","310.16%","333.85%","369.01%","147.66%","141.93%","139.58%","100.00%","-",""
"RPS","21.56","20.98","18.39","17.54","14.71","8.33","5.20","3.74","3.03","-","-"
"YoY %","2.76%","14.08%","4.85%","19.24%","76.59%","60.19%","39.04%","23.43%","0.00%","-",""
"Horiz. %","711.55%","692.41%","606.93%","578.88%","485.48%","274.92%","171.62%","123.43%","100.00%","-",""
"EPS","-0.14","-0.53","-0.57","0.20","-0.80","0.07","-0.11","0.42","-1.82","0.00","-"
"YoY %","73.58%","7.02%","-385.00%","125.00%","-1,242.86%","163.64%","-126.19%","123.08%","0.00%","-",""
"Horiz. %","7.69%","29.12%","31.32%","-10.99%","43.96%","-3.85%","6.04%","-23.08%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-",""
"NAPS","0.1072","0.1072","0.1018","0.0788","0.0540","0.0175","0.0155","0.0148","0.0086","0.0000","-"
"YoY %","0.00%","5.30%","29.19%","45.93%","208.57%","12.90%","4.73%","72.09%","0.00%","-",""
"Horiz. %","1,246.51%","1,246.51%","1,183.72%","916.28%","627.91%","203.49%","180.23%","172.09%","100.00%","-",""
"Date","AQR","T4Q","29/06/18","30/06/17","30/06/16","30/06/15","30/06/14","28/06/13","29/06/12","30/06/11","-"
"Price","0.0500","0.0500","0.0700","0.1050","0.1400","0.0700","0.1050","0.1400","0.1700","0.3900","-"
"P/RPS","0.22","0.23","0.33","0.37","0.36","0.26","0.57","1.04","1.26","0.00","-"
"YoY %","-4.35%","-30.30%","-10.81%","2.78%","38.46%","-54.39%","-45.19%","-17.46%","0.00%","-",""
"Horiz. %","17.46%","18.25%","26.19%","29.37%","28.57%","20.63%","45.24%","82.54%","100.00%","-",""
"P/EPS","-33.26","-9.14","-10.41","32.81","-6.64","31.21","-26.25","9.22","-2.10","0.00","-"
"YoY %","-263.89%","12.20%","-131.73%","594.13%","-121.28%","218.90%","-384.71%","539.05%","0.00%","-",""
"Horiz. %","1,583.81%","435.24%","495.71%","-1,562.38%","316.19%","-1,486.19%","1,250.00%","-439.05%","100.00%","-",""
"EY","-3.01","-10.95","-9.60","3.05","-15.07","3.20","-3.81","10.84","-47.70","0.00","-"
"YoY %","72.51%","-14.06%","-414.75%","120.24%","-570.94%","183.99%","-135.15%","122.73%","0.00%","-",""
"Horiz. %","6.31%","22.96%","20.13%","-6.39%","31.59%","-6.71%","7.99%","-22.73%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-",""
"P/NAPS","0.45","0.45","0.59","0.82","0.99","1.23","1.93","2.61","4.43","0.00","-"
"YoY %","0.00%","-23.73%","-28.05%","-17.17%","-19.51%","-36.27%","-26.05%","-41.08%","0.00%","-",""
"Horiz. %","10.16%","10.16%","13.32%","18.51%","22.35%","27.77%","43.57%","58.92%","100.00%","-",""
"Date","AQR","T4Q","30/08/18","27/11/17","30/08/16","28/08/15","29/08/14","30/08/13","30/08/12","-","-"
"Price","0.0550","0.0550","0.0700","0.1050","0.1450","0.0650","0.1050","0.1100","0.1600","0.0000","-"
"P/RPS","0.25","0.25","0.33","0.37","0.38","0.24","0.57","0.82","1.19","0.00","-"
"YoY %","0.00%","-24.24%","-10.81%","-2.63%","58.33%","-57.89%","-30.49%","-31.09%","0.00%","-",""
"Horiz. %","21.01%","21.01%","27.73%","31.09%","31.93%","20.17%","47.90%","68.91%","100.00%","-",""
"P/EPS","-36.58","-10.05","-10.41","32.81","-6.87","28.98","-26.25","7.25","-1.97","0.00","-"
"YoY %","-263.98%","3.46%","-131.73%","577.58%","-123.71%","210.40%","-462.07%","468.02%","0.00%","-",""
"Horiz. %","1,856.85%","510.15%","528.43%","-1,665.48%","348.73%","-1,471.07%","1,332.49%","-368.02%","100.00%","-",""
"EY","-2.73","-9.95","-9.60","3.05","-14.55","3.45","-3.81","13.80","-50.68","0.00","-"
"YoY %","72.56%","-3.65%","-414.75%","120.96%","-521.74%","190.55%","-127.61%","127.23%","0.00%","-",""
"Horiz. %","5.39%","19.63%","18.94%","-6.02%","28.71%","-6.81%","7.52%","-27.23%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-",""
"P/NAPS","0.49","0.49","0.59","0.82","1.02","1.15","1.93","2.05","4.17","0.00","-"
"YoY %","0.00%","-16.95%","-28.05%","-19.61%","-11.30%","-40.41%","-5.85%","-50.84%","0.00%","-",""
"Horiz. %","11.75%","11.75%","14.15%","19.66%","24.46%","27.58%","46.28%","49.16%","100.00%","-",""

