Column1,AQR,T4Q,30/06/19,30/06/18,30/06/17,30/06/16,30/06/15,31/12/13,31/12/12,31/12/11,CAGR
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-50.41%","87.90%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","93.17%","187.90%","100.00%","-",""
"Net Worth","556,329","556,329","556,329","527,268","431,880","332,365","183,008","85,863","65,498","27,049","49.64%"
"YoY %","0.00%","0.00%","5.51%","22.09%","29.94%","81.61%","113.14%","31.09%","142.15%","-",""
"Horiz. %","2,056.75%","2,056.75%","2,056.75%","1,949.31%","1,596.66%","1,228.75%","676.58%","317.44%","242.15%","100.00%",""
"NOSH","764,293","764,293","764,293","763,604","712,322","185,990","145,595","86,494","80,524","50,844","43.52%"
"YoY %","0.00%","0.00%","0.09%","7.20%","282.99%","27.74%","68.33%","7.41%","58.38%","-",""
"Horiz. %","1,503.21%","1,503.21%","1,503.21%","1,501.86%","1,401.00%","365.81%","286.36%","170.12%","158.38%","100.00%",""
"NP Margin","10.84    %","10.84    %","10.84    %","9.30    %","23.66    %","19.57    %","14.06    %","11.12    %","12.22    %","9.61    %","1.62%"
"YoY %","0.00%","0.00%","16.56%","-60.69%","20.90%","39.19%","26.44%","-9.00%","27.16%","-",""
"Horiz. %","112.80%","112.80%","112.80%","96.77%","246.20%","203.64%","146.31%","115.71%","127.16%","100.00%",""
"ROE","14.42    %","14.42    %","14.42    %","11.49    %","21.05    %","21.91    %","30.85    %","23.82    %","25.31    %","46.99    %","-14.57%"
"YoY %","0.00%","0.00%","25.50%","-45.42%","-3.93%","-28.98%","29.51%","-5.89%","-46.14%","-",""
"Horiz. %","30.69%","30.69%","30.69%","24.45%","44.80%","46.63%","65.65%","50.69%","53.86%","100.00%",""
"RPS","105.99","105.99","105.99","110.41","71.34","273.50","275.31","210.14","169.01","259.71","-11.26%"
"YoY %","0.00%","0.00%","-4.00%","54.77%","-73.92%","-0.66%","31.01%","24.34%","-34.92%","-",""
"Horiz. %","40.81%","40.81%","40.81%","42.51%","27.47%","105.31%","106.01%","80.91%","65.08%","100.00%",""
"EPS","10.50","10.50","10.50","7.93","12.76","39.16","38.78","23.65","20.59","25.00","-10.92%"
"YoY %","0.00%","0.00%","32.41%","-37.85%","-67.42%","0.98%","63.97%","14.86%","-17.64%","-",""
"Horiz. %","42.00%","42.00%","42.00%","31.72%","51.04%","156.64%","155.12%","94.60%","82.36%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","10.00","12.30","5.70","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-18.70%","115.79%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","175.44%","215.79%","100.00%","-",""
"NAPS","0.7279","0.7279","0.7279","0.6905","0.6063","1.7870","1.2571","0.9927","0.8134","0.5320","4.27%"
"YoY %","0.00%","0.00%","5.42%","13.89%","-66.07%","42.15%","26.63%","22.04%","52.89%","-",""
"Horiz. %","136.82%","136.82%","136.82%","129.79%","113.97%","335.90%","236.30%","186.60%","152.89%","100.00%",""
"RPS","105.99","105.99","105.99","110.31","66.49","66.56","52.44","23.78","17.81","17.28","27.35%"
"YoY %","0.00%","0.00%","-3.92%","65.90%","-0.11%","26.93%","120.52%","33.52%","3.07%","-",""
"Horiz. %","613.37%","613.37%","613.37%","638.37%","384.78%","385.19%","303.47%","137.62%","103.07%","100.00%",""
"EPS","10.50","10.50","10.50","7.92","11.90","9.53","7.39","2.68","2.17","1.66","27.88%"
"YoY %","0.00%","0.00%","32.58%","-33.45%","24.87%","28.96%","175.75%","23.50%","30.72%","-",""
"Horiz. %","632.53%","632.53%","632.53%","477.11%","716.87%","574.10%","445.18%","161.45%","130.72%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","1.90","1.39","0.60","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","36.69%","131.67%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","316.67%","231.67%","100.00%","-",""
"NAPS","0.7279","0.7279","0.7279","0.6899","0.5651","0.4349","0.2394","0.1123","0.0857","0.0354","49.64%"
"YoY %","0.00%","0.00%","5.51%","22.08%","29.94%","81.66%","113.18%","31.04%","142.09%","-",""
"Horiz. %","2,056.21%","2,056.21%","2,056.21%","1,948.87%","1,596.33%","1,228.53%","676.27%","317.23%","242.09%","100.00%",""
"Date","AQR","T4Q","28/06/19","29/06/18","30/06/17","30/06/16","30/06/15","31/12/13","31/12/12","-","-"
"Price","1.1100","1.1100","1.1100","1.5500","1.6200","6.7000","4.9200","3.0500","1.0600","0.0000","-"
"P/RPS","1.05","1.05","1.05","1.40","2.27","2.45","0.00","1.45","0.63","0.00","-"
"YoY %","0.00%","0.00%","-25.00%","-38.33%","-7.35%","0.00%","0.00%","130.16%","0.00%","-",""
"Horiz. %","166.67%","166.67%","166.67%","222.22%","360.32%","388.89%","0.00%","230.16%","100.00%","-",""
"P/EPS","10.57","10.57","10.57","19.54","12.69","17.11","0.00","12.90","5.15","0.00","-"
"YoY %","0.00%","0.00%","-45.91%","53.98%","-25.83%","0.00%","0.00%","150.49%","0.00%","-",""
"Horiz. %","205.24%","205.24%","205.24%","379.42%","246.41%","332.23%","0.00%","250.49%","100.00%","-",""
"EY","9.46","9.46","9.46","5.12","7.88","5.84","0.00","7.75","19.42","0.00","-"
"YoY %","0.00%","0.00%","84.77%","-35.03%","34.93%","0.00%","0.00%","-60.09%","0.00%","-",""
"Horiz. %","48.71%","48.71%","48.71%","26.36%","40.58%","30.07%","0.00%","39.91%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.03","5.38","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-25.09%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","74.91%","100.00%","-",""
"P/NAPS","1.52","1.52","1.52","2.24","2.67","3.75","3.83","3.07","1.30","0.00","-"
"YoY %","0.00%","0.00%","-32.14%","-16.10%","-28.80%","-2.09%","24.76%","136.15%","0.00%","-",""
"Horiz. %","116.92%","116.92%","116.92%","172.31%","205.38%","288.46%","294.62%","236.15%","100.00%","-",""
"Date","AQR","T4Q","27/08/19","28/08/18","24/08/17","30/08/16","28/08/15","28/02/14","13/03/13","-","-"
"Price","1.4300","1.4300","1.4300","1.5900","1.6900","1.5300","5.2700","3.6500","1.4200","0.0000","-"
"P/RPS","1.35","1.35","1.35","1.44","2.37","0.56","0.00","1.74","0.84","0.00","-"
"YoY %","0.00%","0.00%","-6.25%","-39.24%","323.21%","0.00%","0.00%","107.14%","0.00%","-",""
"Horiz. %","160.71%","160.71%","160.71%","171.43%","282.14%","66.67%","0.00%","207.14%","100.00%","-",""
"P/EPS","13.62","13.62","13.62","20.05","13.24","3.91","0.00","15.43","6.90","0.00","-"
"YoY %","0.00%","0.00%","-32.07%","51.44%","238.62%","0.00%","0.00%","123.62%","0.00%","-",""
"Horiz. %","197.39%","197.39%","197.39%","290.58%","191.88%","56.67%","0.00%","223.62%","100.00%","-",""
"EY","7.34","7.34","7.34","4.99","7.55","25.59","0.00","6.48","14.50","0.00","-"
"YoY %","0.00%","0.00%","47.09%","-33.91%","-70.50%","0.00%","0.00%","-55.31%","0.00%","-",""
"Horiz. %","50.62%","50.62%","50.62%","34.41%","52.07%","176.48%","0.00%","44.69%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.37","4.01","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-15.96%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","84.04%","100.00%","-",""
"P/NAPS","1.96","1.96","1.96","2.30","2.79","0.86","4.10","3.68","1.75","0.00","-"
"YoY %","0.00%","0.00%","-14.78%","-17.56%","224.42%","-79.02%","11.41%","110.29%","0.00%","-",""
"Horiz. %","112.00%","112.00%","112.00%","131.43%","159.43%","49.14%","234.29%","210.29%","100.00%","-",""

