Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,CAGR
"Horiz. %","67.89%","67.89%","67.89%","64.61%","75.15%","85.39%","91.25%","100.00%","100.00%","-",""
"ROE","5.63    %","5.63    %","5.63    %","5.75    %","6.74    %","11.12    %","13.39    %","16.53    %","24.50    %","-     %","-"
"YoY %","0.00%","0.00%","-2.09%","-14.69%","-39.39%","-16.95%","-19.00%","-32.53%","0.00%","-",""
"Horiz. %","22.98%","22.98%","22.98%","23.47%","27.51%","45.39%","54.65%","67.47%","100.00%","-",""
"RPS","52.48","52.48","52.48","55.70","48.87","59.01","55.90","53.39","56.88","-","-"
"YoY %","0.00%","0.00%","-5.78%","13.98%","-17.18%","5.56%","4.70%","-6.14%","0.00%","-",""
"Horiz. %","92.26%","92.26%","92.26%","97.93%","85.92%","103.74%","98.28%","93.86%","100.00%","-",""
"EPS","2.76","2.76","2.76","2.82","3.23","4.62","4.69","5.02","5.39","0.00","-"
"YoY %","0.00%","0.00%","-2.13%","-12.69%","-30.09%","-1.49%","-6.57%","-6.86%","0.00%","-",""
"Horiz. %","51.21%","51.21%","51.21%","52.32%","59.93%","85.71%","87.01%","93.14%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","100.00%","-","-","-","-","-","-",""
"NAPS","0.4900","0.4900","0.4900","0.4900","0.4800","0.4300","0.3500","0.2900","0.2200","0.0000","-"
"YoY %","0.00%","0.00%","0.00%","2.08%","11.63%","22.86%","20.69%","31.82%","0.00%","-",""
"Horiz. %","222.73%","222.73%","222.73%","222.73%","218.18%","195.45%","159.09%","131.82%","100.00%","-",""
"RPS","52.48","52.48","52.48","55.70","46.07","36.25","21.33","17.45","15.94","-","-"
"YoY %","0.00%","0.00%","-5.78%","20.90%","27.09%","69.95%","22.23%","9.47%","0.00%","-",""
"Horiz. %","329.23%","329.23%","329.23%","349.44%","289.02%","227.42%","133.81%","109.47%","100.00%","-",""
"EPS","2.76","2.76","2.76","2.82","3.05","2.94","1.79","1.57","1.51","0.00","-"
"YoY %","0.00%","0.00%","-2.13%","-7.54%","3.74%","64.25%","14.01%","3.97%","0.00%","-",""
"Horiz. %","182.78%","182.78%","182.78%","186.75%","201.99%","194.70%","118.54%","103.97%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","100.00%","-","-","-","-","-","-",""
"NAPS","0.4900","0.4900","0.4900","0.4900","0.4526","0.2641","0.1335","0.0948","0.0617","0.0000","-"
"YoY %","0.00%","0.00%","0.00%","8.26%","71.37%","97.83%","40.82%","53.65%","0.00%","-",""
"Horiz. %","794.17%","794.17%","794.17%","794.17%","733.55%","428.04%","216.37%","153.65%","100.00%","-",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","31/12/12","-","-"
"Price","0.4250","0.4250","0.4250","0.9000","0.7600","0.6750","0.8000","0.8000","0.4900","0.0000","-"
"P/RPS","0.81","0.81","0.81","1.62","1.56","1.14","1.43","1.50","0.86","0.00","-"
"YoY %","0.00%","0.00%","-50.00%","3.85%","36.84%","-20.28%","-4.67%","74.42%","0.00%","-",""
"Horiz. %","94.19%","94.19%","94.19%","188.37%","181.40%","132.56%","166.28%","174.42%","100.00%","-",""
"P/EPS","15.39","15.39","15.39","31.92","23.50","14.11","17.07","16.68","9.09","0.00","-"
"YoY %","0.00%","0.00%","-51.79%","35.83%","66.55%","-17.34%","2.34%","83.50%","0.00%","-",""
"Horiz. %","169.31%","169.31%","169.31%","351.16%","258.53%","155.23%","187.79%","183.50%","100.00%","-",""
"EY","6.50","6.50","6.50","3.13","4.26","7.09","5.86","5.99","11.00","0.00","-"
"YoY %","0.00%","0.00%","107.67%","-26.53%","-39.92%","20.99%","-2.17%","-45.55%","0.00%","-",""
"Horiz. %","59.09%","59.09%","59.09%","28.45%","38.73%","64.45%","53.27%","54.45%","100.00%","-",""
"DY","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","100.00%","-","-","-","-","-","-",""
"P/NAPS","0.87","0.87","0.87","1.84","1.58","1.57","2.29","2.76","2.23","0.00","-"
"YoY %","0.00%","0.00%","-52.72%","16.46%","0.64%","-31.44%","-17.03%","23.77%","0.00%","-",""
"Horiz. %","39.01%","39.01%","39.01%","82.51%","70.85%","70.40%","102.69%","123.77%","100.00%","-",""
"Date","AQR","T4Q","26/02/19","26/02/18","27/02/17","29/02/16","26/02/15","26/02/14","28/02/13","-","-"
"Price","0.5600","0.5600","0.5600","0.8250","0.8300","0.7000","0.9000","0.8050","0.4900","0.0000","-"
"P/RPS","1.07","1.07","1.07","1.48","1.70","1.19","1.61","1.51","0.86","0.00","-"
"YoY %","0.00%","0.00%","-27.70%","-12.94%","42.86%","-26.09%","6.62%","75.58%","0.00%","-",""
"Horiz. %","124.42%","124.42%","124.42%","172.09%","197.67%","138.37%","187.21%","175.58%","100.00%","-",""
"P/EPS","20.28","20.28","20.28","29.26","25.66","14.64","19.20","16.79","9.09","0.00","-"
"YoY %","0.00%","0.00%","-30.69%","14.03%","75.27%","-23.75%","14.35%","84.71%","0.00%","-",""
"Horiz. %","223.10%","223.10%","223.10%","321.89%","282.29%","161.06%","211.22%","184.71%","100.00%","-",""
"EY","4.93","4.93","4.93","3.42","3.90","6.83","5.21","5.96","11.00","0.00","-"
"YoY %","0.00%","0.00%","44.15%","-12.31%","-42.90%","31.09%","-12.58%","-45.82%","0.00%","-",""
"Horiz. %","44.82%","44.82%","44.82%","31.09%","35.45%","62.09%","47.36%","54.18%","100.00%","-",""
"DY","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","100.00%","-","-","-","-","-","-",""
"P/NAPS","1.14","1.14","1.14","1.68","1.73","1.63","2.57","2.78","2.23","0.00","-"
"YoY %","0.00%","0.00%","-32.14%","-2.89%","6.13%","-36.58%","-7.55%","24.66%","0.00%","-",""
"Horiz. %","51.12%","51.12%","51.12%","75.34%","77.58%","73.09%","115.25%","124.66%","100.00%","-",""

