Column1,AQR,T4Q,31/12/18,30/06/18,31/12/17,30/06/17,&nbsp;-&nbsp;,CAGR
"YoY %","-0.25%","1.82%","-3.98%","0.04%","9.86%","-","-",""
"Horiz. %","107.19%","107.46%","105.53%","109.91%","109.86%","100.00%","-",""
"NOSH","6,733,333","6,749,999","6,801,000","6,801,000","6,798,122","6,796,511","-","0.04%"
"YoY %","-0.25%","-0.75%","0.00%","0.04%","0.02%","-","-",""
"Horiz. %","99.07%","99.32%","100.07%","100.07%","100.02%","100.00%","-",""
"NP Margin","2.89    %","3.88    %","4.77    %","13.12    %","20.14    %","24.03    %","-   %","-65.87%"
"YoY %","-25.52%","-18.66%","-63.64%","-34.86%","-16.19%","-","-",""
"Horiz. %","12.03%","16.15%","19.85%","54.60%","83.81%","100.00%","-",""
"ROE","1.52    %","2.58    %","1.86    %","12.63    %","10.60    %","28.20    %","-   %","-83.59%"
"YoY %","-41.09%","38.71%","-85.27%","19.15%","-62.41%","-","-",""
"Horiz. %","5.39%","9.15%","6.60%","44.79%","37.59%","100.00%","-",""
"RPS","174.68","184.06","96.21","211.28","112.18","217.45","-","-41.85%"
"YoY %","-5.10%","91.31%","-54.46%","88.34%","-48.41%","-","-",""
"Horiz. %","80.33%","84.64%","44.24%","97.16%","51.59%","100.00%","-",""
"EPS","3.00","5.11","3.60","25.40","21.30","51.60","-","-82.97%"
"YoY %","-41.29%","41.94%","-85.83%","19.25%","-58.72%","-","-",""
"Horiz. %","5.81%","9.90%","6.98%","49.22%","41.28%","100.00%","-",""
"DPS","0.00","1.70","1.70","17.50","3.50","0.00","-","-"
"YoY %","0.00%","0.00%","-90.29%","400.00%","0.00%","-","-",""
"Horiz. %","0.00%","48.57%","48.57%","500.00%","100.00%","-","-",""
"NAPS","1.9800","1.9800","1.9300","2.0100","2.0100","1.8300","-","3.60%"
"YoY %","0.00%","2.59%","-3.98%","0.00%","9.84%","-","-",""
"Horiz. %","108.20%","108.20%","105.46%","109.84%","109.84%","100.00%","-",""
"RPS","174.25","184.06","96.93","212.87","112.98","218.95","-","-41.83%"
"YoY %","-5.33%","89.89%","-54.47%","88.41%","-48.40%","-","-",""
"Horiz. %","79.58%","84.06%","44.27%","97.22%","51.60%","100.00%","-",""
"EPS","2.99","5.11","3.61","25.59","21.45","51.96","-","-83.02%"
"YoY %","-41.49%","41.55%","-85.89%","19.30%","-58.72%","-","-",""
"Horiz. %","5.75%","9.83%","6.95%","49.25%","41.28%","100.00%","-",""
"DPS","0.00","1.70","1.71","17.63","3.52","0.00","-","-"
"YoY %","0.00%","-0.58%","-90.30%","400.85%","0.00%","-","-",""
"Horiz. %","0.00%","48.30%","48.58%","500.85%","100.00%","-","-",""
"NAPS","1.9751","1.9800","1.9446","2.0252","2.0243","1.8426","-","3.65%"
"YoY %","-0.25%","1.82%","-3.98%","0.04%","9.86%","-","-",""
"Horiz. %","107.19%","107.46%","105.54%","109.91%","109.86%","100.00%","-",""
"Date","AQR","T4Q","31/12/18","29/06/18","29/12/17","-","-","-"
"Price","4.9200","4.9200","4.7600","5.3300","6.0000","0.0000","-","-"
"P/RPS","2.82","2.67","4.95","2.52","5.35","0.00","-","-"
"YoY %","5.62%","-46.06%","96.43%","-52.90%","0.00%","-","-",""
"Horiz. %","52.71%","49.91%","92.52%","47.10%","100.00%","-","-",""
"P/EPS","164.00","96.26","132.68","20.99","28.17","0.00","-","-"
"YoY %","70.37%","-27.45%","532.11%","-25.49%","0.00%","-","-",""
"Horiz. %","582.18%","341.71%","471.00%","74.51%","100.00%","-","-",""
"EY","0.61","1.04","0.75","4.76","3.55","0.00","-","-"
"YoY %","-41.35%","38.67%","-84.24%","34.08%","0.00%","-","-",""
"Horiz. %","17.18%","29.30%","21.13%","134.08%","100.00%","-","-",""
"DY","0.00","0.35","0.36","3.28","0.58","0.00","-","-"
"YoY %","0.00%","-2.78%","-89.02%","465.52%","0.00%","-","-",""
"Horiz. %","0.00%","60.34%","62.07%","565.52%","100.00%","-","-",""
"P/NAPS","2.48","2.48","2.47","2.65","2.99","0.00","-","-"
"YoY %","0.00%","0.40%","-6.79%","-11.37%","0.00%","-","-",""
"Horiz. %","82.94%","82.94%","82.61%","88.63%","100.00%","-","-",""
"Date","-","-","28/02/19","30/08/18","-","-","-","-"
"Price","0.0000","0.0000","5.1100","5.3600","0.0000","0.0000","-","-"
"P/RPS","0.00","0.00","5.31","2.54","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","109.06%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","209.06%","100.00%","-","-","-",""
"P/EPS","0.00","0.00","142.43","21.11","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","574.70%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","674.70%","100.00%","-","-","-",""
"EY","0.00","0.00","0.70","4.74","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","-85.23%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","14.77%","100.00%","-","-","-",""
"DY","0.00","0.00","0.33","3.26","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","-89.88%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","10.12%","100.00%","-","-","-",""
"P/NAPS","0.00","0.00","2.65","2.67","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","-0.75%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","99.25%","100.00%","-","-","-",""

