Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,&nbsp;-&nbsp;,CAGR
"Horiz. %","6,326,661.00%","6,326,661.00%","5,799,439.50%","4,744,996.00%","4,006,888.75%","100.00%","-",""
"Div","-","0","-","-","1,600","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","41.18    %","-     %","-   %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"Net Worth","50,550","50,550","46,337","37,912","32,015","0","-","3,757.86%"
"YoY %","0.00%","9.09%","22.22%","18.42%","4,006,788.75%","-","-",""
"Horiz. %","6,326,661.00%","6,326,661.00%","5,799,439.50%","4,744,996.00%","4,006,888.75%","100.00%","-",""
"NOSH","421,250","421,250","421,250","421,250","400,188","20","-","2,653.31%"
"YoY %","0.00%","0.00%","0.00%","5.26%","2,000,840.00%","-","-",""
"Horiz. %","2,106,251.00%","2,106,251.00%","2,106,251.00%","2,106,251.00%","2,000,940.00%","100.00%","-",""
"NP Margin","6.99    %","6.74    %","9.27    %","5.89    %","5.97    %","9.45    %","-   %","-0.64%"
"YoY %","3.71%","-27.29%","57.39%","-1.34%","-36.83%","-","-",""
"Horiz. %","73.97%","71.32%","98.10%","62.33%","63.17%","100.00%","-",""
"ROE","14.46    %","12.30    %","18.00    %","11.82    %","12.14    %","760,826.06    %","-   %","-97.12%"
"YoY %","17.56%","-31.67%","52.28%","-2.64%","-100.00%","-","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-",""
"RPS","24.90","22.30","21.97","18.08","16.26","321,675.00","-","-95.90%"
"YoY %","11.66%","1.50%","21.52%","11.19%","-99.99%","-","-",""
"Horiz. %","0.01%","0.01%","0.01%","0.01%","0.01%","100.00%","-",""
"EPS","1.74","1.48","1.98","1.06","2.24","30,395.00","-","-95.96%"
"YoY %","17.57%","-25.25%","86.79%","-52.68%","-99.99%","-","-",""
"Horiz. %","0.01%","0.00%","0.01%","0.00%","0.01%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.40","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"NAPS","0.1200","0.1200","0.1100","0.0900","0.0800","0.0400","-","40.06%"
"YoY %","0.00%","9.09%","22.22%","12.50%","100.00%","-","-",""
"Horiz. %","300.00%","300.00%","275.00%","225.00%","200.00%","100.00%","-",""
"RPS","24.90","22.30","21.97","18.08","15.45","15.27","-","12.88%"
"YoY %","11.66%","1.50%","21.52%","17.02%","1.18%","-","-",""
"Horiz. %","163.06%","146.04%","143.88%","118.40%","101.18%","100.00%","-",""
"EPS","1.74","1.48","1.98","1.06","0.92","1.44","-","11.19%"
"YoY %","17.57%","-25.25%","86.79%","15.22%","-36.11%","-","-",""
"Horiz. %","120.83%","102.78%","137.50%","73.61%","63.89%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.38","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"NAPS","0.1200","0.1200","0.1100","0.0900","0.0760","0.0000","-","-"
"YoY %","0.00%","9.09%","22.22%","18.42%","0.00%","-","-",""
"Horiz. %","157.89%","157.89%","144.74%","118.42%","100.00%","-","-",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","-","-","-"
"Price","0.1750","0.1750","0.1800","0.1600","0.1700","0.0000","-","-"
"P/RPS","0.70","0.78","0.82","0.89","1.05","0.00","-","-"
"YoY %","-10.26%","-4.88%","-7.87%","-15.24%","0.00%","-","-",""
"Horiz. %","66.67%","74.29%","78.10%","84.76%","100.00%","-","-",""
"P/EPS","10.08","11.86","9.09","15.04","17.50","0.00","-","-"
"YoY %","-15.01%","30.47%","-39.56%","-14.06%","0.00%","-","-",""
"Horiz. %","57.60%","67.77%","51.94%","85.94%","100.00%","-","-",""
"EY","9.92","8.43","11.00","6.65","5.71","0.00","-","-"
"YoY %","17.67%","-23.36%","65.41%","16.46%","0.00%","-","-",""
"Horiz. %","173.73%","147.64%","192.64%","116.46%","100.00%","-","-",""
"DY","0.00","0.00","0.00","0.00","2.35","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"P/NAPS","1.46","1.46","1.64","1.78","2.13","0.00","-","-"
"YoY %","0.00%","-10.98%","-7.87%","-16.43%","0.00%","-","-",""
"Horiz. %","68.54%","68.54%","77.00%","83.57%","100.00%","-","-",""
"Date","AQR","T4Q","27/02/19","26/02/18","28/02/17","-","-","-"
"Price","0.1600","0.1600","0.2000","0.1650","0.1750","0.0000","-","-"
"P/RPS","0.64","0.72","0.91","0.91","1.08","0.00","-","-"
"YoY %","-11.11%","-20.88%","0.00%","-15.74%","0.00%","-","-",""
"Horiz. %","59.26%","66.67%","84.26%","84.26%","100.00%","-","-",""
"P/EPS","9.22","10.84","10.10","15.51","18.02","0.00","-","-"
"YoY %","-14.94%","7.33%","-34.88%","-13.93%","0.00%","-","-",""
"Horiz. %","51.17%","60.16%","56.05%","86.07%","100.00%","-","-",""
"EY","10.85","9.22","9.90","6.45","5.55","0.00","-","-"
"YoY %","17.68%","-6.87%","53.49%","16.22%","0.00%","-","-",""
"Horiz. %","195.50%","166.13%","178.38%","116.22%","100.00%","-","-",""
"DY","0.00","0.00","0.00","0.00","2.29","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","100.00%","-","-",""
"P/NAPS","1.33","1.33","1.82","1.83","2.19","0.00","-","-"
"YoY %","0.00%","-26.92%","-0.55%","-16.44%","0.00%","-","-",""
"Horiz. %","60.73%","60.73%","83.11%","83.56%","100.00%","-","-",""

