Column1,AQR,T4Q,30/04/18,30/04/17,30/04/16,30/04/15,30/04/14,30/04/13,CAGR
"EY","1.24","0.97","1.95","2.40","2.62","4.27","6.40","0.00","-"
"YoY %","27.84%","-50.26%","-18.75%","-8.40%","-38.64%","-33.28%","0.00%","-",""
"Horiz. %","19.38%","15.16%","30.47%","37.50%","40.94%","66.72%","100.00%","-",""
"DY","0.00","0.65","0.57","0.65","1.20","0.02","0.00","0.00","-"
"YoY %","0.00%","14.04%","-12.31%","-45.83%","5,900.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","3,250.00%","2,850.00%","3,250.00%","6,000.00%","100.00%","-","-",""
"P/NAPS","0.86","0.86","0.97","1.48","1.64","2.29","1.42","0.00","-"
"YoY %","0.00%","-11.34%","-34.46%","-9.76%","-28.38%","61.27%","0.00%","-",""
"Horiz. %","60.56%","60.56%","68.31%","104.23%","115.49%","161.27%","100.00%","-",""
"Date","AQR","T4Q","27/06/18","30/06/17","29/06/16","29/06/15","26/06/14","-","-"
"Price","0.2900","0.2900","0.3500","1.3100","1.3400","1.6200","0.8850","0.0000","-"
"P/RPS","0.79","0.82","1.06","1.74","1.82","1.82","1.03","0.00","-"
"YoY %","-3.66%","-22.64%","-39.08%","-4.40%","0.00%","76.70%","0.00%","-",""
"Horiz. %","76.70%","79.61%","102.91%","168.93%","176.70%","176.70%","100.00%","-",""
"P/EPS","75.33","96.52","51.38","44.41","38.51","25.44","16.27","0.00","-"
"YoY %","-21.95%","87.86%","15.69%","15.32%","51.38%","56.36%","0.00%","-",""
"Horiz. %","463.00%","593.24%","315.80%","272.96%","236.69%","156.36%","100.00%","-",""
"EY","1.33","1.04","1.95","2.25","2.60","3.93","6.15","0.00","-"
"YoY %","27.88%","-46.67%","-13.33%","-13.46%","-33.84%","-36.10%","0.00%","-",""
"Horiz. %","21.63%","16.91%","31.71%","36.59%","42.28%","63.90%","100.00%","-",""
"DY","0.00","0.69","0.57","0.61","1.19","0.02","0.00","0.00","-"
"YoY %","0.00%","21.05%","-6.56%","-48.74%","5,850.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","3,450.00%","2,850.00%","3,050.00%","5,950.00%","100.00%","-","-",""
"P/NAPS","0.81","0.81","0.97","1.58","1.65","2.49","1.47","0.00","-"
"YoY %","0.00%","-16.49%","-38.61%","-4.24%","-33.73%","69.39%","0.00%","-",""
"Horiz. %","55.10%","55.10%","65.99%","107.48%","112.24%","169.39%","100.00%","-",""

