Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,CAGR
"Horiz. %","125.83%","125.83%","125.83%","155.63%","152.32%","146.36%","121.85%","100.00%","-",""
"Div","-","0","-","-","-","-","-","35,750","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","73.93    %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-",""
"Net Worth","1,358,499","1,358,499","1,358,499","1,680,249","1,644,499","1,580,150","1,315,600","1,079,649","-","-"
"YoY %","0.00%","0.00%","-19.15%","2.17%","4.07%","20.11%","21.85%","0.00%","-",""
"Horiz. %","125.83%","125.83%","125.83%","155.63%","152.32%","146.36%","121.85%","100.00%","-",""
"NOSH","715,000","715,000","715,000","715,000","715,000","715,000","715,000","715,000","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","-",""
"NP Margin","21.53    %","15.46    %","5.99    %","19.56    %","19.14    %","22.46    %","65.84    %","19.10    %","-     %","-"
"YoY %","39.26%","158.10%","-69.38%","2.19%","-14.78%","-65.89%","244.71%","0.00%","-",""
"Horiz. %","112.72%","80.94%","31.36%","102.41%","100.21%","117.59%","344.71%","100.00%","-",""
"ROE","4.08    %","2.61    %","0.92    %","4.49    %","3.36    %","4.01    %","18.65    %","4.48    %","-     %","-"
"YoY %","56.32%","183.70%","-79.51%","33.63%","-16.21%","-78.50%","316.29%","0.00%","-",""
"Horiz. %","91.07%","58.26%","20.54%","100.22%","75.00%","89.51%","416.29%","100.00%","-",""
"RPS","59.63","62.72","64.73","67.45","63.84","53.26","51.76","34.39","-","-"
"YoY %","-4.93%","-3.11%","-4.03%","5.65%","19.86%","2.90%","50.51%","0.00%","-",""
"Horiz. %","173.39%","182.38%","188.22%","196.13%","185.64%","154.87%","150.51%","100.00%","-",""
"EPS","7.80","4.96","1.74","10.56","7.72","8.86","34.32","6.80","0.00","-"
"YoY %","57.26%","185.06%","-83.52%","36.79%","-12.87%","-74.18%","404.71%","0.00%","-",""
"Horiz. %","114.71%","72.94%","25.59%","155.29%","113.53%","130.29%","504.71%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-",""
"NAPS","1.9000","1.9000","1.9000","2.3500","2.3000","2.2100","1.8400","1.5100","0.0000","-"
"YoY %","0.00%","0.00%","-19.15%","2.17%","4.07%","20.11%","21.85%","0.00%","-",""
"Horiz. %","125.83%","125.83%","125.83%","155.63%","152.32%","146.36%","121.85%","100.00%","-",""
"RPS","59.63","62.72","64.73","67.45","63.84","53.26","51.76","34.39","-","-"
"YoY %","-4.93%","-3.11%","-4.03%","5.65%","19.86%","2.90%","50.51%","0.00%","-",""
"Horiz. %","173.39%","182.38%","188.22%","196.13%","185.64%","154.87%","150.51%","100.00%","-",""
"EPS","7.80","4.96","1.74","10.56","7.72","8.86","34.32","6.80","0.00","-"
"YoY %","57.26%","185.06%","-83.52%","36.79%","-12.87%","-74.18%","404.71%","0.00%","-",""
"Horiz. %","114.71%","72.94%","25.59%","155.29%","113.53%","130.29%","504.71%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-",""
"NAPS","1.9000","1.9000","1.9000","2.3500","2.3000","2.2100","1.8400","1.5100","0.0000","-"
"YoY %","0.00%","0.00%","-19.15%","2.17%","4.07%","20.11%","21.85%","0.00%","-",""
"Horiz. %","125.83%","125.83%","125.83%","155.63%","152.32%","146.36%","121.85%","100.00%","-",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","-","-"
"Price","1.0200","1.0200","1.1000","1.2200","1.2500","1.5900","2.0400","1.6800","0.0000","-"
"P/RPS","1.71","1.63","1.70","1.81","1.96","2.99","3.94","4.89","0.00","-"
"YoY %","4.91%","-4.12%","-6.08%","-7.65%","-34.45%","-24.11%","-19.43%","0.00%","-",""
"Horiz. %","34.97%","33.33%","34.76%","37.01%","40.08%","61.15%","80.57%","100.00%","-",""
"P/EPS","13.14","20.58","63.22","11.55","16.20","17.94","5.94","24.84","0.00","-"
"YoY %","-36.15%","-67.45%","447.36%","-28.70%","-9.70%","202.02%","-76.09%","0.00%","-",""
"Horiz. %","52.90%","82.85%","254.51%","46.50%","65.22%","72.22%","23.91%","100.00%","-",""
"EY","7.61","4.86","1.58","8.65","6.17","5.57","16.83","4.03","0.00","-"
"YoY %","56.58%","207.59%","-81.73%","40.19%","10.77%","-66.90%","317.62%","0.00%","-",""
"Horiz. %","188.83%","120.60%","39.21%","214.64%","153.10%","138.21%","417.62%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.98","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-",""
"P/NAPS","0.54","0.54","0.58","0.52","0.54","0.72","1.11","1.11","0.00","-"
"YoY %","0.00%","-6.90%","11.54%","-3.70%","-25.00%","-35.14%","0.00%","0.00%","-",""
"Horiz. %","48.65%","48.65%","52.25%","46.85%","48.65%","64.86%","100.00%","100.00%","-",""
"Date","AQR","T4Q","26/02/19","27/02/18","24/02/17","22/02/16","12/02/15","25/02/14","-","-"
"Price","1.1300","1.1300","1.1400","1.5700","1.4100","1.5200","2.1000","1.8800","0.0000","-"
"P/RPS","1.90","1.80","1.76","2.33","2.21","2.85","4.06","5.47","0.00","-"
"YoY %","5.56%","2.27%","-24.46%","5.43%","-22.46%","-29.80%","-25.78%","0.00%","-",""
"Horiz. %","34.73%","32.91%","32.18%","42.60%","40.40%","52.10%","74.22%","100.00%","-",""
"P/EPS","14.56","22.80","65.52","14.87","18.27","17.15","6.12","27.80","0.00","-"
"YoY %","-36.14%","-65.20%","340.62%","-18.61%","6.53%","180.23%","-77.99%","0.00%","-",""
"Horiz. %","52.37%","82.01%","235.68%","53.49%","65.72%","61.69%","22.01%","100.00%","-",""
"EY","6.87","4.39","1.53","6.73","5.47","5.83","16.34","3.60","0.00","-"
"YoY %","56.49%","186.93%","-77.27%","23.03%","-6.17%","-64.32%","353.89%","0.00%","-",""
"Horiz. %","190.83%","121.94%","42.50%","186.94%","151.94%","161.94%","453.89%","100.00%","-",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.66","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","-",""
"P/NAPS","0.59","0.59","0.60","0.67","0.61","0.69","1.14","1.25","0.00","-"
"YoY %","0.00%","-1.67%","-10.45%","9.84%","-11.59%","-39.47%","-8.80%","0.00%","-",""
"Horiz. %","47.20%","47.20%","48.00%","53.60%","48.80%","55.20%","91.20%","100.00%","-",""

