Column1,AQR,T4Q,31/03/19,31/03/18,31/03/17,31/03/16,31/12/15,31/12/14,CAGR
"YoY %","240.09%","87.60%","-86.83%","-8.01%","0.00%","0.00%","0.00%","-",""
"Horiz. %","55.06%","16.19%","8.63%","65.55%","71.26%","0.00%","100.00%","-",""
"ROE","4.97    %","1.58    %","1.13    %","7.17    %","9.43    %","-     %","11.91    %","-     %","-"
"YoY %","214.56%","39.82%","-84.24%","-23.97%","0.00%","0.00%","0.00%","-",""
"Horiz. %","41.73%","13.27%","9.49%","60.20%","79.18%","0.00%","100.00%","-",""
"RPS","56.91","56.71","53.12","50.49","59.57","-","59.92","-","-"
"YoY %","0.35%","6.76%","5.21%","-15.24%","0.00%","0.00%","0.00%","-",""
"Horiz. %","94.98%","94.64%","88.65%","84.26%","99.42%","0.00%","100.00%","-",""
"EPS","4.28","1.36","0.77","4.81","5.94","0.00","8.34","-","-"
"YoY %","214.71%","76.62%","-83.99%","-19.02%","0.00%","0.00%","0.00%","-",""
"Horiz. %","51.32%","16.31%","9.23%","57.67%","71.22%","0.00%","100.00%","-",""
"DPS","0.00","0.00","0.00","1.00","0.00","0.00","1.50","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","66.67%","0.00%","0.00%","100.00%","-",""
"NAPS","0.8600","0.8600","0.6800","0.6700","0.6300","0.7100","0.7000","-","-"
"YoY %","0.00%","26.47%","1.49%","6.35%","-11.27%","1.43%","0.00%","-",""
"Horiz. %","122.86%","122.86%","97.14%","95.71%","90.00%","101.43%","100.00%","-",""
"RPS","56.91","56.71","53.12","50.49","59.57","-","49.93","-","-"
"YoY %","0.35%","6.76%","5.21%","-15.24%","0.00%","0.00%","0.00%","-",""
"Horiz. %","113.98%","113.58%","106.39%","101.12%","119.31%","0.00%","100.00%","-",""
"EPS","4.28","1.36","0.77","4.81","5.94","0.00","6.95","-","-"
"YoY %","214.71%","76.62%","-83.99%","-19.02%","0.00%","0.00%","0.00%","-",""
"Horiz. %","61.58%","19.57%","11.08%","69.21%","85.47%","0.00%","100.00%","-",""
"DPS","0.00","0.00","0.00","1.00","0.00","0.00","1.25","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","80.00%","0.00%","0.00%","100.00%","-",""
"NAPS","0.8600","0.8600","0.6800","0.6700","0.6300","0.5917","0.5833","-","-"
"YoY %","0.00%","26.47%","1.49%","6.35%","6.47%","1.44%","0.00%","-",""
"Horiz. %","147.44%","147.44%","116.58%","114.86%","108.01%","101.44%","100.00%","-",""
"Date","AQR","T4Q","29/03/19","30/03/18","31/03/17","31/03/16","31/12/15","-","-"
"Price","0.6200","0.6200","0.8000","1.1200","1.1600","1.0200","1.1300","0.0000","-"
"P/RPS","1.09","1.09","1.51","2.22","1.95","0.00","1.89","0.00","-"
"YoY %","0.00%","-27.81%","-31.98%","13.85%","0.00%","0.00%","0.00%","-",""
"Horiz. %","57.67%","57.67%","79.89%","117.46%","103.17%","0.00%","100.00%","-",""
"P/EPS","14.50","45.75","104.10","23.30","19.52","0.00","13.56","0.00","-"
"YoY %","-68.31%","-56.05%","346.78%","19.36%","0.00%","0.00%","0.00%","-",""
"Horiz. %","106.93%","337.39%","767.70%","171.83%","143.95%","0.00%","100.00%","-",""
"EY","6.90","2.19","0.96","4.29","5.12","0.00","7.38","0.00","-"
"YoY %","215.07%","128.12%","-77.62%","-16.21%","0.00%","0.00%","0.00%","-",""
"Horiz. %","93.50%","29.67%","13.01%","58.13%","69.38%","0.00%","100.00%","-",""
"DY","0.00","0.00","0.00","0.89","0.00","0.00","1.33","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","66.92%","0.00%","0.00%","100.00%","-",""
"P/NAPS","0.72","0.72","1.18","1.67","1.84","1.44","1.61","0.00","-"
"YoY %","0.00%","-38.98%","-29.34%","-9.24%","27.78%","-10.56%","0.00%","-",""
"Horiz. %","44.72%","44.72%","73.29%","103.73%","114.29%","89.44%","100.00%","-",""
"Date","AQR","T4Q","31/05/19","28/05/18","31/05/17","-","24/02/16","-","-"
"Price","0.3450","0.3450","0.7550","0.9300","1.2700","0.0000","1.0200","0.0000","-"
"P/RPS","0.61","0.61","1.42","1.84","2.13","0.00","1.70","0.00","-"
"YoY %","0.00%","-57.04%","-22.83%","-13.62%","0.00%","0.00%","0.00%","-",""
"Horiz. %","35.88%","35.88%","83.53%","108.24%","125.29%","0.00%","100.00%","-",""
"P/EPS","8.07","25.46","98.24","19.35","21.37","0.00","12.24","0.00","-"
"YoY %","-68.30%","-74.08%","407.70%","-9.45%","0.00%","0.00%","0.00%","-",""
"Horiz. %","65.93%","208.01%","802.61%","158.09%","174.59%","0.00%","100.00%","-",""
"EY","12.39","3.93","1.02","5.17","4.68","0.00","8.17","0.00","-"
"YoY %","215.27%","285.29%","-80.27%","10.47%","0.00%","0.00%","0.00%","-",""
"Horiz. %","151.65%","48.10%","12.48%","63.28%","57.28%","0.00%","100.00%","-",""
"DY","0.00","0.00","0.00","1.08","0.00","0.00","1.47","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","73.47%","0.00%","0.00%","100.00%","-",""
"P/NAPS","0.40","0.40","1.11","1.39","2.02","0.00","1.46","0.00","-"
"YoY %","0.00%","-63.96%","-20.14%","-31.19%","0.00%","0.00%","0.00%","-",""
"Horiz. %","27.40%","27.40%","76.03%","95.21%","138.36%","0.00%","100.00%","-",""

