Column1,AQR,T4Q,30/06/19,30/06/18,30/06/17,30/06/16,30/06/15,30/06/14,CAGR
"Div Payout %","24.35    %","12.99    %","24.35    %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","87.45%","-46.65%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","100.00%","53.35%","100.00%","-","-","-","-","-",""
"Net Worth","158,218","158,218","158,218","133,731","158,686","162,570","159,715","-","-"
"YoY %","0.00%","0.00%","18.31%","-15.73%","-2.39%","1.79%","0.00%","-",""
"Horiz. %","99.06%","99.06%","99.06%","83.73%","99.36%","101.79%","100.00%","-",""
"NOSH","233,878","233,878","233,878","233,878","233,878","233,878","233,878","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","-",""
"NP Margin","6.45    %","6.45    %","6.45    %","-18.36    %","-3.30    %","2.79    %","-4.96    %","-     %","-"
"YoY %","0.00%","0.00%","135.13%","-456.36%","-218.28%","156.25%","0.00%","-",""
"Horiz. %","-130.04%","-130.04%","-130.04%","370.16%","66.53%","-56.25%","100.00%","-",""
"ROE","18.21    %","18.21    %","18.21    %","-18.76    %","-2.76    %","2.12    %","-5.10    %","-     %","-"
"YoY %","0.00%","0.00%","197.07%","-579.71%","-230.19%","141.57%","0.00%","-",""
"Horiz. %","-357.06%","-357.06%","-357.06%","367.84%","54.12%","-41.57%","100.00%","-",""
"RPS","189.42","189.42","189.42","58.49","49.39","52.98","70.19","-","-"
"YoY %","0.00%","0.00%","223.85%","18.42%","-6.78%","-24.52%","0.00%","-",""
"Horiz. %","269.87%","269.87%","269.87%","83.33%","70.37%","75.48%","100.00%","-",""
"EPS","12.32","12.32","12.32","-10.73","-1.87","1.48","-3.48","-","-"
"YoY %","0.00%","0.00%","214.82%","-473.80%","-226.35%","142.53%","0.00%","-",""
"Horiz. %","-354.02%","-354.02%","-354.02%","308.33%","53.74%","-42.53%","100.00%","-",""
"DPS","3.00","1.60","3.00","0.00","0.00","0.00","1.00","-","-"
"YoY %","87.50%","-46.67%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","300.00%","160.00%","300.00%","0.00%","0.00%","0.00%","100.00%","-",""
"NAPS","0.6765","0.6765","0.6765","0.5718","0.6785","0.6972","0.6829","-","-"
"YoY %","0.00%","0.00%","18.31%","-15.73%","-2.68%","2.09%","0.00%","-",""
"Horiz. %","99.06%","99.06%","99.06%","83.73%","99.36%","102.09%","100.00%","-",""
"RPS","189.42","189.42","189.42","58.49","49.39","52.98","70.19","-","-"
"YoY %","0.00%","0.00%","223.85%","18.42%","-6.78%","-24.52%","0.00%","-",""
"Horiz. %","269.87%","269.87%","269.87%","83.33%","70.37%","75.48%","100.00%","-",""
"EPS","12.32","12.32","12.32","-10.73","-1.87","1.48","-3.48","-","-"
"YoY %","0.00%","0.00%","214.82%","-473.80%","-226.35%","142.53%","0.00%","-",""
"Horiz. %","-354.02%","-354.02%","-354.02%","308.33%","53.74%","-42.53%","100.00%","-",""
"DPS","3.00","1.60","3.00","0.00","0.00","0.00","1.00","-","-"
"YoY %","87.50%","-46.67%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","300.00%","160.00%","300.00%","0.00%","0.00%","0.00%","100.00%","-",""
"NAPS","0.6765","0.6765","0.6765","0.5718","0.6785","0.6972","0.6829","-","-"
"YoY %","0.00%","0.00%","18.31%","-15.73%","-2.68%","2.09%","0.00%","-",""
"Horiz. %","99.06%","99.06%","99.06%","83.73%","99.36%","102.09%","100.00%","-",""
"Date","AQR","T4Q","28/06/19","29/06/18","30/06/17","30/06/16","30/06/15","-","-"
"Price","0.8850","0.8850","0.8850","0.2700","0.3450","0.3950","0.9600","0.0000","-"
"P/RPS","0.47","0.47","0.47","0.46","0.70","0.75","1.37","0.00","-"
"YoY %","0.00%","0.00%","2.17%","-34.29%","-6.67%","-45.26%","0.00%","-",""
"Horiz. %","34.31%","34.31%","34.31%","33.58%","51.09%","54.74%","100.00%","-",""
"P/EPS","7.18","7.18","7.18","-2.52","-18.45","26.67","-27.58","0.00","-"
"YoY %","0.00%","0.00%","384.92%","86.34%","-169.18%","196.70%","0.00%","-",""
"Horiz. %","-26.03%","-26.03%","-26.03%","9.14%","66.90%","-96.70%","100.00%","-",""
"EY","13.92","13.92","13.92","-39.73","-5.42","3.75","-3.63","0.00","-"
"YoY %","0.00%","0.00%","135.04%","-633.03%","-244.53%","203.31%","0.00%","-",""
"Horiz. %","-383.47%","-383.47%","-383.47%","1,094.49%","149.31%","-103.31%","100.00%","-",""
"DY","3.39","1.81","3.39","0.00","0.00","0.00","1.04","0.00","-"
"YoY %","87.29%","-46.61%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","325.96%","174.04%","325.96%","0.00%","0.00%","0.00%","100.00%","-",""
"P/NAPS","1.31","1.31","1.31","0.47","0.51","0.57","1.41","0.00","-"
"YoY %","0.00%","0.00%","178.72%","-7.84%","-10.53%","-59.57%","0.00%","-",""
"Horiz. %","92.91%","92.91%","92.91%","33.33%","36.17%","40.43%","100.00%","-",""
"Date","AQR","T4Q","04/09/19","21/08/18","24/08/17","22/08/16","25/08/15","-","-"
"Price","0.9350","0.9350","0.9350","0.2750","0.2950","0.3950","0.8000","0.0000","-"
"P/RPS","0.49","0.49","0.49","0.47","0.60","0.75","1.14","0.00","-"
"YoY %","0.00%","0.00%","4.26%","-21.67%","-20.00%","-34.21%","0.00%","-",""
"Horiz. %","42.98%","42.98%","42.98%","41.23%","52.63%","65.79%","100.00%","-",""
"P/EPS","7.59","7.59","7.59","-2.56","-15.77","26.67","-22.98","0.00","-"
"YoY %","0.00%","0.00%","396.48%","83.77%","-159.13%","216.06%","0.00%","-",""
"Horiz. %","-33.03%","-33.03%","-33.03%","11.14%","68.62%","-116.06%","100.00%","-",""
"EY","13.18","13.18","13.18","-39.01","-6.34","3.75","-4.35","0.00","-"
"YoY %","0.00%","0.00%","133.79%","-515.30%","-269.07%","186.21%","0.00%","-",""
"Horiz. %","-302.99%","-302.99%","-302.99%","896.78%","145.75%","-86.21%","100.00%","-",""
"DY","3.21","1.71","3.21","0.00","0.00","0.00","1.25","0.00","-"
"YoY %","87.72%","-46.73%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","256.80%","136.80%","256.80%","0.00%","0.00%","0.00%","100.00%","-",""
"P/NAPS","1.38","1.38","1.38","0.48","0.43","0.57","1.17","0.00","-"
"YoY %","0.00%","0.00%","187.50%","11.63%","-24.56%","-51.28%","0.00%","-",""
"Horiz. %","117.95%","117.95%","117.95%","41.03%","36.75%","48.72%","100.00%","-",""

