Column1,AQR,T4Q,31/03/19,31/03/18,31/03/17,31/03/16,31/03/15,31/03/14,31/03/13,31/03/12,CAGR
"Horiz. %","63.83%","63.66%","64.60%","60.29%","58.93%","70.90%","78.98%","82.06%","82.01%","100.00%",""
"ROE","9.07    %","8.34    %","8.00    %","6.53    %","7.35    %","6.99    %","7.23    %","9.79    %","10.20    %","6.81    %","2.33%"
"YoY %","8.75%","4.25%","22.51%","-11.16%","5.15%","-3.32%","-26.15%","-4.02%","49.78%","-",""
"Horiz. %","133.19%","122.47%","117.47%","95.89%","107.93%","102.64%","106.17%","143.76%","149.78%","100.00%",""
"RPS","47.50","43.79","41.67","36.46","43.79","43.92","46.10","38.71","38.23","38.60","1.10%"
"YoY %","8.47%","5.09%","14.29%","-16.74%","-0.30%","-4.73%","19.09%","1.26%","-0.96%","-",""
"Horiz. %","123.06%","113.45%","107.95%","94.46%","113.45%","113.78%","119.43%","100.28%","99.04%","100.00%",""
"EPS","12.52","11.51","11.22","9.91","10.66","12.86","15.04","13.12","12.95","15.94","-4.89%"
"YoY %","8.77%","2.58%","13.22%","-7.04%","-17.11%","-14.49%","14.63%","1.31%","-18.76%","-",""
"Horiz. %","78.54%","72.21%","70.39%","62.17%","66.88%","80.68%","94.35%","82.31%","81.24%","100.00%",""
"DPS","0.00","7.00","7.00","6.75","6.75","6.75","7.50","7.50","6.50","0.00","-"
"YoY %","0.00%","0.00%","3.70%","0.00%","0.00%","-10.00%","0.00%","15.38%","0.00%","-",""
"Horiz. %","0.00%","107.69%","107.69%","103.85%","103.85%","103.85%","115.38%","115.38%","100.00%","-",""
"NAPS","1.3800","1.3800","1.3900","1.3900","1.4500","1.8400","2.0800","1.3400","1.2700","2.3400","-7.17%"
"YoY %","0.00%","-0.72%","0.00%","-4.14%","-21.20%","-11.54%","55.22%","5.51%","-45.73%","-",""
"Horiz. %","58.97%","58.97%","59.40%","59.40%","61.97%","78.63%","88.89%","57.26%","54.27%","100.00%",""
"RPS","47.39","43.69","41.54","35.06","31.81","21.60","19.40","16.29","13.79","13.00","18.04%"
"YoY %","8.47%","5.18%","18.48%","10.22%","47.27%","11.34%","19.09%","18.13%","6.08%","-",""
"Horiz. %","364.54%","336.08%","319.54%","269.69%","244.69%","166.15%","149.23%","125.31%","106.08%","100.00%",""
"EPS","12.49","11.49","11.08","8.73","7.74","6.33","6.33","5.52","4.67","5.37","10.90%"
"YoY %","8.70%","3.70%","26.92%","12.79%","22.27%","0.00%","14.67%","18.20%","-13.04%","-",""
"Horiz. %","232.59%","213.97%","206.33%","162.57%","144.13%","117.88%","117.88%","102.79%","86.96%","100.00%",""
"DPS","0.00","6.95","6.98","6.49","4.90","3.32","3.16","3.16","2.34","0.00","-"
"YoY %","0.00%","-0.43%","7.55%","32.45%","47.59%","5.06%","0.00%","35.04%","0.00%","-",""
"Horiz. %","0.00%","297.01%","298.29%","277.35%","209.40%","141.88%","135.04%","135.04%","100.00%","-",""
"NAPS","1.3768","1.3768","1.3859","1.3365","1.0533","0.9050","0.8752","0.5639","0.4581","0.7880","8.40%"
"YoY %","0.00%","-0.66%","3.70%","26.89%","16.39%","3.40%","55.20%","23.10%","-41.87%","-",""
"Horiz. %","174.72%","174.72%","175.88%","169.61%","133.67%","114.85%","111.07%","71.56%","58.13%","100.00%",""
"Date","AQR","T4Q","29/03/19","30/03/18","31/03/17","31/03/16","31/03/15","31/03/14","29/03/13","-","-"
"Price","1.5200","1.5200","1.3900","1.1900","1.1700","1.2500","1.3900","1.3600","1.2700","0.0000","-"
"P/RPS","3.20","3.47","3.34","3.26","2.67","2.85","3.02","3.51","3.32","0.00","-"
"YoY %","-7.78%","3.89%","2.45%","22.10%","-6.32%","-5.63%","-13.96%","5.72%","0.00%","-",""
"Horiz. %","96.39%","104.52%","100.60%","98.19%","80.42%","85.84%","90.96%","105.72%","100.00%","-",""
"P/EPS","12.14","13.20","12.51","13.11","10.98","9.72","9.24","10.37","9.81","0.00","-"
"YoY %","-8.03%","5.52%","-4.58%","19.40%","12.96%","5.19%","-10.90%","5.71%","0.00%","-",""
"Horiz. %","123.75%","134.56%","127.52%","133.64%","111.93%","99.08%","94.19%","105.71%","100.00%","-",""
"EY","8.24","7.58","8.00","7.63","9.11","10.29","10.82","9.65","10.20","0.00","-"
"YoY %","8.71%","-5.25%","4.85%","-16.25%","-11.47%","-4.90%","12.12%","-5.39%","0.00%","-",""
"Horiz. %","80.78%","74.31%","78.43%","74.80%","89.31%","100.88%","106.08%","94.61%","100.00%","-",""
"DY","0.00","4.61","5.04","5.67","5.77","5.40","5.40","5.51","5.12","0.00","-"
"YoY %","0.00%","-8.53%","-11.11%","-1.73%","6.85%","0.00%","-2.00%","7.62%","0.00%","-",""
"Horiz. %","0.00%","90.04%","98.44%","110.74%","112.70%","105.47%","105.47%","107.62%","100.00%","-",""
"P/NAPS","1.10","1.10","1.00","0.86","0.81","0.68","0.67","1.01","1.00","0.00","-"
"YoY %","0.00%","10.00%","16.28%","6.17%","19.12%","1.49%","-33.66%","1.00%","0.00%","-",""
"Horiz. %","110.00%","110.00%","100.00%","86.00%","81.00%","68.00%","67.00%","101.00%","100.00%","-",""
"Date","AQR","T4Q","21/05/19","24/05/18","18/05/17","20/05/16","21/05/15","21/05/14","29/05/13","-","-"
"Price","1.6600","1.6600","1.3800","1.1600","1.1900","1.2500","1.4600","1.4600","1.3500","0.0000","-"
"P/RPS","3.49","3.79","3.31","3.18","2.72","2.85","3.17","3.77","3.53","0.00","-"
"YoY %","-7.92%","14.50%","4.09%","16.91%","-4.56%","-10.09%","-15.92%","6.80%","0.00%","-",""
"Horiz. %","98.87%","107.37%","93.77%","90.08%","77.05%","80.74%","89.80%","106.80%","100.00%","-",""
"P/EPS","13.26","14.42","12.42","12.78","11.16","9.72","9.71","11.13","10.42","0.00","-"
"YoY %","-8.04%","16.10%","-2.82%","14.52%","14.81%","0.10%","-12.76%","6.81%","0.00%","-",""
"Horiz. %","127.26%","138.39%","119.19%","122.65%","107.10%","93.28%","93.19%","106.81%","100.00%","-",""
"EY","7.54","6.94","8.05","7.83","8.96","10.29","10.30","8.99","9.59","0.00","-"
"YoY %","8.65%","-13.79%","2.81%","-12.61%","-12.93%","-0.10%","14.57%","-6.26%","0.00%","-",""
"Horiz. %","78.62%","72.37%","83.94%","81.65%","93.43%","107.30%","107.40%","93.74%","100.00%","-",""
"DY","0.00","4.22","5.07","5.82","5.67","5.40","5.14","5.14","4.81","0.00","-"
"YoY %","0.00%","-16.77%","-12.89%","2.65%","5.00%","5.06%","0.00%","6.86%","0.00%","-",""
"Horiz. %","0.00%","87.73%","105.41%","121.00%","117.88%","112.27%","106.86%","106.86%","100.00%","-",""
"P/NAPS","1.20","1.20","0.99","0.83","0.82","0.68","0.70","1.09","1.06","0.00","-"
"YoY %","0.00%","21.21%","19.28%","1.22%","20.59%","-2.86%","-35.78%","2.83%","0.00%","-",""
"Horiz. %","113.21%","113.21%","93.40%","78.30%","77.36%","64.15%","66.04%","102.83%","100.00%","-",""

