Column1,AQR,T4Q,30/06/19,30/06/18,30/06/17,30/06/16,30/06/15,CAGR
"YoY %","0.00%","0.00%","49.46%","-58.30%","42.95%","0.00%","-",""
"Horiz. %","89.10%","89.10%","89.10%","59.62%","142.95%","100.00%","-",""
"P/EPS","-351.99","-351.99","-351.99","21.34","28.47","15.51","0.00","-"
"YoY %","0.00%","0.00%","-1,749.44%","-25.04%","83.56%","0.00%","-",""
"Horiz. %","-2,269.44%","-2,269.44%","-2,269.44%","137.59%","183.56%","100.00%","-",""
"EY","-0.28","-0.28","-0.28","4.69","3.51","6.45","0.00","-"
"YoY %","0.00%","0.00%","-105.97%","33.62%","-45.58%","0.00%","-",""
"Horiz. %","-4.34%","-4.34%","-4.34%","72.71%","54.42%","100.00%","-",""
"DY","4.80","4.80","4.80","3.84","2.11","2.11","0.00","-"
"YoY %","0.00%","0.00%","25.00%","81.99%","0.00%","0.00%","-",""
"Horiz. %","227.49%","227.49%","227.49%","181.99%","100.00%","100.00%","-",""
"P/NAPS","1.23","1.23","1.23","1.45","3.34","2.43","0.00","-"
"YoY %","0.00%","0.00%","-15.17%","-56.59%","37.45%","0.00%","-",""
"Horiz. %","50.62%","50.62%","50.62%","59.67%","137.45%","100.00%","-",""

